鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中山區,車位,臺北市中山區南京東路三段８９巷２０號二樓等共有部分,0.0,,,,1150601,土地0建物1車位1,,,其他,,,,32.75,0,0,0,無,有,3700000,,坡道平面,32.75,3700000,建物坐落地號：長春段二小段775地號；僅車位交易；,RPPRMLMJOHLGFCA87DA,0.0,0.0,0.0,有,
大安區,車位,臺北市大安區仁愛路四段７９號地下樓,0.0,,,,1150604,土地0建物1車位1,地下層,十四層,其他,見使用執照,鋼筋混凝土造,0680306,19.81,0,0,0,無,有,3400000,,坡道平面,19.8,3400000,建物坐落地號：復興段二小段212地號；僅車位交易；,RPRNMLSJOHLGFFA58DA,0.0,0.0,0.0,有,0001
松山區,車位,臺北市松山區民生東路五段６９巷２１弄２２號地下,0.0,,,,1150601,土地0建物1車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,0700907,41.73,0,0,0,無,有,3690000,,坡道平面,41.73,3690000,建物坐落地號：民生段105-1地號；僅車位交易；,RPRPMLSJOHLGFDA58DA,0.0,0.0,0.0,有,
南港區,房地(土地+建物),臺北市南港區八德路四段８７１號二樓之５,8.8,商,,,1150501,土地1建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841219,50.230000000000004,0,0,0,無,有,4200000,83615,,0.0,0,特殊交易標的類型：萬象商場,RPPOMLOJNHLGFDA77DA,15.81,1.39,0.0,有,
松山區,土地,敦化段二小段490地號,6.13,都市：其他:道路用地(公共設施用地)。48/3/13,,,1150506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1941963,316797,,0.0,0,包含公共設施保留地用地；,RPPNMLMKNHLGFDA57DA,0.0,0.0,0.0,無,0002
士林區,土地,富安段二小段211地號,68.67,都市：其他:道路用地(公共設施用地)(將來採區段徵收方式辦理整體開發)。,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5607900,81664,,0.0,0,,RPWNMLRJNHLGFEA78DA,0.0,0.0,0.0,無,
萬華區,土地,萬大段二小段404地號,15.0,住,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,333333,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKNHLGFBA37EA,0.0,0.0,0.0,無,
中山區,車位,臺北市中山區長安東路二段１１２號房屋地下層,4.63,商,,,1150505,土地2建物1車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,0740528,34.16,0,0,0,無,有,2600000,,坡道平面,34.16,2600000,僅車位交易；,RPQNMLSJNHLGFCA18EA,0.0,0.0,0.0,有,
士林區,土地,陽明段三小段218-1地號,0.01,都市：其他:道路用地(公共設施用地)。66/10/19,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,567,0,,0.0,0,包含公共設施保留地用地；,RPQNMLLKNHLGFEA77EA,0.0,0.0,0.0,無,0003
中正區,房地(土地+建物),臺北市中正區中華路二段３１３巷４２號二樓,5.24,住,,,1150505,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,加強磚造,,12.81,1,1,1,有,無,3000000,234192,,0.0,0,其他增建；,RPOOMLQJNHLGFAA57DA,12.0,0.0,0.81,無,0004
大同區,房地(土地+建物),臺北市大同區保安街８６號,1.55,都市：其他:特定專用區(供一般商業使用)。,,,1150504,土地2建物1車位0,全,二層,透天厝,,木造,,6.44,6,2,2,有,無,1760000,273292,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMKNHLGFBA77DA,6.44,0.0,0.0,無,
信義區,土地,信義段一小段4地號,39.5,都市：其他:道路用地(公共設施用地)。51/9/1,,,1150505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3815757,96601,,0.0,0,包含公共設施保留地用地；,RPTNMLSJNHLGFDA48DA,0.0,0.0,0.0,無,0005
士林區,土地,溪洲段二小段347地號,92.36,都市：其他:住宅區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1150504,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7750000,83911,,0.0,0,,RPPNMLRJNHLGFEA08DA,0.0,0.0,0.0,無,0006
中山區,房地(土地+建物),臺北市中山區中山北路一段５３巷８號,33.71,商,,,1150505,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970104,223.13,4,1,1,有,有,72000000,322682,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKNHLGFCA57EA,128.77,19.81,0.0,有,0007
內湖區,土地,西湖段二小段321地號,40.22,住,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11600000,288414,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLLKNHLGFCA97DA,0.0,0.0,0.0,無,0008
信義區,房地(土地+建物)+車位,臺北市信義區松智路３１巷６號九樓,41.18,住,,,1150505,土地2建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870420,166.73000000000002,3,2,2,有,有,56000000,335872,坡道平面,0.0,0,鐵窗其他增建；,RPQOMLMKNHLGFDA77DA,81.62,0.69,11.2,有,
北投區,車位,臺北市北投區中正街６２號等；光明路６８號三樓等共用部分,1.35,商,,,1150503,土地1建物1車位1,,,其他,,,,41.6,0,0,0,無,有,2600000,,坡道平面,41.6,2600000,僅車位交易；,RPPPMLOJNHLGFEA97DA,0.0,0.0,0.0,有,0009
士林區,車位,臺北市士林區中山北路五段６９８巷１８號地下三層,0.24,住,,,1150506,土地1建物1車位1,地下三層,八層,其他,停車空間,鋼筋混凝土造,0911105,17.42,0,0,0,無,有,1200000,,升降機械,17.39,1200000,僅車位交易；,RPQOMLMKNHLGFEA87DA,0.0,0.0,0.0,有,0010
北投區,土地,八仙段二小段355地號,168.42,,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4585500,27227,,0.0,0,包含公共設施保留地用地；,RPXOMLNKNHLGFEA68DA,0.0,0.0,0.0,無,0011
北投區,土地,八仙段二小段355地號,252.62,,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6877800,27226,,0.0,0,包含公共設施保留地用地；,RPPPMLNKNHLGFEA97DA,0.0,0.0,0.0,無,0011
北投區,土地,八仙段二小段355地號,168.42,,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4585500,27227,,0.0,0,包含公共設施保留地用地；,RPQPMLNKNHLGFEA08DA,0.0,0.0,0.0,無,0011
北投區,土地,八仙段二小段355地號,121.26,,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3301200,27224,,0.0,0,包含公共設施保留地用地；,RPSPMLNKNHLGFEA28DA,0.0,0.0,0.0,無,0011
文山區,土地,木柵段四小段899地號,6.64,住,,,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,225904,,0.0,0,地清或未辦繼承標售；,RPPNMLOKNHLGFAA57EA,0.0,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區松江路３６２巷４１號,14.67,商,,,1150506,土地3建物1車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),,加強磚造,,39.16,2,1,1,有,無,7000000,178754,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOKNHLGFCA08EA,39.16,0.0,0.0,無,
中山區,車位,臺北市中山區民權東路一段２３號門牌房屋地下三層,0.87,商,,,1150510,土地1建物1車位1,地下三層,十五層,其他,停車空間,鋼筋混凝土造,0971128,40.38,0,0,0,無,有,2550000,,坡道平面,40.38,2550000,僅車位交易；,RPPNMLKKNHLGFCA27DA,0.0,0.0,0.0,有,0015
中山區,房地(土地+建物),臺北市中山區新生北路二段１３３巷１２號六樓之１１,7.13,商,,,1150508,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690110,33.53,1,1,1,有,有,8000000,238592,,0.0,0,,RPVNMLOKNHLGFCA28DA,19.14,0.0,5.08,有,0016
北投區,土地,八仙段二小段507地號,348.05,,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6320000,18158,,0.0,0,包含公共設施保留地用地；,RPPNMLSJNHLGFEA18DA,0.0,0.0,0.0,無,
北投區,房地(土地+建物)+車位,臺北市北投區公路１２６號六樓,19.93,住,,,1150502,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140925,120.48,3,2,1,有,有,28800000,257420,塔式車位,16.37,2000000,塔式車位位於地下第二層。交易總價：2880萬元整內含車位價。土地價格：2016萬元整、建物價格：864萬元整,RPUNMLNKNHLGFEA28DA,61.87,0.0,6.19,有,
北投區,土地,大業段三小段153-3地號,17.5,商,,,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4764375,272250,,0.0,0,土增稅由買方負擔新台幣25萬元整，餘額由賣方負擔。親友、員工、共有人或其他特殊關係間之交易；,RPWNMLNKNHLGFEA48DA,0.0,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區中山北路七段２０５之３號,29.15,住,,,1150505,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0681208,124.14,5,0,5,有,有,27000000,217496,,0.0,0,,RPRNMLOKNHLGFEA08DA,91.26,13.63,0.0,有,
士林區,土地,平等段一小段101地號,2306.19,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,,,1150503,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4180000,1813,,0.0,0,,RPPNMLOKNHLGFEA97EA,0.0,0.0,0.0,無,0017
士林區,土地,平等段一小段101地號,768.73,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,,,1150504,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1390000,1808,,0.0,0,,RPSNMLOKNHLGFEA28EA,0.0,0.0,0.0,無,0017
士林區,土地,海光段一小段225-1地號,0.04,都市：其他:道路用地(公共設施用地)。67/5/16,,,1150508,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1774,0,,0.0,0,包含公共設施保留地用地；,RPRNMLPKNHLGFEA28EA,0.0,0.0,0.0,無,
文山區,車位,臺北市文山區木柵路三段１６９巷２０號二樓之２,3.47,住,,,1150507,土地1建物1車位2,二層,十三層,其他,住家用,鋼筋混凝土造,0930428,33.32,0,0,0,無,有,2800000,,其他,51.66,0,車位編號29，30號上下層僅車位交易；,RPUNMLMKNHLGFAA77DA,0.0,0.0,0.0,有,
萬華區,房地(土地+建物),臺北市萬華區雙園街２１巷１號,71.0,住,,,1150508,土地2建物1車位0,全,二層,透天厝,,加強磚造,,88.06,0,0,0,無,無,15000000,170338,,0.0,0,,RPRNMLLKNHLGFBA47DA,88.06,0.0,0.0,無,
內湖區,車位,臺北市內湖區江南街６５巷４１號地下室,1.91,住,,,1150508,土地1建物1車位1,地下層,五層,其他,停車空間,鋼筋混凝土造,0790412,38.69,0,0,0,無,無,2300000,,坡道平面,38.69,2300000,僅車位交易；,RPPNMLRKNHLGFCA97DA,0.0,0.0,0.0,無,0019
南港區,車位,臺北市南港區永吉路５５３巷７之１號,1.13,商,,,1150501,土地2建物1車位1,一層,二十三層,其他,一般零售業甲組（不含日用百貨）,鋼骨造,1130412,26.05,0,0,0,無,有,4100000,,坡道平面,26.05,4100000,僅車位交易；,RPPNMLPJNHLGFDA77DA,0.0,0.0,0.0,有,0020
信義區,房地(土地+建物),臺北市信義區忠孝東路五段４５１號二樓,7.67,商,,,1150505,土地3建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0941006,51.94,1,1,2,有,有,25000000,481325,,0.0,0,其他增建為機房夾層；其他增建；,RPSOMLPKNHLGFDA28DA,27.86,0.0,1.68,有,0021
松山區,房地(土地+建物),臺北市松山區八德路二段３９７號八樓,6.81,商,,,1150504,土地2建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0950823,66.05,3,2,2,有,有,29000000,439061,,0.0,0,其他增建；,RPPPMLPKNHLGFDA08DA,38.23,1.18,10.27,有,0022
士林區,土地,三玉段四小段487地號,55.08,都市：其他:道路用地(公共設施用地)。,,,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4104000,74510,,0.0,0,包含公共設施保留地用地；,RPQPMLRJNHLGFEA38DA,0.0,0.0,0.0,無,0023
士林區,土地,陽明段三小段848地號,30.89,住,,,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12600000,407899,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLPKNHLGFEA48DA,0.0,0.0,0.0,無,
士林區,土地,富安段三小段41地號,98.67,,,,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8954000,90747,,0.0,0,包含公共設施保留地用地；,RPSOMLSKNHLGFEA68DA,0.0,0.0,0.0,無,
士林區,土地,富安段二小段267地號,98.83,商,,,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8930000,90357,,0.0,0,包含公共設施保留地用地；,RPTOMLSKNHLGFEA78DA,0.0,0.0,0.0,無,0024
士林區,土地,三玉段四小段487地號,97.92,都市：其他:道路用地(公共設施用地)。,,,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7296000,74510,,0.0,0,包含公共設施保留地用地；,RPVOMLKLNHLGFEA28DA,0.0,0.0,0.0,無,0023
大安區,房地(土地+建物),臺北市大安區大安路二段２７巷１號五樓之１,14.5,住,,,1150501,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701102,88.38,4,2,2,有,有,27000000,305499,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPVNMLPKNHLGFFA68DA,66.29,0.0,11.51,有,0026
內湖區,車位,臺北市內湖區港墘路１２７巷２７至３７號，江南街９６巷１至７號門牌房屋地下二層,0.72,住,,,1150506,土地1建物1車位1,地下二層,十六層,其他,停車空間,鋼筋混凝土造,0851113,41.45,0,0,0,無,有,2300000,,坡道平面,41.45,2300000,僅車位交易；,RPVNMLTKNHLGFCA78DA,0.0,0.0,0.0,有,0027
大安區,車位,臺北市大安區和平東路三段２０８、２１０號及和平東路三段２１２巷２號、嘉興街３１７、３１９、３２１號及嘉興街３２３巷１號門牌房屋地下二層,0.52,住,,,1150506,土地2建物1車位1,地下二層,十四層,其他,停車空間,鋼筋混凝土造,0890626,33.120000000000005,0,0,0,無,有,3000000,,坡道平面,33.12,3000000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPQNMLLJNHLGFFA67DA,0.0,0.0,0.0,有,0028
大安區,房地(土地+建物),臺北市大安區新生南路一段１６５巷１５號三樓,16.25,住,,,1150511,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0630404,43.59,3,2,2,有,無,10000000,229410,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLMKNHLGFFA48DA,43.59,0.0,0.0,無,0029
大安區,土地,龍泉段二小段762地號,6.0,都市：其他:道路用地(公共設施用地)。44/7/5,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,788400,131400,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQNMLNKNHLGFFA97DA,0.0,0.0,0.0,無,
大安區,車位,臺北市大安區信義路二段６６、６８、６８之１號地下一、二、三層,0.17,商,,,1150507,土地2建物1車位1,地下一層，地下二層，地下三層,二十一層,其他,停車空間,鋼骨鋼筋混凝土造,1080903,40.03,0,0,0,無,有,1500000,,坡道平面,40.03,1500000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPSOMLPKNHLGFFA48DA,0.0,0.0,0.0,有,0030
中山區,車位,臺北市中山區林森北路５３６號地下二層,0.55,商,,,1150501,土地1建物1車位1,地下二層,十四層,其他,停車空間,鋼筋混凝土造,0940826,40.5,0,0,0,無,有,2400000,,升降平面,12.25,2400000,僅車位交易；,RPQOMLLKNHLGFCA57DA,0.0,0.0,0.0,有,0031
中山區,房地(土地+建物),臺北市中山區長安東路一段２４之１號,28.33,商,,,1150506,土地1建物1車位0,全,四層,透天厝,,加強磚造,,79.19,5,2,4,有,無,16500000,208360,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLKLNHLGFCA47DA,79.19,0.0,0.0,無,0032
大安區,房地(土地+建物),臺北市大安區復興南路一段１３２號十一樓之２,4.4,商,,,1150510,土地2建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130418,52.61,1,1,1,有,有,23880000,453906,,0.0,0,,RPROMLSKNHLGFFA68DA,30.57,0.0,2.03,有,0033
大安區,房地(土地+建物),臺北市大安區永康街４７巷３號,30.4,住,,,1150505,土地1建物2車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710518,142.32999999999998,0,0,0,無,無,55880000,392609,,0.0,0,其他增建；,RPQOMLTKNHLGFFA68DA,91.99,13.56,0.0,無,0034
萬華區,土地,福星段三小段279地號,0.06,都市：其他:道路用地(公共設施用地)。45/5/4,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11630,0,,0.0,0,僅土地買賣包含公共設施保留地用地；,RPPNMLLLNHLGFBA47EA,0.0,0.0,0.0,無,0035
