編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLQJNHLGFAA57DA,,12.81,住家用,加強磚造,,五層,二層 陽臺,持分移轉
RPRPMLSJOHLGFDA58DA,45,41.73,見使用執照,鋼筋混凝土造,70年9月7日,七層,地下層,持分移轉
RPRPMLSJOHLGFDA58DA,45,.00,共有部分,鋼筋混凝土造,70年9月7日,七層,,
RPPOMLOJNHLGFDA77DA,30,17.20,商業用,鋼筋混凝土造,84年12月19日,十六層,二層 花台,全筆移轉
RPPOMLOJNHLGFDA77DA,30,30.10,共有部分,鋼筋混凝土造,84年12月19日,十六層,,持分移轉
RPPOMLOJNHLGFDA77DA,30,2.93,共有部分,鋼筋混凝土造,84年12月19日,十六層,,持分移轉
RPTNMLMKNHLGFBA77DA,,6.44,,木造,,二層,一層 二層 騎樓,持分移轉
RPPRMLMJOHLGFCA87DA,1,32.75,本共有部分之項目有管委會使用空間、車道、梯廳、弱電、緊急昇降機、一般昇降機兼行動不便者使用、排煙室、消防＋撒水、排風、進風、發電機進氣管道、發電機排氣管道、電力、戶外安全梯（甲）、污水、地下室進風口、給水、撒水、排煙室兼梯廳、安全梯（乙）、雨遮、機房、給水管排、消防、水箱、消防水箱、機械室、停車場排風管道、防空避難室兼停車空間、消防管道、弱電管道、進風管道、排煙管道、車道、電信室、垃圾回收室、停車場進風管道、電表區、台電配電場所、停車空間、發電機房、消防水池、消防機房等四十三項。,鋼骨鋼筋混凝土造,114年8月19日,十四層,,持分移轉
RPQNMLSJNHLGFCA18EA,41,34.16,見使用執照,鋼筋混凝土造,74年5月28日,十二層,地下層,持分移轉
RPSNMLOKNHLGFCA08EA,,39.16,,加強磚造,,三層,一層 騎樓,持分移轉
RPRNMLOKNHLGFEA08DA,46,19.25,共有部分,鋼筋混凝土造,68年12月8日,七層,,持分移轉
RPRNMLOKNHLGFEA08DA,46,104.89,住家用,鋼筋混凝土造,68年12月8日,七層,一層 平台,全筆移轉
RPUNMLNKNHLGFEA28DA,1,68.06,第２組多戶住宅（Ｈ２－集合住宅）,鋼筋混凝土造,114年9月25日,十一層,六層 陽臺,全筆移轉
RPUNMLNKNHLGFEA28DA,1,36.05,本建物共有部分項目有無障礙車位、安全梯、無障礙安全梯、無障礙電梯、梯廳、客貨兩用梯、無障礙機車位、消防／給水管道、樓電梯間、消防水箱、水箱、電梯機房、台電配電場所、發電機室、停車場通風管道、機車停車空間兼防空避難室、電信室及消防機房等１８項。,鋼筋混凝土造,114年9月25日,十一層,,持分移轉
RPUNMLNKNHLGFEA28DA,1,16.37,本建物共有部分項目有汽車升降機、自動倉儲停車空間及停車場通風管道等３項。,鋼筋混凝土造,114年9月25日,十一層,,持分移轉
RPPNMLMKNHLGFCA57EA,18,148.58,一般零售業甲組,鋼筋混凝土造,97年1月4日,十二層,一層 雨遮,全筆移轉
RPPNMLMKNHLGFCA57EA,18,74.55,共有部分,鋼筋混凝土造,97年1月4日,十二層,,持分移轉
RPRNMLLKNHLGFBA47DA,,88.06,,加強磚造,,二層,一層 二層,全筆移轉
RPPNMLKKNHLGFCA27DA,17,14.03,停車空間,鋼筋混凝土造,97年11月28日,十五層,地下三層,持分移轉
RPPNMLKKNHLGFCA27DA,17,.51,共有部分,鋼筋混凝土造,97年11月28日,十五層,,持分移轉
RPPNMLKKNHLGFCA27DA,17,25.84,共有部分,鋼筋混凝土造,97年11月28日,十五層,,持分移轉
RPSOMLPKNHLGFDA28DA,21,29.54,一般事務所,鋼筋混凝土造,94年10月6日,十一層,二層 陽臺,全筆移轉
RPSOMLPKNHLGFDA28DA,21,5.40,共有部分,鋼筋混凝土造,94年10月6日,十一層,,持分移轉
RPVNMLOKNHLGFCA28DA,46,24.22,住家用,鋼筋混凝土造,69年1月10日,六層,六層 陽臺,全筆移轉
RPVNMLOKNHLGFCA28DA,46,9.31,共有部分,鋼筋混凝土造,69年1月10日,六層,,持分移轉
RPSOMLPKNHLGFDA28DA,21,11.17,共有部分,鋼筋混凝土造,94年10月6日,十一層,,持分移轉
RPSOMLPKNHLGFDA28DA,21,5.83,共有部分,鋼筋混凝土造,94年10月6日,十一層,,持分移轉
RPUNMLMKNHLGFAA77DA,22,.83,住家用,鋼筋混凝土造,93年4月28日,十三層,二層 陽臺,持分移轉
RPUNMLMKNHLGFAA77DA,22,16.93,共有部分,鋼筋混凝土造,93年4月28日,十三層,,持分移轉
RPUNMLMKNHLGFAA77DA,22,15.56,共有部分,鋼筋混凝土造,93年4月28日,十三層,,持分移轉
RPPPMLPKNHLGFDA08DA,20,49.68,一般事務所,鋼筋混凝土造,95年8月23日,十三層,八層 陽臺 雨遮,全筆移轉
RPPPMLPKNHLGFDA08DA,20,7.81,共有部分,鋼筋混凝土造,95年8月23日,十三層,,持分移轉
RPPPMLPKNHLGFDA08DA,20,8.56,共有部分,鋼筋混凝土造,95年8月23日,十三層,,持分移轉
RPQOMLMKNHLGFEA87DA,24,17.39,停車空間,鋼筋混凝土造,91年11月5日,八層,地下三層,持分移轉
RPQOMLMKNHLGFEA87DA,24,.03,共有部分,鋼筋混凝土造,91年11月5日,八層,,持分移轉
RPPNMLPJNHLGFDA77DA,2,.04,一般零售業甲組（不含日用百貨）,鋼骨造,113年4月12日,二十三層,一層 陽臺,持分移轉
