編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKNHLGFEA77EA,陽明段三小段,.01,都市：其他:道路用地(公共設施用地)。66/10/19,7200,1,持分移轉,02180001
RPOOMLQJNHLGFAA57DA,永昌段四小段,5.24,都市：其他:第三種住宅區。,316,1,持分移轉,06370000
RPPOMLOJNHLGFDA77DA,玉成段三小段,8.80,都市：其他:第一種商業區。,100000,325,持分移轉,04590000
RPWNMLRJNHLGFEA78DA,富安段二小段,68.67,都市：其他:道路用地(公共設施用地)(將來採區段徵收方式辦理整體開發)。,12,1,持分移轉,02110000
RPPNMLLKNHLGFBA37EA,萬大段二小段,15.00,都市：其他:第三種住宅區。,4,1,持分移轉,04040000
RPPNMLMKNHLGFDA57DA,敦化段二小段,1.76,都市：其他:道路用地(公共設施用地)。48/3/13,160000,1778,持分移轉,04890000
RPPNMLMKNHLGFDA57DA,敦化段二小段,4.38,都市：其他:道路用地(公共設施用地)。48/3/13,16,1,持分移轉,04900000
RPTNMLMKNHLGFBA77DA,延平段一小段,.19,都市：其他:特定專用區(供一般商業使用)。,80,1,持分移轉,05100000
RPTNMLMKNHLGFBA77DA,延平段一小段,1.36,都市：其他:特定專用區(供一般商業使用)。,80,1,持分移轉,05110000
RPQNMLSJNHLGFCA18EA,長安段四小段,2.67,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,3120,15,持分移轉,00180000
RPQNMLSJNHLGFCA18EA,長安段四小段,1.96,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第貳種商業區)。,3120,15,持分移轉,00370000
RPSPMLNKNHLGFEA28DA,八仙段二小段,121.26,都市：其他:公園用地,100,6,持分移轉,03550000
RPQPMLNKNHLGFEA08DA,八仙段二小段,168.42,都市：其他:公園用地,12,1,持分移轉,03550000
RPSNMLOKNHLGFCA08EA,吉林段一小段,6.17,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,6,1,持分移轉,00530000
RPSNMLOKNHLGFCA08EA,吉林段一小段,.50,都市：其他:第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,6,1,持分移轉,00530001
RPSNMLOKNHLGFCA08EA,吉林段一小段,8.00,都市：其他:第三種商業區(原屬第參之貳種住宅區於七十九年九月十三日變更為第貳種商業區又於八十四年九月二十七日調整為第參種商業區(均應依前述都市計畫說明書圖規定辦理))。,6,1,持分移轉,00530002
RPPNMLOKNHLGFAA57EA,木柵段四小段,6.64,都市：其他:第三種住宅區。,24,1,持分移轉,08990000
RPRNMLOKNHLGFEA08DA,天母段四小段,29.15,都市：其他:第二種住宅區。,10000,339,持分移轉,00770000
RPWNMLNKNHLGFEA48DA,大業段三小段,17.50,都市：其他:第三種商業區。,96,16,持分移轉,01530003
RPPNMLOKNHLGFEA97EA,平等段一小段,2205.34,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,4,2,持分移轉,01010000
RPPNMLOKNHLGFEA97EA,平等段一小段,25.45,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,4,2,持分移轉,01010001
RPPNMLOKNHLGFEA97EA,平等段一小段,58.91,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,4,2,持分移轉,01010002
RPPNMLOKNHLGFEA97EA,平等段一小段,16.48,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,4,2,持分移轉,01010003
RPPNMLSJNHLGFEA18DA,八仙段二小段,348.05,都市：其他:公園用地(公共設施用地)。82/1/15,40,2,持分移轉,05070000
RPUNMLNKNHLGFEA28DA,奇岩段二小段,19.93,都市：其他:第三種住宅區。,100000,5046,持分移轉,00320000
RPRNMLPKNHLGFEA28EA,海光段一小段,.02,都市：其他:道路用地(公共設施用地)。67/5/16,40000,3,持分移轉,02250001
RPRNMLPKNHLGFEA28EA,海光段一小段,.02,都市：其他:道路用地(公共設施用地)。67/5/16,40000,4,持分移轉,02250002
RPSNMLOKNHLGFEA28EA,平等段一小段,735.11,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,6,1,持分移轉,01010000
RPSNMLOKNHLGFEA28EA,平等段一小段,8.48,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,6,1,持分移轉,01010001
RPSNMLOKNHLGFEA28EA,平等段一小段,19.64,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,6,1,持分移轉,01010002
RPSNMLOKNHLGFEA28EA,平等段一小段,5.50,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,6,1,持分移轉,01010003
