編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRPMLSJOHLGFDA58DA,坡道平面,3690000,41.73,地下一樓
RPPRMLMJOHLGFCA87DA,坡道平面,3700000,32.75,地下二樓
RPQNMLSJNHLGFCA18EA,坡道平面,2600000,34.16,地下一樓
RPUNMLNKNHLGFEA28DA,塔式車位,2000000,16.37,
RPPNMLKKNHLGFCA27DA,坡道平面,2550000,40.38,地下三樓
RPUNMLMKNHLGFAA77DA,一樓平面,0,25.83,一樓
RPUNMLMKNHLGFAA77DA,其他,0,25.83,一樓
RPQOMLMKNHLGFEA87DA,升降機械,1200000,17.39,地下三樓
RPPNMLPJNHLGFDA77DA,坡道平面,4100000,26.05,地下一樓
RPPNMLRKNHLGFCA97DA,坡道平面,2300000,38.69,地下一樓
RPPPMLOJNHLGFEA97DA,坡道平面,2600000,41.60,地下三樓
RPQOMLMKNHLGFDA77DA,坡道平面,0,,地下二樓
RPSOMLPKNHLGFFA48DA,坡道平面,1500000,40.03,地下一樓
RPQNMLLJNHLGFFA67DA,坡道平面,3000000,33.12,地下二樓
RPQOMLLKNHLGFCA57DA,升降平面,2400000,12.25,地下二樓
RPQNMLKLNHLGFCA57EA,坡道機械,1800000,15.86,地下一樓
RPRNMLLLNHLGFCA67DA,坡道平面,2400000,30.78,地下四樓
RPVNMLTKNHLGFCA78DA,坡道平面,2300000,41.45,地下二樓
RPQNMLLLNHLGFCA57DA,坡道平面,0,,地下一樓
RPWOMLNKNHLGFEA58DA,坡道平面,3000000,32.30,地下三樓
RPSRMLKLNHLGFDA18DA,坡道平面,2980000,,地下三樓
RPPNMLLLNHLGFCA57EA,升降機械,0,,地下二樓
RPPNMLLKNHLGFCA37DA,坡道機械,0,,地下五樓含以下
RPOOMLMLNHLGFAA37DA,坡道平面,2500000,42.60,地下四樓
RPOOMLMLNHLGFAA37DA,坡道平面,2500000,42.60,地下四樓
RPVNMLTKNHLGFFA09DA,坡道平面,3600000,,地下三樓
RPPNMLKLNHLGFCA37DA,其他,0,6.46,無固定樓層
RPPNMLPLNHLGFAA77EA,坡道平面,2500000,35.32,地下三樓
RPQNMLMLNHLGFFA97DA,坡道機械,2130000,21.89,地下三樓
RPRPMLRKMHLGFDA48EA,坡道平面,3500000,,地下三樓
RPQNMLTKNHLGFDA38DA,坡道機械,2000000,16.53,地下四樓
RPQNMLMLNHLGFCA77EA,坡道平面,3500000,37.78,地下三樓
RPROMLPKNHLGFAA87DA,坡道平面,2200000,41.85,地下二樓
RPROMLPKNHLGFAA87DA,坡道平面,2200000,41.85,地下二樓
RPVNMLSKNHLGFFA98DA,坡道平面,4000000,50.08,地下四樓
RPRNMLSJOHLGFFA58DA,坡道平面,3400000,19.80,地下一樓
RPRNMLQLNHLGFCA28EA,坡道平面,3000000,39.02,地下三樓
RPOOMLKLNHLGFCA37DA,坡道機械,0,,地下三樓
RPRNMLPLNHLGFDA18DA,坡道平面,150000,32.13,地下一樓
RPRNMLPLNHLGFDA18DA,坡道平面,150000,32.13,地下一樓
RPPNMLQLNHLGFFA38EA,坡道平面,0,,地下三樓
RPQNMLRLNHLGFAA08EA,坡道平面,0,,地下二樓
RPXOMLSKNHLGFDA09DA,坡道平面,2250000,35.92,地下一樓
RPQNMLPLNHLGFDA08DA,坡道平面,3000000,27.57,地下一樓
RPQNMLPLNHLGFDA08DA,坡道平面,3000000,27.57,地下一樓
RPQNMLPLNHLGFDA08DA,坡道平面,3000000,27.57,地下二樓
RPQNMLPLNHLGFDA08DA,坡道平面,3000000,27.57,地下二樓
RPQNMLRLNHLGFBA18EA,坡道平面,0,16.62,地下五樓含以下
RPUNMLQLNHLGFBA38DA,升降平面,1480000,29.18,地下一樓
RPRNMLSLNHLGFEA68EA,坡道平面,0,,地下三樓
RPRNMLSLNHLGFEA68EA,坡道平面,0,,地下三樓
RPPOMLQLNHLGFCA08DA,坡道機械,1800000,16.19,地下二樓
RPOOMLOKNHLGFAA47DA,坡道平面,1630000,17.20,地下二樓
RPSQMLSKNHLGFCA68DA,坡道平面,1700000,,地下一樓
RPPNMLQLNHLGFEA28EA,坡道平面,2500000,,地下一樓
RPSNMLTLNHLGFEA88EA,塔式車位,0,2.46,
RPSNMLTLNHLGFEA88EA,塔式車位,0,2.46,
RPWNMLRLNHLGFBA68DA,坡道平面,0,16.62,地下四樓
RPQNMLQLNHLGFCA08DA,坡道平面,2500000,38.94,地下一樓
RPROMLPKNHLGFDA18DA,坡道平面,3900000,26.05,地下一樓
RPROMLPKNHLGFDA18DA,坡道平面,3900000,26.05,地下一樓
RPROMLPKNHLGFDA18DA,坡道平面,3900000,26.05,地下一樓
RPPNMLPJNHLGFFA97DA,升降平面,0,21.94,地下一樓
RPQNMLTLNHLGFDA58EA,坡道平面,3580000,38.68,地下三樓
RPUNMLNKNHLGFDA18DA,坡道平面,4100000,26.05,地下一樓
RPUNMLNKNHLGFDA18DA,坡道平面,4100000,26.05,地下一樓
RPXNMLPJNHLGFDA58DA,坡道平面,3000000,26.05,地下二樓
RPXNMLPJNHLGFDA58DA,坡道平面,3000000,26.05,地下二樓
RPPNMLTLNHLGFCA28DA,坡道平面,3000000,26.82,地下三樓
RPWNMLPJNHLGFDA48DA,坡道平面,3900000,26.05,地下一樓
RPWNMLPJNHLGFDA48DA,坡道平面,3900000,26.05,地下一樓
RPSNMLLKNHLGFCA67DA,坡道平面,0,,地下二樓
RPVNMLKLNHLGFCA97DA,升降機械,900000,19.37,地下二樓
RPPOMLLJOHLGFDA57DA,坡道平面,3500000,33.34,地下二樓
RPVNMLOKNHLGFEA48DA,坡道平面,3000000,33.20,地下二樓
RPVNMLOKNHLGFEA48DA,坡道平面,3000000,33.20,地下二樓
RPPNMLMJOHLGFEA77EA,坡道平面,3100000,34.71,地下三樓
RPWNMLLJOHLGFBA97DA,坡道平面,3600000,32.77,地下二樓
RPUNMLLJOHLGFBA77DA,坡道機械,2900000,35.62,地下一樓
RPSNMLMJOHLGFBA67DA,坡道機械,1260000,,地下三樓
RPPNMLLLNHLGFCA47DA,坡道平面,2500000,33.71,地下二樓
RPRNMLSLNHLGFEA58DA,坡道平面,0,33.04,地下三樓
RPRNMLSLNHLGFEA58DA,坡道平面,0,34.71,地下三樓
RPXNMLNJOHLGFEA58DA,塔式車位,0,,
RPTNMLMJOHLGFEA08DA,坡道平面,0,19.09,地下四樓
RPPNMLNJOHLGFBA57EA,其他,2000000,6.01,無固定樓層
RPQNMLNJOHLGFBA67EA,其他,2000000,6.01,無固定樓層
RPUNMLNJOHLGFCA08DA,坡道平面,2380000,39.80,地下二樓
RPUNMLNJOHLGFCA08DA,坡道平面,2380000,39.80,地下二樓
RPQOMLLKNHLGFFA87DA,坡道平面,4500000,33.52,地下三樓
RPWNMLMLNHLGFDA38DA,塔式車位,950000,,地下二樓
RPSNMLRLNHLGFCA38DA,坡道機械,0,,地下三樓
RPVNMLSLNHLGFBA68DA,坡道平面,0,26.14,地下二樓
RPSNMLRLNHLGFCA38DA,坡道機械,0,,地下三樓
RPVNMLSLNHLGFBA68DA,坡道平面,0,26.14,地下二樓
RPQNMLMJOHLGFDA67DA,坡道平面,3300000,34.04,地下五樓含以下
RPORMLMJOHLGFCA77DA,坡道平面,3000000,37.26,地下二樓
RPORMLMJOHLGFCA77DA,坡道平面,3000000,37.26,地下二樓
RPPNMLSJOHLGFAA97EA,坡道平面,0,,地下一樓
RPQRMLKLNHLGFDA97DA,坡道平面,3700000,,地下二樓
RPPNMLPJOHLGFAA67EA,坡道平面,2500000,,地下三樓
RPWOMLOJOHLGFDA58DA,坡道平面,1950000,37.80,地下三樓
RPSNMLRLNHLGFFA68DA,升降機械,1400000,,地下三樓
RPPNMLOJOHLGFFA08EA,升降機械,0,,地下二樓
RPWNMLPJOHLGFBA38DA,坡道平面,3600000,35.79,地下一樓
RPSOMLPLNHLGFDA38DA,坡道平面,2500000,34.40,地下一樓
RPWOMLPJOHLGFCA58DA,坡道平面,2320000,36.69,地下一樓
RPQNMLOJOHLGFEA97DA,坡道平面,3200000,33.46,地下三樓
RPPNMLTJOHLGFCA28EA,坡道平面,3200000,36.78,地下二樓
RPQNMLQKMHLGFFA28EA,升降機械,1850000,,無固定樓層
RPUNMLQKMHLGFFA68EA,升降機械,1800000,,地下一樓
RPVNMLPKNHLGFDA58EA,坡道平面,3050000,26.51,地下一樓
RPUNMLPKMHLGFCA18DA,升降平面,1050000,26.36,地下二樓
RPUNMLPKMHLGFCA18DA,升降平面,1000000,26.36,地下二樓
RPQNMLTJMHLGFCA08DA,坡道機械,2000000,12.92,地下一樓
RPXNMLQKMHLGFCA58DA,其他,0,8.90,無固定樓層
RPRNMLQKMHLGFCA97DA,坡道平面,0,37.80,地下二樓
RPRNMLQKMHLGFCA97DA,坡道平面,0,37.80,地下二樓
RPWNMLQKMHLGFCA48DA,其他,0,1.98,無固定樓層
RPPNMLPKMHLGFFA97DA,塔式車位,900000,16.14,
RPVNMLKLMHLGFFA28EA,坡道平面,1980000,34.97,地下一樓
RPQNMLRKMHLGFBA87DA,坡道機械,1180000,19.46,地下四樓
RPQNMLKLMHLGFFA67DA,升降機械,1900000,13.33,地下二樓
RPQNMLMKMHLGFDA57DA,坡道平面,3500000,51.13,地下一樓
RPWNMLLLMHLGFBA97DA,坡道平面,0,,地下一樓
RPPNMLQKMHLGFEA08EA,坡道平面,3500000,44.96,地下一樓
RPRNMLTLNHLGFBA38DA,坡道機械,0,,地下四樓
RPWOMLKLMHLGFCA08DA,坡道平面,1850000,29.60,地下一樓
RPUNMLRKMHLGFBA28DA,坡道平面,3800000,35.62,地下二樓
RPRNMLMLMHLGFEA97EA,坡道平面,3500000,44.24,地下一樓
RPRNMLMLMHLGFEA97EA,坡道平面,3500000,44.24,地下一樓
RPTNMLNKMHLGFBA77DA,坡道平面,3700000,35.62,地下一樓
RPROMLNLMHLGFAA67DA,坡道平面,2200000,41.85,地下二樓
RPUNMLNKMHLGFBA87DA,坡道平面,3700000,35.62,地下二樓
RPSNMLNKMHLGFBA67DA,坡道機械,2800000,35.62,地下二樓
RPTOMLOKMHLGFEA28DA,坡道機械,0,,地下一樓
RPTNMLOKMHLGFEA18DA,升降平面,0,11.78,地下二樓
RPPNMLMLMHLGFCA57EA,坡道平面,2300000,,地下四樓
RPPOMLLJOHLGFFA77DA,坡道平面,3100000,38.09,地下三樓
RPRNMLSLMHLGFBA18DA,坡道平面,0,,地下四樓
RPWOMLLLMHLGFEA38DA,升降平面,0,32.10,地下二樓
RPTOMLMLMHLGFCA97DA,坡道平面,0,37.90,地下四樓
RPTOMLMLMHLGFCA97DA,坡道平面,0,37.90,地下四樓
RPRNMLOLMHLGFAA77EA,坡道機械,1000000,,地下五樓含以下
RPSPMLOKMHLGFDA18DA,坡道平面,1530000,37.59,地下二樓
RPXNMLNLMHLGFEA58DA,坡道平面,0,51.44,地下二樓
RPQOMLRKMHLGFCA08DA,坡道平面,2750000,,地下二樓
RPRPMLKLMHLGFCA67DA,坡道平面,2100000,30.83,地下一樓
RPPNMLKMMHLGFAA17DA,坡道平面,2300000,41.34,地下一樓
RPVNMLNLMHLGFDA28DA,坡道平面,3250000,26.51,地下一樓
RPPNMLOLMHLGFBA67EA,坡道平面,0,,地下一樓
RPWNMLNKMHLGFBA08DA,坡道機械,2800000,35.62,地下三樓
RPSNMLRLMHLGFCA28DA,升降平面,1050000,27.71,地下一樓
RPPOMLNKMHLGFBA47DA,坡道平面,3800000,35.62,地下二樓
RPPNMLSKMHLGFCA97DA,坡道平面,0,36.86,地下三樓
RPPNMLSKMHLGFCA97DA,坡道平面,0,36.86,地下三樓
RPRNMLRKMHLGFCA08DA,坡道平面,2950000,40.33,地下三樓
RPRNMLOLMHLGFEA18EA,坡道平面,3450000,34.71,地下二樓
RPSNMLTLMHLGFEA78EA,坡道機械,1230000,,地下二樓
RPPOMLTLMHLGFEA48DA,坡道平面,3000000,39.79,地下五樓含以下
RPQNMLTLMHLGFDA38DA,坡道平面,2500000,35.22,地下一樓
RPRNMLKMMHLGFCA57DA,升降平面,1750000,42.29,地下二樓
RPRPMLTLMHLGFBA48DA,坡道平面,0,43.59,地下三樓
RPRNMLKMMHLGFEA87EA,坡道平面,2900000,44.17,地下二樓
RPQNMLTLMHLGFFA68EA,塔式車位,1000000,,
RPSNMLKMMHLGFFA97DA,坡道平面,4225000,38.25,地下三樓
RPPNMLNLMHLGFCA57DA,坡道平面,2500000,,地下二樓
RPROMLKLMHLGFCA57DA,坡道平面,2500000,40.96,地下二樓
RPRNMLKMMHLGFBA57EA,坡道機械,2000000,23.96,地下四樓
RPSNMLOJNHLGFBA87EA,升降機械,1100000,22.89,地下三樓
RPPNMLOLMHLGFFA97DA,升降平面,1900000,28.30,地下三樓
RPQNMLNLMHLGFFA97DA,升降機械,2000000,11.75,地下二樓
RPQNMLNLMHLGFFA97DA,升降機械,2000000,11.75,地下二樓
RPPNMLQJNHLGFBA67DA,塔式車位,1050000,9.14,
RPVNMLTLMHLGFDA88DA,坡道平面,3300000,32.96,地下二樓
RPVNMLRJMHLGFCA38DA,坡道平面,3000000,39.18,地下二樓
RPRNMLNLMHLGFFA18EA,坡道平面,3050000,39.34,地下三樓
RPRNMLNKMHLGFBA57DA,坡道機械,2800000,35.62,地下二樓
RPPOMLPJNHLGFCA77DA,塔式車位,1068800,1.30,
RPPNMLQJNHLGFFA08DA,坡道平面,4500000,,地下一樓
RPPNMLQJNHLGFFA08DA,升降平面,3000000,33.35,地下二樓
RPPNMLMLMHLGFDA67EA,坡道機械,1000000,16.82,地下一樓
RPRNMLQJNHLGFFA38EA,坡道平面,3600000,30.07,地下一樓
RPQNMLQJNHLGFFA28EA,坡道平面,0,,地下一樓
RPSOMLKMMHLGFEA97DA,坡道平面,0,33.54,地下四樓
