編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLNKKHLGFDA37CB,南港段一小段,19.52,都市：住,100000,773,持分移轉,05610000
RPPNMLNKKHLGFFA57CB,龍泉段三小段,1.69,都市：商,100000,1062,持分移轉,09660000
RPPNMLOLKHLGFFA77CB,大安段一小段,.94,都市：住,10000,32,持分移轉,02670000
RPPNMLOLKHLGFFA77CB,大安段一小段,.17,都市：住,10000,32,持分移轉,02680000
RPPNMLOLKHLGFFA77CB,大安段一小段,.09,都市：住,10000,32,持分移轉,02690000
RPPNMLOLKHLGFFA77CB,大安段一小段,.10,都市：住,10000,32,持分移轉,02700000
RPPNMLOLKHLGFFA77CB,大安段一小段,2.31,都市：住,10000,32,持分移轉,03130000
RPPNMLOLKHLGFFA77CB,大安段一小段,.88,都市：住,10000,32,持分移轉,03130001
RPPNMLOLKHLGFFA77CB,大安段一小段,1.02,都市：住,10000,32,持分移轉,03130002
RPPNMLOLKHLGFFA77CB,大安段一小段,.89,都市：住,10000,32,持分移轉,03130003
RPPNMLOLKHLGFFA77CB,大安段一小段,.41,都市：住,10000,32,持分移轉,03140000
RPPNMLOLKHLGFFA77CB,大安段一小段,.36,都市：住,10000,32,持分移轉,03170000
RPPNMLOLKHLGFFA77CB,大安段一小段,.36,都市：住,10000,32,持分移轉,03180000
RPPNMLOLKHLGFFA77CB,大安段一小段,.36,都市：住,10000,32,持分移轉,03210000
RPPNMLOLKHLGFFA77CB,大安段一小段,.36,都市：住,10000,32,持分移轉,03220000
RPPNMLOLKHLGFFA77CB,大安段一小段,.35,都市：住,10000,32,持分移轉,03250000
RPPNMLOLKHLGFFA77CB,大安段一小段,.36,都市：住,10000,32,持分移轉,03260000
RPPNMLOLKHLGFFA77CB,大安段一小段,.36,都市：住,10000,32,持分移轉,03290000
RPPNMLOLKHLGFFA77CB,大安段一小段,.01,都市：住,10000,32,持分移轉,03300000
RPPNMLOLKHLGFFA77CB,大安段一小段,.35,都市：住,10000,32,持分移轉,03310000
RPPNMLOLKHLGFFA77CB,大安段一小段,.36,都市：住,10000,32,持分移轉,03340000
RPPNMLOLKHLGFFA77CB,大安段一小段,.36,都市：住,10000,32,持分移轉,03350000
RPPNMLOLKHLGFFA77CB,大安段一小段,.42,都市：住,10000,32,持分移轉,03380000
RPPNMLOLKHLGFFA77CB,大安段一小段,.03,都市：住,10000,32,持分移轉,03390001
RPXNMLPLKHLGFEA58CB,軟橋段,34.30,都市：住,100000,1905,持分移轉,00120000
RPVNMLNLKHLGFEA18CB,新洲美段,33.36,都市：住,100000,1013,持分移轉,01120000
RPRNMLOLKHLGFEA87CB,新民段二小段,9.91,都市：商,100000,1441,持分移轉,05430000
RPWNMLNLKHLGFEA28CB,新洲美段,21.76,都市：住,100000,661,持分移轉,01120000
RPOOMLNLKHLGFEA57CB,福林段一小段,18.96,都市：住,100000,675,持分移轉,02270000
RPOOMLNLKHLGFEA57CB,福林段一小段,.28,都市：住,100000,675,持分移轉,02310000
RPRNMLNLKHLGFAA47DB,木柵段三小段,.57,都市：住,100048,803,持分移轉,04120001
RPRNMLNLKHLGFAA47DB,木柵段三小段,8.88,都市：住,100048,803,持分移轉,04140000
RPRNMLNLKHLGFAA47DB,木柵段三小段,8.23,都市：住,100048,803,持分移轉,04330000
RPRNMLNLKHLGFAA47DB,木柵段三小段,4.89,都市：住,100048,803,持分移轉,04350000
RPRNMLNLKHLGFAA47DB,木柵段三小段,1.13,都市：住,100048,803,持分移轉,04400000
RPRNMLNLKHLGFAA47DB,木柵段三小段,1.60,都市：住,100048,803,持分移轉,04420000
RPRNMLNLKHLGFAA47DB,木柵段三小段,1.27,都市：住,100048,803,持分移轉,04440000
RPRNMLNLKHLGFAA47DB,木柵段三小段,.02,都市：住,100048,803,持分移轉,04450000
RPRNMLNLKHLGFAA47DB,木柵段三小段,.08,都市：住,100048,803,持分移轉,04820000
RPPNMLNLKHLGFAA27DB,木柵段三小段,.47,都市：住,100048,662,持分移轉,04120001
RPPNMLNLKHLGFAA27DB,木柵段三小段,7.32,都市：住,100048,662,持分移轉,04140000
RPPNMLNLKHLGFAA27DB,木柵段三小段,6.79,都市：住,100048,662,持分移轉,04330000
RPPNMLNLKHLGFAA27DB,木柵段三小段,4.03,都市：住,100048,662,持分移轉,04350000
RPPNMLNLKHLGFAA27DB,木柵段三小段,.93,都市：住,100048,662,持分移轉,04400000
RPPNMLNLKHLGFAA27DB,木柵段三小段,1.32,都市：住,100048,662,持分移轉,04420000
RPPNMLNLKHLGFAA27DB,木柵段三小段,1.05,都市：住,100048,662,持分移轉,04440000
RPPNMLNLKHLGFAA27DB,木柵段三小段,.02,都市：住,100048,662,持分移轉,04450000
RPPNMLNLKHLGFAA27DB,木柵段三小段,.07,都市：住,100048,662,持分移轉,04820000
RPWNMLPLKHLGFEA48CB,軟橋段,27.04,都市：住,100000,1502,持分移轉,00120000
RPQNMLNLKHLGFAA37DB,木柵段三小段,.47,都市：住,100048,662,持分移轉,04120001
RPQNMLNLKHLGFAA37DB,木柵段三小段,7.32,都市：住,100048,662,持分移轉,04140000
RPQNMLNLKHLGFAA37DB,木柵段三小段,6.79,都市：住,100048,662,持分移轉,04330000
RPQNMLNLKHLGFAA37DB,木柵段三小段,4.03,都市：住,100048,662,持分移轉,04350000
RPQNMLNLKHLGFAA37DB,木柵段三小段,.93,都市：住,100048,662,持分移轉,04400000
RPQNMLNLKHLGFAA37DB,木柵段三小段,1.32,都市：住,100048,662,持分移轉,04420000
RPQNMLNLKHLGFAA37DB,木柵段三小段,1.05,都市：住,100048,662,持分移轉,04440000
RPQNMLNLKHLGFAA37DB,木柵段三小段,.02,都市：住,100048,662,持分移轉,04450000
RPQNMLNLKHLGFAA37DB,木柵段三小段,.07,都市：住,100048,662,持分移轉,04820000
RPPNMLNLKHLGFCA37CB,長安段一小段,12.69,都市：住,10000,75,持分移轉,04540000
RPPNMLNLKHLGFCA37CB,長安段一小段,3.37,都市：住,10000,75,持分移轉,04540001
RPPNMLKLKHLGFEA27CB,新民段二小段,9.91,都市：商,100000,1441,持分移轉,05430000
RPRNMLOKKHLGFEA77CB,大業段四小段,60.55,都市：工,100000,1411,持分移轉,05740000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.02,都市：商,1000000,2682,持分移轉,06030000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.00,都市：商,1000000,2682,持分移轉,06030001
RPXNMLNKKHLGFCA08CB,吉林段四小段,.06,都市：商,1000000,2682,持分移轉,06030002
RPXNMLNKKHLGFCA08CB,吉林段四小段,.06,都市：商,1000000,2682,持分移轉,06030003
RPXNMLNKKHLGFCA08CB,吉林段四小段,.18,都市：商,1000000,2682,持分移轉,06040000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.08,都市：商,1000000,2682,持分移轉,06050000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.13,都市：商,1000000,2682,持分移轉,06060000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.01,都市：商,1000000,2682,持分移轉,06060001
RPXNMLNKKHLGFCA08CB,吉林段四小段,.02,都市：商,1000000,2682,持分移轉,06070000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.02,都市：商,1000000,2682,持分移轉,06080000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.00,都市：商,1000000,2682,持分移轉,06080001
RPXNMLNKKHLGFCA08CB,吉林段四小段,.03,都市：商,1000000,2682,持分移轉,06090000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.01,都市：商,1000000,2682,持分移轉,06110000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.03,都市：商,1000000,2682,持分移轉,06120000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.15,都市：商,1000000,2682,持分移轉,06130000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.30,都市：商,1000000,2682,持分移轉,06140000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.00,都市：商,1000000,2682,持分移轉,06150000
RPXNMLNKKHLGFCA08CB,吉林段四小段,.01,都市：商,1000000,2682,持分移轉,06150001
RPXNMLNKKHLGFCA08CB,吉林段四小段,.00,都市：商,1000000,2682,持分移轉,06150002
RPXNMLNKKHLGFCA08CB,吉林段四小段,.19,都市：商,1000000,2682,持分移轉,06160000
