鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中山區,租賃房屋,臺北市中山區復興北路３８０巷１１號４樓,0.0,,,,1150211,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920610,27.12,4,2,4,有,無,有,17500,645,,0.0,0,4戶共用走道3.41坪租金總額含水費；網路費；其他第四台；續租案件；,RPWPMLLKKHLGFCA08CC,分租套房,無,1150401~1160331,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
中山區,租賃房屋,臺北市中山區撫順街８號２樓之３,0.0,,,,1150211,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),多戶住宅,鋼筋混凝土造,1130902,45.37,1,1,1,有,有,有,52000,1146,,0.0,0,租金總額含管理費；其他租金內含發票稅；,RPORMLLKKHLGFCA47CC,整棟(戶)出租,有,1150310~1170309,有,冷氣、熱水器、洗衣機、電視機、冰箱,
大安區,租賃房屋,臺北市大安區四維路９４號,0.0,,,,1150211,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,0551014,93.02,0,0,0,無,無,無,55000,591,,0.0,0,租金總額含稅；,RPOOMLLKKHLGFFA47CC,,無,1150511~1180510,無,,
中山區,租賃房屋,臺北市中山區民族東路２５２巷１０號三樓,0.0,,,,1150211,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740403,104.91,3,2,2,有,無,有,27000,257,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫之物件。續租案件；,RPPNMLMKKHLGFCA27CC,整棟(戶)出租,無,1150301~1160228,無,冷氣、熱水器,社會住宅代管
內湖區,租賃房屋,臺北市內湖區金龍路１０９號三樓,0.0,,,,1150211,土地0建物0車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660803,17.72,4,1,2,有,無,有,17200,971,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPPOMLMKKHLGFCA37CC,分租套房,無,1150301~1160331,無,冷氣、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
中山區,租賃房屋,臺北市中山區中山北路二段４４號１７樓,0.0,,,,1150211,土地0建物2車位0,見其他登記事項,17,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0800919,1857.85,0,0,0,無,有,無,1607500,865,,0.0,0,租金為未稅價，本租賃案承租17樓1441.32平方公尺及14樓部分面積416.53平方公尺含有多個門牌且未個別計算租金台北市中山區中山北路二段44號14樓、17樓；租賃期間有約定不同租金115/03/01~118/02/28每期月租金新台幣1607500元未稅118/03/01~120/02/28每期月租金新台幣1655725元未稅；,RPSOMLMKKHLGFCA67CC,,有,1150301~1200228,有,,
中山區,租賃房屋,臺北市中山區民權東路二段７１巷４３號,0.0,,,,1150212,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0561030,27.01,4,1,3,有,無,有,16000,592,,0.0,0,含增建或未登記建物；續租案件；,RPTPMLMKKHLGFCA87CC,分租套房,無,1150214~1150513,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
信義區,租賃房屋,臺北市信義區松山路４６５巷１４弄１１號２樓,0.0,,,,1150211,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610325,77.45,3,2,1,有,無,有,28000,362,,0.0,0,,RPOOMLMKKHLGFDA37CC,整棟(戶)出租,無,1150301~1161231,無,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
大安區,租賃房屋,臺北市大安區信義路四段６０之３８號六樓,0.0,,,,1150212,土地0建物1車位0,六層,6,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600301,35.12,1,1,1,有,有,有,28000,797,,0.0,0,管理費每個月300元不包含在租金內,RPWNMLMKKHLGFFA28CC,獨立套房,有,1150220~1160219,無,熱水器、洗衣機、電視機、冰箱,社會住宅代管
