編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUOMLNKKHLGFDA08CC,35,88.68,住家用,鋼筋混凝土造,80年1月21日,六層,,
RPUOMLNKKHLGFDA08CC,35,22.10,共有部分,鋼筋混凝土造,80年1月21日,六層,,
RPWOMLNKKHLGFDA28CC,40,88.62,住家用,鋼筋混凝土造,74年12月10日,五層,,
RPWOMLNKKHLGFDA28CC,40,10.32,共有部分,鋼筋混凝土造,74年12月10日,五層,,
RPOOMLMKKHLGFDA37CC,54,77.45,住家用,鋼筋混凝土造,61年3月25日,四層,,
RPSNMLNKKHLGFDA77CC,28,13.00,住家用,壹、貳層鋼筋混凝土造，參層磚牆石棉瓦屋頂,87年5月4日,三層,,
RPQNMLQKKHLGFDA87CC,56,31.54,住家用,鋼筋混凝土造,59年1月27日,四層,,
RPWPMLNKKHLGFBA18CC,30,37.60,住家用,鋼筋混凝土造,85年6月15日,五層,,
RPWPMLNKKHLGFBA18CC,30,28.88,共有部分,鋼筋混凝土造,85年6月15日,五層,,
RPWPMLNKKHLGFBA18CC,30,5.61,共有部分,鋼筋混凝土造,85年6月15日,五層,,
RPPNMLSKKHLGFAA67CC,44,97.31,見使用執照,鋼筋混凝土造,71年7月27日,五層,,
RPQNMLSKKHLGFAA77CC,44,102.81,住家用,鋼筋混凝土造,71年6月19日,五層,,
RPQNMLSKKHLGFAA77CC,44,8.44,共有部分,鋼筋混凝土造,71年6月19日,五層,,
RPOOMLLKKHLGFFA47CC,59,54.66,,加強磚造,55年10月14日,四層,,
RPOOMLLKKHLGFFA47CC,59,38.36,共有部分,加強磚造,55年10月14日,四層,,
RPWNMLMKKHLGFFA28CC,55,35.12,住家用,鋼筋混凝土造,60年3月1日,六層,,
RPPOMLMKKHLGFFA67CC,38,155.26,見使用執照,鋼筋混凝土造,77年6月1日,十二層,,
RPPOMLMKKHLGFFA67CC,38,13.33,共有部分,鋼筋混凝土造,77年6月1日,十二層,,
RPPNMLSKKHLGFBA77CC,25,16.89,見使用執照,鋼筋混凝土造,90年7月5日,十四層,,
RPPOMLMKKHLGFFA67CC,38,42.04,共有部分,鋼筋混凝土造,77年6月1日,十二層,,
RPPNMLSKKHLGFBA77CC,25,7.33,共有部分,鋼筋混凝土造,90年7月5日,十四層,,
RPPNMLSKKHLGFFA18CC,46,77.12,住家用,鋼筋混凝土造,69年6月2日,五層,,
RPPNMLLLKHLGFDA37CC,13,30.00,住家用,鋼筋混凝土造,101年11月7日,六層,,
RPQNMLLLKHLGFDA47CC,13,30.00,住家用,鋼筋混凝土造,101年11月7日,六層,,
RPQNMLNLKHLGFAA37CC,20,67.99,一般事務所,鋼筋混凝土造,94年12月29日,十五層,,
RPQNMLNLKHLGFAA37CC,20,24.74,共有部分,鋼筋混凝土造,94年12月29日,十五層,,
RPQNMLNLKHLGFAA37CC,20,6.44,共有部分,鋼筋混凝土造,94年12月29日,十五層,,
RPUNMLNLKHLGFBA87CC,30,26.39,住家用,鋼筋混凝土造,85年6月15日,五層,,
RPUNMLNLKHLGFBA87CC,30,8.09,共有部分,鋼筋混凝土造,85年6月15日,五層,,
RPRNMLNLKHLGFBA57CC,31,50.55,商業用,鋼筋混凝土造,84年5月1日,十一層,,
RPRNMLNLKHLGFBA57CC,31,12.64,共有部分,鋼筋混凝土造,84年5月1日,十一層,,
RPRNMLNLKHLGFBA57CC,31,50.55,商業用,鋼筋混凝土造,84年5月1日,十一層,,
RPRNMLNLKHLGFBA57CC,31,12.64,共有部分,鋼筋混凝土造,84年5月1日,十一層,,
RPVNMLNLKHLGFBA97CC,41,64.98,住家用,鋼筋混凝土造,73年11月17日,五層,,
RPQOMLNLKHLGFBA57CC,,24.49,,加強磚造,,二層,,
RPPNMLSKKHLGFEA08CC,44,19.44,住家用,鋼筋混凝土造,70年8月20日,五層,,
RPPNMLSKKHLGFEA08CC,44,.21,共有部分,鋼筋混凝土造,70年8月20日,五層,,
RPQNMLSKKHLGFEA18CC,48,91.32,住家用,鋼筋混凝土造,67年8月8日,四層,,
RPUNMLNLKHLGFDA08CC,54,111.48,商業用,鋼筋混凝土造,61年3月8日,十層,,
RPUNMLNLKHLGFDA08CC,54,45.01,共有部分,鋼筋混凝土造,61年3月8日,十層,,
RPUOMLNLKHLGFDA18CC,49,93.38,住家用,鋼筋混凝土造,65年11月25日,四層,,
RPPPMLNLKHLGFDA77CC,49,45.44,住家用,鋼筋混凝土造,66年8月9日,十二層,,
RPXOMLNLKHLGFDA48CC,51,51.00,住家用,鋼筋混凝土造,64年4月11日,四層,,
RPVPMLNLKHLGFDA38CC,42,30.42,商業用,鋼骨鋼筋混凝土造,72年10月5日,十五層,,
RPSQMLNLKHLGFDA18CC,42,30.57,商業用,鋼骨鋼筋混凝土造,72年10月5日,十五層,,
RPUQMLNLKHLGFDA38CC,44,12.40,見使用執照,鋼筋混凝土造,71年6月8日,七層,,
RPWPMLNLKHLGFDA48CC,42,30.73,商業用,鋼骨鋼筋混凝土造,72年10月5日,十五層,,
RPPPMLNLKHLGFEA87CC,53,122.15,住家用,鋼筋混凝土造,62年1月19日,四層,,
RPROMLNLKHLGFEA97CC,17,121.01,住家用,鋼筋混凝土造,98年7月20日,十二層,,
RPROMLNLKHLGFEA97CC,17,32.89,共有部分,鋼筋混凝土造,98年7月20日,十二層,,
RPROMLNLKHLGFEA97CC,17,3.54,共有部分,鋼筋混凝土造,98年7月20日,十二層,,
RPROMLNLKHLGFEA97CC,17,13.56,共有部分,鋼筋混凝土造,98年7月20日,十二層,,
RPROMLNLKHLGFEA97CC,17,7.84,共有部分,鋼筋混凝土造,98年7月20日,十二層,,
RPWNMLNLKHLGFFA48CC,40,75.25,商業用,鋼筋混凝土造,74年8月16日,六層,,
RPWNMLNLKHLGFFA48CC,40,9.58,共有部分,鋼筋混凝土造,74年8月16日,六層,,
RPPNMLOLKHLGFAA37CC,14,33.27,集合住宅,鋼筋混凝土造,101年6月26日,十層,,
RPPNMLOLKHLGFAA37CC,14,5.72,集合住宅,鋼筋混凝土造,101年6月26日,十層,,
RPPNMLOLKHLGFAA37CC,14,23.87,共有部分，本共有部分之項目有管委會使用空間、陽台、樓梯、行動不便者電梯、行動不便者輪椅迴轉空間、水箱、門廳、機房、消防泵浦室、機電設備空間、管理員室、機車位、停車空間、緊急發電機室、電信室、雨遮、樓梯間、民生水箱、消防水箱、機械室、台電配電室等２１項。,鋼筋混凝土造,101年6月26日,十層,,
RPXNMLNLKHLGFFA58CC,16,28.25,住家用,鋼筋混凝土造,98年11月13日,十二層,,
RPXNMLNLKHLGFFA58CC,16,14.21,本共有部分之項目有梯廳、大廳、樓電梯間、管委會使用空間、管理員辦公室、陽台、雨遮、消防箱、進排風管道、排風管道、供電信使用空間、台電配電室、防空避難室兼機車停車空間、機車停車空間、發電機室、電梯機械室、消防機械室、水箱、消防水箱等１９項,鋼筋混凝土造,98年11月13日,十二層,,
RPXNMLNLKHLGFFA58CC,16,.41,本共有部分之項目有汽機車坡道，防空避難室兼汽車停車空間，停車空間等３項,鋼筋混凝土造,98年11月13日,十二層,,
RPTNMLOLKHLGFAA77CC,35,161.92,住家用,鋼筋混凝土造,80年1月29日,五層,,
RPTNMLOLKHLGFAA77CC,35,20.79,共有部分,鋼筋混凝土造,80年1月29日,五層,,
RPUNMLOLKHLGFAA87CC,10,111.99,一般零售業甲組（不含便利商店）,鋼骨鋼筋混凝土造,105年1月26日,十九層,,
RPVNMLOLKHLGFAA97CC,50,73.83,住家用,鋼筋混凝土造,65年4月9日,四層,,
RPPNMLOLKHLGFBA47CC,48,18.15,商業用,鋼筋混凝土造,67年3月25日,十二層,,
RPPNMLOLKHLGFBA47CC,48,5.01,共有部分,鋼筋混凝土造,67年3月25日,十二層,,
RPRNMLOLKHLGFBA67CC,59,88.11,,加強磚造,56年5月8日,四層,,
RPQNMLOLKHLGFBA57CC,51,70.82,住家用,鋼筋混凝土造,64年1月7日,四層,,
RPSNMLOLKHLGFBA77CC,49,83.84,住家用,鋼筋混凝土造,65年10月23日,四層,,
RPUNMLOLKHLGFBA97CC,38,24.01,住家用,鋼筋混凝土造,76年12月21日,八層,,
RPUNMLOLKHLGFBA97CC,38,9.45,共有部分,鋼筋混凝土造,76年12月21日,八層,,
RPROMLOLKHLGFBA77CC,29,29.73,住家用,鋼筋混凝土造,85年10月28日,十四層,,
RPROMLOLKHLGFBA77CC,29,6.66,共有部分,鋼筋混凝土造,85年10月28日,十四層,,
RPROMLOLKHLGFBA77CC,29,1.44,共有部分,鋼筋混凝土造,85年10月28日,十四層,,
RPROMLOLKHLGFBA77CC,29,8.82,共有部分,鋼筋混凝土造,85年10月28日,十四層,,
RPVNMLOLKHLGFBA08CC,47,46.63,商業用,預力混凝土造,67年12月15日,十層,,
RPVNMLOLKHLGFBA08CC,47,11.97,共有部分,預力混凝土造,67年12月15日,十層,,
RPUOMLOLKHLGFBA08CC,60,25.56,,加強磚造,55年7月13日,四層,,
RPTPMLMKKHLGFCA87CC,58,27.01,住家用,加強磚造,56年10月30日,四層,,
RPUNMLNKKHLGFCA87CC,45,16.05,住家用,鋼筋混凝土造,70年1月22日,十四層,,
RPUNMLNKKHLGFCA87CC,45,6.56,共有部分,鋼筋混凝土造,70年1月22日,十四層,,
RPSOMLMKKHLGFCA67CC,34,995.33,商業用,鋼骨鋼筋混凝土造,80年9月19日,十七層,,
RPSNMLNLKHLGFCA77CC,41,91.14,住商用,鋼筋混凝土造,74年7月15日,五層,,
RPSOMLMKKHLGFCA67CC,34,290.00,商業用,鋼骨鋼筋混凝土造,80年9月19日,十七層,,
RPORMLLKKHLGFCA47CC,1,28.63,多戶住宅,鋼筋混凝土造,113年9月2日,十五層,,
RPSOMLMKKHLGFCA67CC,34,572.52,共有部分,鋼骨鋼筋混凝土造,80年9月19日,十七層,,
RPORMLLKKHLGFCA47CC,1,16.74,本共有部分之項目有無障礙昇降機、緊急升降機、排煙室、戶外安全梯Ａ無障礙樓梯、戶外安全梯Ｂ、室內無障礙通道、管委會空間一、管委會空間二、管委會空間三、一般昇降機、梯廳、車道、水塔、停車空間、防空避難室兼停車空間、電信機房、發電機室、資源回收室、機房、台電配電場所、受電箱室、消防幫浦室、水箱等２３項。,鋼筋混凝土造,113年9月2日,十五層,,
RPUOMLNKKHLGFCA97CC,37,20.61,住家用,鋼筋混凝土造,78年1月19日,十層,,
RPUOMLNKKHLGFCA97CC,37,5.63,共有部分,鋼筋混凝土造,78年1月19日,十層,,
RPQOMLNLKHLGFCA67CC,18,22.71,住家用,鋼筋混凝土造,97年3月12日,十四層,,
RPQOMLNLKHLGFCA67CC,18,11.24,共有部分,鋼筋混凝土造,97年3月12日,十四層,,
RPPOMLNKKHLGFCA47CC,2,101.26,集合住宅,鋼筋混凝土造,112年11月13日,二十三層,,
RPPNMLSKKHLGFCA87CC,48,112.63,住家用,鋼筋混凝土造,67年1月16日,四層,,
RPPOMLNKKHLGFCA47CC,2,27.91,本共有部分之項目有緩衝空間、特別安全梯（甲梯）、特別安全梯（乙梯）、供行動不便者使用昇降機、客用昇降機、梯廳、排煙室、大廳、管理委員會使用空間、發電機排風管道、車道、行動不便坡道、消防管道、廁所、公共廁所、走廊、無障礙通路、緊急昇降機、機房、安全梯（丙梯）、停車場進風、停車場排風、陽台、弱電管道、特別安全梯（乙梯２）、進風排煙管道、電梯機坑、中繼連結泵、中繼消防機房、電梯機房、水箱、中繼水箱、消防中繼水箱、發電機進氣、緊急發電機室、受電箱、安全梯（乙梯）、台電配電場所、電錶區、防空避難室兼停車空間、進風機房、汽車停等空間、排風機房、防災中心、機房（垃圾儲存空間）、汽車坡道（雙車道）、水箱Ａ、水箱Ｂ、水箱Ｃ、揚水泵機房、電信機房、消防泵浦室（一）、消防泵浦室（二）、雨水回收機房及特別安全梯（乙梯１）等５５項。,鋼筋混凝土造,112年11月13日,二十三層,,
RPWOMLNLKHLGFCA28CC,53,16.50,住家用,鋼筋混凝土造,61年11月10日,六層,,
RPPOMLNKKHLGFCA47CC,2,26.40,本共有部分之項目有特別安全梯（甲梯）、特別安全梯（乙梯）、梯廳兼排煙室、客用昇降機、供行動不便者使用昇降機、梯廳、排煙室、管理委員會使用空間（一）、管理委員會使用空間（二）、陽台及雨遮等１１項。,鋼筋混凝土造,112年11月13日,二十三層,,
RPPOMLNKKHLGFCA47CC,2,.33,本共有部分之項目有梯廳兼排煙室、客用昇降機及供行動不便者使用昇降機等３項。,鋼筋混凝土造,112年11月13日,二十三層,,
RPPOMLNKKHLGFCA47CC,2,41.19,本共有部分之項目有停車空間及汽車停等空間等２項。,鋼筋混凝土造,112年11月13日,二十三層,,
RPQOMLNKKHLGFCA57CC,47,13.80,住家用,鋼筋混凝土造,68年3月1日,七層,,
RPQOMLNKKHLGFCA57CC,47,3.20,共有部分,鋼筋混凝土造,68年3月1日,七層,,
RPPNMLMKKHLGFCA27CC,41,92.60,住家用,鋼筋混凝土造,74年4月3日,五層,,
RPPNMLMKKHLGFCA27CC,41,11.21,共有部分,鋼筋混凝土造,74年4月3日,五層,,
RPPNMLMKKHLGFCA27CC,41,1.10,共有部分,鋼筋混凝土造,74年4月3日,五層,,
RPTOMLNLKHLGFCA97CC,12,26.06,住家用,鋼筋混凝土造,103年6月9日,六層,,
RPTOMLNLKHLGFCA97CC,12,3.72,住家用,鋼筋混凝土造,103年6月9日,六層,,
RPTOMLNLKHLGFCA97CC,12,35.47,本共有部分之項目有安全梯、機車停車空間、機房（電信使用）、供行動不便者使用之電梯、１．５Ｔ水箱、水箱、台電配電室、防空避難室及雨遮等９項。,鋼筋混凝土造,103年6月9日,六層,,
RPPOMLMKKHLGFCA37CC,49,17.72,住家用,鋼筋混凝土造,66年8月3日,四層,,
RPPNMLKLKHLGFCA17CC,9,55.58,住家用,鋼筋混凝土造,106年1月10日,十層,,
