編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLPJNHLGFFB28DA,正義段,7.45,都市：其他:第二種住宅區,1440,4,持分移轉,12770000
RPPOMLPJNHLGFFB18DA,正義段,.63,都市：其他:第二種住宅區,216000,600,持分移轉,13050000
RPPNMLMKNHLGFFB87DA,興仁段,80.82,都市：其他:第四種住宅區,1,1,全筆移轉,08010000
RPPNMLMKNHLGFFB87DA,興仁段,30.97,都市：其他:第四種住宅區,74,2,持分移轉,08090000
RPSNMLLKNHLGFDB87DA,新店西段,685.33,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,07820000
RPQOMLOKNHLGFCB97DA,協安段,32.16,都市：其他:農業區,1,1,全筆移轉,00670002
RPPNMLNKNHLGFKB58EA,龍泉段,22.85,都市：其他:第四種住宅區,63360,561,持分移轉,02110000
RPUNMLSJNHLGFBB48DA,東信段,16.03,都市：其他:第四種商業區,50000,215,持分移轉,02640000
RPQOMLOKNHLGFBB87DA,東光段,2.43,都市：其他:第四種商業區,100000,123,持分移轉,01950001
RPRNMLOJNHLGFDB97DA,博愛段,9.73,都市：其他:第二種商業區,1000,6,持分移轉,08080000
RPPOMLOKNHLGFBB77DA,東峰段,23.32,都市：其他:第一種商業區,10000,258,持分移轉,02070000
RPROMLQJNHLGFAB97DA,中華段三小段,1.50,都市：其他:第一種商業區,20000,20,持分移轉,00020021
RPUPMLMKNHLGFCB28DA,西屯段,3.56,都市：其他:第三之二種住宅區,1000000,1254,持分移轉,22950000
RPPNMLNJNHLGFAB37DA,頂橋子頭段,3.30,都市：其他:第二種住宅區,10000,17,持分移轉,02980000
UPUNMLSJNHLGFJB96DA,中天段,81.95,,1,1,全筆移轉,00250000
RPUOMLSJNHLGFCB68DA,西屯段,3.15,都市：其他:第三之二種住宅區,1000000,1108,持分移轉,22950000
RPSOMLSJNHLGFBB38DA,昌平段,28.61,都市：其他:第五種住宅區,100000,619,持分移轉,02550000
RPPNMLSJOHLGFEB38DA,武曲段,4.00,都市：其他:乙種工業區,1,1,全筆移轉,03630002
SPUNMLSJNHLGFJB76DA,中天段,296.04,,1,1,全筆移轉,00140000
RPTQNLPJNHLGFCB58DA,西屯段,3.22,都市：其他:第二種商業區,100000,95,持分移轉,09320000
TPUNMLSJNHLGFJB86DA,中天段,219.88,,1,1,全筆移轉,00150000
RPVNMLRJNHLGFIB56DA,樹王段,4.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,96,1,持分移轉,07560000
RPVNMLRJNHLGFIB56DA,樹王段,1.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,96,1,持分移轉,07560001
RPPOMLSJNHLGFFB48DA,興安西段,20.57,都市：其他:第四種住宅區,10000,45,持分移轉,00880000
RPQNMLLKNHLGFFB87DA,三田段,134.00,都市：其他:農業區,1,1,全筆移轉,00650002
RPUNMLSJNHLGFJB66DA,中天段,212.74,,1,1,全筆移轉,00130000
RPWNMLLKNHLGFDB28DA,一心段,46.33,都市：其他:農業區,1,1,全筆移轉,05150000
RPXPMLMKNHLGFCB58DA,中仁段,3.41,都市：其他:第一種商業區,100000,220,持分移轉,03360000
RPSNMLPJNHLGFKB88DA,福麗段,100.00,都市：其他:農業區,1,1,全筆移轉,02570011
RPQNMLOJNHLGFKB58DA,追分段,17.09,都市：其他:第一種住宅區,806400,6776,持分移轉,13440000
RPQNMLOJNHLGFKB58DA,追分段,18.00,都市：其他:第一種住宅區,115200,968,持分移轉,13450000
RPPNMLNKNHLGFEB87DA,安田段,97.05,非都市：特定農業區 ; 非都市編定：水利用地,1737,1118,持分移轉,08460000
RPPNMLNKNHLGFEB87DA,安田段,184.24,非都市：特定農業區 ; 非都市編定：水利用地,1737,1118,持分移轉,08520000
RPSQMLOJNHLGFBB18DA,中德段,2.47,都市：其他:第三種住宅區。,1000000,745,持分移轉,04660000
RPQQMLQJNHLGFBB18DA,北屯段,136.00,都市：其他:第二種住宅區,1,1,全筆移轉,05090035
RPTQMLQJNHLGFBB48DA,平田段,4.90,都市：其他:第二種住宅區,10000,12,持分移轉,04440000
RPPNMLKKNHLGFEB57DA,水美東段,458.58,非都市：特定農業區 ; 非都市編定：農牧用地,12,6,持分移轉,02810000
RPPNMLKKNHLGFEB57DA,水美東段,394.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,12,6,持分移轉,02820000
RPUNMLQJNHLGFAB18DA,重慶段二小段,4.40,都市：其他:第一種商業區,100000,323,持分移轉,00060002
RPUNMLPJNHLGFDB38DA,安康段,29.65,都市：其他:第二種住宅區,100000,802,持分移轉,09800000
RPUNMLPJNHLGFDB38DA,安康段,.41,都市：其他:第三種住宅區。,100000,802,持分移轉,09810001
RPSNMLOKNHLGFFB38DA,南簡段,36.50,都市：其他:第四種住宅區,4,2,持分移轉,11100026
RPQNMLOKNHLGFFB18DA,南簡段,137.00,都市：其他:第四種住宅區,4,2,持分移轉,11040000
RPRNMLOKNHLGFFB28DA,南簡段,103.00,都市：其他:第四種住宅區,4,2,持分移轉,11090000
RPRNMLOKNHLGFFB28DA,南簡段,32.50,都市：其他:第四種住宅區,4,2,持分移轉,11090002
RPSOMLPKNHLGFDB38DA,神林段,120.46,都市：其他:農業區,1,1,全筆移轉,08350001
RPUNMLQJNHLGFFB68DA,三民段,300.00,都市：其他:第四種住宅區,1,1,全筆移轉,15860000
RPTNMLSKNHLGFFB88DA,太平段,79.48,都市：其他:乙種工業區,1,1,全筆移轉,06460000
