鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
北屯區,房地(土地+建物)+車位,臺中市北屯區山西路二段、崇德二路二段、仁平街、水連街,28.07,住,,,1150212,土地1建物1車位2,二十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.1,2,2,2,有,無,28370000,236174,坡道平面,62.76,4200000,,RPQNMLMKKHLGFBB27CB,惠宇仁平MY PARK,21F-B號,
烏日區,房地(土地+建物),臺中市烏日區慶光路100號,18.9,,特定農業區,甲種建築用地,1150211,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,73.07,1,1,1,有,無,5950000,81429,,0.0,0,,RPPNMLMKKHLGFIB87CB,旺聖豪景,B棟B2號,
南區,房地(土地+建物)+車位,臺中市南區慶順路,22.91,住,,,1150213,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.67,2,2,1,有,無,20060000,215090,坡道平面,34.1,2300000,,RPPNMLNKKHLGFAB17CB,惠宇大沁,D棟11號,
南屯區,房地(土地+建物)+車位,臺中市南屯區龍富三街近永順路,34.3,住,,,1150213,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.51,2,2,2,有,無,21200000,208677,坡道平面,43.7,2250000,,RPPNMLNKKHLGFCB37CB,鉅虹蒔荃,A3棟06號,
南屯區,房地(土地+建物)+車位,臺中市南屯區龍富十路、文心南五路二段、鎮富路,39.08,住,,,1150213,土地1建物1車位2,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,201.19,3,2,2,有,無,34720000,217301,坡道平面,61.2,4300000,,RPWOMLNKKHLGFCB18CB,惠宇永益,F棟8F號,
后里區,房地(土地+建物)+車位,臺中市后里區中正路108號旁,18.83,住,,,1150212,土地1建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.81,2,2,1,有,無,7280000,95731,坡道機械,8.12,800000,,RPTNMLNKKHLGFDB87CB,后科１時代Ⅵ-光耀后科,A1棟5F號,
北屯區,房地(土地+建物)+車位,臺中市北屯區北平路四段與熱河路二段交叉口,25.98,住,,,1150213,土地5建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.79,2,1,2,有,無,15410000,178585,其他,7.5,1250000,交易總價含下列非屬預售屋價格之費用:客變費:980000元,RPPNMLPKKHLGFBB47CB,京日晶日,D棟3號,
豐原區,房地(土地+建物)+車位,臺中市豐原區西勢路,15.47,住,,,1150214,土地4建物1車位1,一層,19,店面(店鋪),商業用,鋼筋混凝土造,,109.36,0,0,0,無,無,23680000,296100,坡道平面,37.83,2500000,,RPSNMLPKKHLGFDB97CB,慶山合作,店棟6號,
豐原區,房地(土地+建物)+車位,臺中市豐原區西勢路,19.85,住,,,1150214,土地4建物1車位1,一層,19,店面(店鋪),商業用,鋼筋混凝土造,,129.22,0,0,0,無,無,30080000,300689,坡道平面,37.83,2600000,,RPTNMLPKKHLGFDB08CB,慶山合作,店棟7號,1150304全部解約
豐原區,房地(土地+建物)+車位,臺中市豐原區永康路213巷,28.31,住,,,1150213,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.26,3,2,2,有,無,16200000,120070,坡道平面,32.33,1800000,,RPPNMLKLKHLGFDB27CB,坤聯富豐原匯,T棟11號,
