編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMKKHLGFIB87CB,溪南西段,18.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,884,持分移轉,21470000
RPWOMLNKKHLGFCB18CB,永益段,39.08,都市：住,10000,75,持分移轉,01180000
RPPNMLNKKHLGFCB37CB,昌明段,34.30,都市：住,100000,2020,持分移轉,04340000
RPQNMLMKKHLGFBB27CB,仁平段,28.07,都市：住,10000,59,持分移轉,04210000
RPPOMLNLKHLGFCB57CB,惠順段,5.46,都市：商,100000,191,持分移轉,00110000
RPPOMLNLKHLGFCB57CB,惠順段,1.69,都市：商,100000,191,持分移轉,00110001
RPSNMLMLKHLGFCB67CB,永益段,36.47,都市：住,10000,70,持分移轉,01180000
RPPNMLOLKHLGFBB47CB,溝背段,7.60,都市：商,100000,107,持分移轉,00560000
RPQNMLLLKHLGFCB37CB,永益段,35.43,都市：住,10000,68,持分移轉,01180000
RPPNMLMLKHLGFCB37CB,永益段,35.43,都市：住,10000,68,持分移轉,01180000
RPQNMLOLKHLGFBB57CB,溝背段,10.79,都市：商,100000,152,持分移轉,00560000
RPQNMLKLKHLGFDB37CB,豐田段,27.54,都市：住,100000,391,持分移轉,01110000
RPTNMLPKKHLGFDB08CB,三村段,.36,都市：住,100000,1078,持分移轉,00200000
RPTNMLPKKHLGFDB08CB,三村段,12.37,都市：住,100000,1078,持分移轉,00210000
RPRNMLMLKHLGFCB57CB,生態段,24.81,都市：住,100000,2494,持分移轉,00370000
RPTNMLPKKHLGFDB08CB,三村段,2.60,都市：住,100000,1078,持分移轉,00210001
RPTNMLPKKHLGFDB08CB,三村段,4.52,都市：住,100000,1078,持分移轉,00220000
RPSNMLPKKHLGFDB97CB,三村段,.28,都市：住,100000,840,持分移轉,00200000
RPSNMLPKKHLGFDB97CB,三村段,9.64,都市：住,100000,840,持分移轉,00210000
RPSNMLPKKHLGFDB97CB,三村段,2.03,都市：住,100000,840,持分移轉,00210001
RPSNMLPKKHLGFDB97CB,三村段,3.52,都市：住,100000,840,持分移轉,00220000
RPRNMLNLKHLGFBB57CB,碧柳段,9.22,都市：商,100000,325,持分移轉,02790000
RPTNMLNKKHLGFDB87CB,中和東段,18.83,都市：住,1000000,10769,持分移轉,05200000
RPRNMLKLKHLGFFB67CB,市鎮南段,16.66,都市：商,10000,54,持分移轉,01430000
RPPNMLPKKHLGFBB47CB,東光段,5.35,都市：住,100000,5515,持分移轉,01150001
RPPNMLPKKHLGFBB47CB,東光段,4.63,都市：住,100000,5515,持分移轉,01150003
RPPNMLPKKHLGFBB47CB,東光段,4.58,都市：住,100000,5515,持分移轉,01150004
RPPNMLPKKHLGFBB47CB,東光段,4.52,都市：住,100000,5515,持分移轉,01150005
RPPNMLPKKHLGFBB47CB,東光段,6.89,都市：住,100000,5515,持分移轉,01150006
RPQNMLNLKHLGFBB47CB,碧柳段,13.84,都市：商,100000,167,持分移轉,02930000
RPPNMLKLKHLGFDB27CB,豐田段,28.31,都市：住,100000,402,持分移轉,01110000
RPWNMLPLKHLGFCB38CB,廣明段,33.12,都市：其他:第二種創新研發專用區,100000,754,持分移轉,08660000
RPPNMLPLKHLGFKB48CB,龍山段,19.56,都市：住,100000,2734,持分移轉,01830000
RPQNMLOLKHLGFDB77CB,豐田段,19.44,都市：住,100000,276,持分移轉,01110000
RPPNMLMJLHLGFKB08CB,鷺山段,30.53,都市：住,100000,2240,持分移轉,10170000
RPQNMLMJLHLGFKB18CB,鷺山段,27.27,都市：住,100000,2001,持分移轉,10170000
RPPNMLMJLHLGFFB57CB,民族段,36.39,都市：農,10000,251,持分移轉,01930000
RPPNMLMJLHLGFAB07CB,後壠子段,1.73,都市：商,100000,5241,持分移轉,01730093
RPPNMLMJLHLGFAB07CB,後壠子段,.37,都市：住,100000,5241,持分移轉,01730162
RPPNMLMJLHLGFAB07CB,後壠子段,11.69,都市：住,100000,5241,持分移轉,01730094
