編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLOLKHLGFCB18CC,惠義段,767.66,都市：住,,,,00420000
RPSNMLQLKHLGFKB98CC,忠和段,1625.00,都市：工,,,,07940000
RPSNMLQLKHLGFKB98CC,忠和段,1626.00,都市：工,,,,07940001
RPRNMLQLKHLGFJB78CC,育賢段,15.93,都市：住,,,,02020004
RPPNMLRLKHLGFCB97CC,豐功段,71.91,都市：住,,,,02420000
RPPNMLRLKHLGFCB97CC,豐功段,40.00,都市：住,,,,02430000
RPPNMLRLKHLGFBB97DC,北屯段,8.32,都市：住,,,,01320002
RPPNMLRLKHLGFBB97DC,北屯段,.75,都市：住,,,,01330209
RPXOMLNJLHLGFAB18CC,新庄段,78.48,都市：商,,,,09650000
RPXOMLNJLHLGFAB18CC,新庄段,5.02,都市：商,,,,09660000
RPQPMLNJLHLGFBB67CC,東新段,46.89,都市：住,,,,01620000
RPWOMLNJLHLGFCB28CC,惠順段,5.48,都市：商,,,,00060000
RPXOMLNJLHLGFCB38CC,惠順段,5.88,都市：商,,,,00060000
RPUNMLNJLHLGFCB97CC,上石碑段,16.04,都市：商,,,,09490000
RPVOMLNJLHLGFCB18CC,惠順段,5.24,都市：商,,,,00060000
RPPPMLNJLHLGFCB67CC,惠順段,5.65,都市：商,,,,00060000
RPOPMLNJLHLGFCB57CC,惠順段,5.88,都市：商,,,,00060000
RPQOMLOJLHLGFCB77CC,惠順段,5.92,都市：商,,,,00060000
RPOOMLOJLHLGFCB57CC,惠順段,5.78,都市：商,,,,00060000
RPROMLOJLHLGFCB87CC,惠順段,5.92,都市：商,,,,00060000
RPTOMLQJLHLGFCB28CC,惠泰段,76.87,都市：住,,,,02640002
RPRNMLTJLHLGFCB28CC,惠信段,25.12,都市：住,,,,01180000
RPPNMLTJLHLGFJB78CC,新德隆段,1019.47,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,13820000
RPUNMLKKLHLGFCB77CC,惠順段,5.65,都市：商,,,,00060000
RPVNMLKKLHLGFCB87CC,惠順段,5.48,都市：商,,,,00060000
RPVNMLLKLHLGFBB87CC,仁平段,847.21,都市：住,,,,00760000
RPOOMLLKLHLGFBB27CC,仁平段,195.45,都市：住,,,,00770000
RPWOMLMKLHLGFAB08CC,平等段五小段,20.00,都市：商,,,,00680001
RPWOMLMKLHLGFAB08CC,平等段五小段,73.00,都市：商,,,,00680006
RPOPMLMKLHLGFAB37CC,土庫段,47.80,都市：住,,,,00400145
RPRNMLNKLHLGFDB87CC,豐田段,71.57,都市：住,,,,05280000
RPRNMLNKLHLGFDB87CC,豐田段,5.56,都市：住,,,,05290000
RPPNMLNKLHLGFEB77CC,德化段,69.44,都市：住,,,,11620000
RPTNMLNKLHLGFJB68CC,永成段,15.13,都市：住,,,,00590000
RPTNMLRKLHLGFAB18CC,大益段,85.00,都市：住,,,,09700006
RPSNMLRKLHLGFCB28CC,三塊厝段,18.82,都市：住,,,,11140000
RPQNMLSKLHLGFJB88CC,育賢段,90.28,都市：住,,,,01000005
