編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTOMLLKKHLGFIB38CC,坡道平面,2500,31.54,地下二樓
RPOPMLMKKHLGFBB37CC,坡道平面,0,28.36,地下四樓
RPPOMLMKKHLGFIB08CC,坡道平面,3000,24.76,地下三樓
RPSOMLLKKHLGFBB57CC,坡道平面,2000,24.59,地下三樓
RPUNMLNKKHLGFBB87CC,坡道平面,3000,30.21,地下三樓
RPQNMLMKKHLGFFB77CC,坡道平面,0,32.71,地下三樓
RPXNMLMKKHLGFFB48CC,坡道平面,0,24.74,二樓含以上
RPPOMLMKKHLGFFB77CC,坡道平面,0,24.74,二樓含以上
RPOOMLNKKHLGFFB77CC,坡道平面,0,31.69,地下一樓
RPXNMLNKKHLGFFB58CC,坡道平面,0,24.74,地下二樓
RPWNMLNKKHLGFFB48CC,坡道平面,0,32.71,地下二樓
RPRNMLMKKHLGFKB38CC,坡道機械,1000,12.84,地下一樓
RPQOMLNKKHLGFFB97CC,坡道平面,0,24.74,二樓含以上
RPVNMLNLKHLGFBB08CC,坡道平面,0,27.55,地下三樓
RPWOMLNLKHLGFBB28CC,坡道平面,0,27.60,地下一樓
RPPNMLNLKHLGFFB87CC,坡道平面,377,25.30,地下四樓
RPTNMLNLKHLGFFB28CC,坡道平面,0,23.76,地下二樓
RPSNMLOLKHLGFBB87CC,坡道平面,3000,27.60,地下三樓
RPUNMLOLKHLGFBB08CC,坡道機械,1000,15.50,地下三樓
RPWNMLOLKHLGFBB28CC,坡道機械,255,18.18,地下二樓
RPPNMLNLKHLGFKB38CC,坡道平面,2000,51.67,地下二樓
RPSOMLOLKHLGFCB08CC,坡道平面,0,27.29,地下四樓
RPOOMLOLKHLGFFB97CC,坡道平面,0,24.74,地下三樓
RPVOMLOLKHLGFCB38CC,坡道平面,0,19.66,地下五樓含以下
RPVOMLOLKHLGFCB38CC,坡道平面,0,19.66,地下五樓含以下
RPVOMLOLKHLGFCB38CC,坡道平面,0,22.74,地下五樓含以下
RPUOMLOLKHLGFFB58CC,坡道平面,0,32.71,地下二樓
RPWOMLOLKHLGFFB78CC,坡道平面,0,24.74,二樓含以上
RPTPMLOLKHLGFFB58CC,坡道平面,0,25.30,地下三樓
