編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLPJNHLGFDC08DA,10,51.04,集合住宅,鋼筋混凝土造,105年10月7日,七層,七層 陽台 雨遮,全筆移轉
RPQNMLPJNHLGFDC08DA,10,41.82,本共有部分之項目有防空避難室兼停車場、水箱、配電室、機房、梯廳、車道、大廳、管委會使用空間、A‧B棟門廳、樓梯間及機械室等１１項,鋼筋混凝土造,105年10月7日,七層,,持分移轉
RPUNMLPJNHLGFDC48DA,27,23.85,住家用,鋼筋混凝土造,88年1月14日,十六層,七層 陽台,全筆移轉
RPUNMLPJNHLGFDC48DA,27,5.76,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUNMLPJNHLGFDC48DA,27,.30,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUNMLPJNHLGFDC48DA,27,1.37,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUNMLPJNHLGFDC48DA,27,.57,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPUNMLPJNHLGFDC48DA,27,.29,共用部份,鋼筋混凝土造,88年1月14日,十六層,,持分移轉
RPPNMLPKNHLGFDC18EA,45,93.95,住家用,鋼筋混凝土造,70年9月14日,五層,一層 平台 停車場,全筆移轉
RPTNMLPKNHLGFDC48DA,50,62.31,住家用,鋼筋混凝土加強磚造,65年10月5日,四層,三層,全筆移轉
RPUOMLPKNHLGFDC68DA,54,52.42,住商用,加強磚造,61年7月24日,二層,一層 二層 騎樓,全筆移轉
RPPOMLMKNHLGFDC87DA,46,29.01,住家用,鋼筋混凝土造,69年2月11日,四層,一層,持分移轉
RPSNMLPKNHLGFDC38DA,50,62.31,住家用,鋼筋混凝土加強磚造,65年10月5日,四層,二層,全筆移轉
RPRNMLLKNHLGFDC87DA,28,119.83,住家用,鋼筋混凝土造,86年11月21日,十八層,九層 陽台,全筆移轉
RPRNMLLKNHLGFDC87DA,28,19.14,共用部份,鋼筋混凝土造,86年11月21日,十八層,,持分移轉
