編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKMHLGFDC67CB,武嶺段,.09,都市：住,100000,244,持分移轉,05220004
RPQNMLLKMHLGFDC67CB,武嶺段,1.12,都市：住,100000,244,持分移轉,05260000
RPQNMLLKMHLGFDC67CB,武嶺段,.02,都市：住,100000,244,持分移轉,05330000
RPQNMLLKMHLGFDC67CB,武嶺段,.34,都市：住,100000,244,持分移轉,05650000
RPQNMLLKMHLGFDC67CB,武嶺段,.24,都市：住,100000,244,持分移轉,05650001
RPQNMLLKMHLGFDC67CB,武嶺段,.01,都市：住,100000,244,持分移轉,05660017
RPQNMLLKMHLGFDC67CB,武嶺段,.10,都市：住,100000,244,持分移轉,05660019
RPQNMLLKMHLGFDC67CB,武嶺段,3.19,都市：住,100000,244,持分移轉,05660020
RPQNMLLKMHLGFDC67CB,武嶺段,2.55,都市：住,100000,244,持分移轉,05660021
RPQNMLLKMHLGFDC67CB,武嶺段,6.62,都市：住,100000,244,持分移轉,05660022
RPQNMLLKMHLGFDC67CB,武嶺段,.04,都市：住,100000,244,持分移轉,05660023
RPQNMLLKMHLGFDC67CB,武嶺段,1.12,都市：住,100000,244,持分移轉,05670002
RPQNMLLKMHLGFDC67CB,武嶺段,1.35,都市：住,100000,244,持分移轉,05680002
RPQNMLLKMHLGFDC67CB,武嶺段,.07,都市：住,100000,244,持分移轉,05680004
RPQNMLLKMHLGFDC67CB,武嶺段,.15,都市：住,100000,244,持分移轉,05680005
RPQNMLLKMHLGFDC67CB,武嶺段,2.69,都市：住,100000,244,持分移轉,05690002
RPQNMLLKMHLGFDC67CB,武嶺段,.16,都市：住,100000,244,持分移轉,05690003
RPTNMLTLMHLGFDC88CB,溪頭段,.08,都市：住,1000000,2201,持分移轉,07480000
RPTNMLTLMHLGFDC88CB,溪頭段,16.07,都市：住,1000000,2201,持分移轉,07500000
RPTNMLTLMHLGFDC88CB,溪頭段,.03,都市：住,1000000,2201,持分移轉,07500001
RPTNMLTLMHLGFDC88CB,溪頭段,.22,都市：住,1000000,2201,持分移轉,07500002
RPTNMLTLMHLGFDC88CB,溪頭段,5.09,都市：住,1000000,2201,持分移轉,07530000
RPTNMLTLMHLGFDC88CB,溪頭段,.03,都市：住,1000000,2201,持分移轉,08620001
RPTNMLTLMHLGFDC88CB,溪頭段,.55,都市：住,1000000,2201,持分移轉,08630000
RPTNMLTLMHLGFDC88CB,溪頭段,.00,都市：住,1000000,2201,持分移轉,08660000
RPPNMLLMLHLGFDC67CB,五堵段五堵北小段,10.39,都市：住,10000,261,持分移轉,08160000
RPPNMLLMLHLGFDC67CB,五堵段五堵北小段,10.39,都市：住,10000,261,持分移轉,08160001
RPSNMLSLLHLGFDC58CB,武嶺段,.09,都市：住,100000,244,持分移轉,05220004
RPSNMLSLLHLGFDC58CB,武嶺段,1.12,都市：住,100000,244,持分移轉,05260000
RPSNMLSLLHLGFDC58CB,武嶺段,.02,都市：住,100000,244,持分移轉,05330000
RPSNMLSLLHLGFDC58CB,武嶺段,.34,都市：住,100000,244,持分移轉,05650000
RPPNMLQLLHLGFDC08CB,金華段,8.73,都市：住,1000000,1371,持分移轉,00200000
RPSNMLSLLHLGFDC58CB,武嶺段,.24,都市：住,100000,244,持分移轉,05650001
RPPNMLQLLHLGFDC08CB,金華段,.02,都市：住,1000000,1371,持分移轉,00210000
RPSNMLSLLHLGFDC58CB,武嶺段,.01,都市：住,100000,244,持分移轉,05660017
RPSNMLSLLHLGFDC58CB,武嶺段,.10,都市：住,100000,244,持分移轉,05660019
RPSNMLSLLHLGFDC58CB,武嶺段,3.19,都市：住,100000,244,持分移轉,05660020
RPSNMLSLLHLGFDC58CB,武嶺段,2.55,都市：住,100000,244,持分移轉,05660021
RPSNMLSLLHLGFDC58CB,武嶺段,6.62,都市：住,100000,244,持分移轉,05660022
RPSNMLSLLHLGFDC58CB,武嶺段,.04,都市：住,100000,244,持分移轉,05660023
RPSNMLSLLHLGFDC58CB,武嶺段,1.12,都市：住,100000,244,持分移轉,05670002
RPSNMLSLLHLGFDC58CB,武嶺段,1.35,都市：住,100000,244,持分移轉,05680002
RPSNMLSLLHLGFDC58CB,武嶺段,.07,都市：住,100000,244,持分移轉,05680004
RPSNMLSLLHLGFDC58CB,武嶺段,.15,都市：住,100000,244,持分移轉,05680005
RPSNMLSLLHLGFDC58CB,武嶺段,2.69,都市：住,100000,244,持分移轉,05690002
RPSNMLSLLHLGFDC58CB,武嶺段,.16,都市：住,100000,244,持分移轉,05690003
