編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLNLKHLGFDC87CC,29,83.13,共用部份,鋼筋混凝土造,85年12月2日,五層,,
RPSNMLOLKHLGFDC18CC,31,118.23,住家用,鋼筋混凝土造,84年1月17日,五層,,
RPSNMLOLKHLGFDC18CC,31,14.38,共用部份,鋼筋混凝土造,84年1月17日,五層,,
RPUNMLOLKHLGFDC38CC,32,43.89,住家用,鋼筋混凝土造,82年11月23日,四層,,
RPRNMLSKKHLGFDC38CC,44,73.85,住家用,鋼筋混凝土造,71年5月28日,五層,,
RPUNMLOLKHLGFDC38CC,32,1.73,共用部份,鋼筋混凝土造,82年11月23日,四層,,
RPTNMLOLKHLGFDC28CC,29,51.99,住家用,鋼筋混凝土造,86年2月27日,五層,,
RPTNMLOLKHLGFDC28CC,29,10.62,共用部份,鋼筋混凝土造,86年2月27日,五層,,
RPOOMLOLKHLGFDC87CC,36,89.92,住家用,鋼筋混凝土造,78年10月11日,五層,,
RPRNMLOLKHLGFDC08CC,28,82.22,住家用,鋼筋混凝土造,87年6月10日,五層,,
RPWNMLOLKHLGFDC58CC,34,113.89,住家用,鋼筋混凝土造,81年6月19日,七層,,
RPOOMLOLKHLGFDC87CC,36,4.52,共用部份,鋼筋混凝土造,78年10月11日,五層,,
RPRNMLOLKHLGFDC08CC,28,16.86,共用部份,鋼筋混凝土造,87年6月10日,五層,,
RPOOMLOLKHLGFDC87CC,36,1.25,共用部份,鋼筋混凝土造,78年10月11日,五層,,
RPWNMLOLKHLGFDC58CC,34,3.53,共用部份,鋼筋混凝土造,81年6月19日,七層,,
RPWNMLOLKHLGFDC58CC,34,12.17,共用部份,鋼筋混凝土造,81年6月19日,七層,,
RPSNMLSKKHLGFDC48CC,46,80.00,住家用,鋼筋混凝土造,68年12月31日,四層,,
RPUNMLNKKHLGFDC18CC,49,60.39,住家用,鋼筋混凝土造,65年11月22日,五層,,
RPWNMLNKKHLGFDC38CC,50,81.27,住家用,鋼筋混凝土加強磚造,65年1月13日,四層,,
RPRNMLNLKHLGFDC97CC,44,83.14,住家用,鋼筋混凝土造,70年11月25日,二層,,
RPOOMLMKKHLGFDC57CC,29,74.70,住家用,鋼筋混凝土造,86年6月7日,六層,,
RPUNMLNKKHLGFDC18CC,49,13.20,共用部份,鋼筋混凝土造,65年11月22日,五層,,
RPOOMLMKKHLGFDC57CC,29,9.74,共用部份,鋼筋混凝土造,86年6月7日,六層,,
RPUNMLSKKHLGFDC68CC,27,57.41,住家用,鋼筋混凝土造,88年1月14日,十五層,,
RPOOMLMKKHLGFDC57CC,29,3.24,共用部份,鋼筋混凝土造,86年6月7日,六層,,
RPUNMLSKKHLGFDC68CC,27,8.47,共用部份,鋼筋混凝土造,88年1月14日,十五層,,
RPOOMLMKKHLGFDC57CC,29,39.10,共用部份,鋼筋混凝土造,86年6月7日,六層,,
RPUNMLSKKHLGFDC68CC,27,3.26,共用部份,鋼筋混凝土造,88年1月14日,十五層,,
RPUNMLSKKHLGFDC68CC,27,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPUNMLSKKHLGFDC68CC,27,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLOLKHLGFDC87CC,10,49.55,集合住宅,鋼筋混凝土造,105年1月24日,二十二層,,
RPPNMLOLKHLGFDC87CC,10,.48,本共有部分之項目為受水池、安全梯、受水池機房、社區水箱、迴廊等共５項。,鋼筋混凝土造,105年1月24日,二十三層,,
RPVOMLLKKHLGFDC18CC,42,93.51,住家用,鋼筋混凝土造,73年1月27日,四層,,
RPPNMLOLKHLGFDC87CC,10,20.25,本共有部分之項目為排煙室、特別安全梯、緊急昇降機、機房、樓梯間、消防水箱、水箱、電梯機房、消防中繼機房、陽台、中繼室、中繼自來水箱、雨遮、中繼消防水箱、消防泵浦室、機電空間、安全梯  、發電機室、電信室、台電配電場所、大廳、行動不便者電梯、電梯  、１Ｆ門廳、２Ｆ門廳、３Ｆ門廳、台電管道間、消防幫浦室、泵浦  、走道、停車空間、配電箱、資源回收區、４Ｆ門廳、廚餘冷藏室、  不可回收垃圾區、緊急升降機、梯廳、電信機房、５Ｆ門廳、防空避難室兼停車空間、台電專用管道、雨水回收區、雨水收集槽、雨水回收及噴灌機房、６Ｆ門廳、游泳池及中庭景觀池機房、消防幫浦機房  、電信機房室、垃圾處理空間、７Ｆ門廳、機車位、社區中心、防災中心、水景機房等共５５項。,鋼筋混凝土造,105年1月24日,二十五層,,
RPPOMLOLKHLGFDC97CC,8,122.88,集合住宅,鋼筋混凝土造,106年10月18日,十五層,,
RPVOMLLKKHLGFDC18CC,42,5.12,共用部份,鋼筋混凝土造,73年1月27日,四層,,
RPPOMLOLKHLGFDC97CC,8,24.43,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,,
RPPOMLOLKHLGFDC97CC,8,20.85,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,,
RPPOMLOLKHLGFDC97CC,8,.62,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,,
RPTOMLLKKHLGFDC97CC,45,80.30,住家用,鋼筋混凝土造,70年5月30日,五層,,
RPVNMLOLKHLGFDC48CC,44,71.08,住家用,鋼筋混凝土造,70年12月31日,五層,,
RPQOMLOLKHLGFDC08CC,25,157.92,住家用,鋼筋混凝土造,89年11月20日,九層,,
RPQOMLOLKHLGFDC08CC,25,2.57,共用部份,鋼筋混凝土造,89年11月20日,九層,,
RPQOMLOLKHLGFDC08CC,25,10.12,共用部份,鋼筋混凝土造,89年11月20日,九層,,
RPQOMLOLKHLGFDC08CC,25,.37,共用部份,鋼筋混凝土造,89年11月20日,九層,,
RPQOMLOLKHLGFDC08CC,25,23.47,共用部份,鋼筋混凝土造,89年11月20日,九層,,
RPROMLOLKHLGFDC18CC,28,457.22,商業用,鋼筋混凝土造,87年4月18日,五層,,
