編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMJLHLGFDC67DC,坡道平面,0,39.27,地下三樓
RPWNMLTJLHLGFDC98CC,坡道平面,2500,8.51,地下三樓
RPWOMLTKLHLGFDC56CC,坡道平面,0,17.52,地下一樓
RPTOMLRLLHLGFDC78CC,坡道平面,0,31.74,地下一樓
RPPOMLLJMHLGFDC67CC,坡道平面,0,31.55,地下二樓
RPXNMLSJMHLGFDC09CC,一樓平面,0,25.00,一樓
RPOOMLQKMHLGFDC18CC,一樓平面,0,51.53,一樓
RPOOMLTLMHLGFDC58CC,坡道平面,0,,地下一樓
RPPNMLKKNHLGFDC67CC,坡道平面,0,,一樓
RPPNMLKKNHLGFDC67CC,坡道平面,0,,一樓
RPPNMLNKNHLGFDC97CC,坡道平面,0,,地下一樓
RPOQMLKLNHLGFDC97CC,坡道平面,0,,地下一樓
