編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOJOHLGFDD28EA,28,27.88,共有部分,鋼筋混凝土造,87年8月28日,十三層,,持分移轉
RPUNMLLKNHLGFAD97DA,30,27.68,住家用,鋼筋混凝土造,85年1月6日,七層,三層 陽台,全筆移轉
RPUNMLLKNHLGFAD97DA,30,8.62,共有部分,鋼筋混凝土造,85年1月6日,七層,,持分移轉
RPXNMLOJOHLGFAD58DA,59,35.18,住家用,加強磚造,56年10月10日,二層,一層 二層,持分移轉
RPOOMLRJNHLGFDD28DA,32,85.25,住家用,鋼筋混凝土造,83年1月18日,六層,四層 陽台,全筆移轉
RPOOMLRJNHLGFDD28DA,32,33.50,共有部分,鋼筋混凝土造,83年1月18日,六層,,持分移轉
RPWNMLOKNHLGFID66DA,,229.33,住家用,鋼筋混凝土造,115年4月17日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPXNMLOKNHLGFID76DA,,502.49,住宅、騎樓,鋼筋混凝土造,115年4月17日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 騎樓,全筆移轉
RPVNMLLKNHLGFAD08DA,31,45.22,住家用,鋼筋混凝土造,83年12月22日,二十一層,二十層 陽台,全筆移轉
RPVNMLLKNHLGFAD08DA,31,8.77,共有部分,鋼筋混凝土造,83年12月22日,二十一層,,持分移轉
RPVNMLLKNHLGFAD08DA,31,5.58,共有部分,鋼筋混凝土造,83年12月22日,二十一層,,持分移轉
RPWNMLRJNHLGFDD98DA,35,21.97,住家用,鋼筋混凝土造,80年10月22日,六層,三層 陽台 走廊,全筆移轉
RPWNMLRJNHLGFDD98DA,35,8.19,共有部分,鋼筋混凝土造,80年10月22日,六層,,持分移轉
RPPNMLPKNHLGFBD97DA,46,89.24,住家用,加強磚造,69年9月8日,二層,一層 二層,全筆移轉
RPSNMLNKNHLGFCD18DA,43,5.79,共有部分,鋼筋混凝土造,72年7月5日,五層,,持分移轉
RPSNMLNKNHLGFCD18DA,43,69.66,集合住宅,鋼筋混凝土造,72年7月5日,五層,五層 陽台,全筆移轉
RPQVMLSJNHLGFKD37DA,1,78.11,集合住宅,鋼筋混凝土造,114年4月9日,十五層,二層 陽台,全筆移轉
RPQVMLSJNHLGFKD37DA,1,74.27,本共有部分之項目有：防空避難室兼停車空間，停車空間，門廊，樓梯間，管理維護空間，梯廳，台電配電場所及電錶區，垃圾及資源回收專區，機械室，昇降機間，水塔等１１項,鋼筋混凝土造,114年4月9日,十五層,,持分移轉
RPWNMLPKNHLGFKD96DA,32,28.60,住家用,鋼筋混凝土造,82年12月28日,七層,六層 陽台,全筆移轉
RPWNMLPKNHLGFKD96DA,32,11.65,共有部分,鋼筋混凝土造,82年12月28日,七層,,持分移轉
RPOOMLPJNHLGFKD78DA,35,16.95,住家用,鋼筋混凝土造,80年1月30日,七層,五層,全筆移轉
RPOOMLPJNHLGFKD78DA,35,6.45,共有部分,鋼筋混凝土造,80年1月30日,七層,,持分移轉
RPTNMLOJNHLGFFD58DA,31,86.03,住家用,鋼筋混凝土造,84年6月15日,七層,二層 陽台 電梯樓梯間,全筆移轉
RPTNMLOJNHLGFFD58DA,31,24.07,共有部分,鋼筋混凝土造,84年6月15日,七層,,持分移轉
RPQNMLOKNHLGFAD87DA,44,10.15,共有部分,鋼筋混凝土造,70年12月31日,七層,,持分移轉
RPQNMLOKNHLGFAD87DA,44,24.16,住家用,鋼筋混凝土造,70年12月31日,七層,七層,全筆移轉
RPXNMLRJNHLGFID96DA,1,95.64,集合住宅,鋼筋混凝土造,114年10月23日,十九層,六層 陽台,全筆移轉
RPXNMLRJNHLGFID96DA,1,102.16,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會使用空間、樓梯間、梯間、昇降機間、機械室、水箱、門廊、車道、陽台、前廊等１２項,鋼筋混凝土造,114年10月23日,十九層,,持分移轉
RPXPMLOKNHLGFKD17DA,3,152.39,住家用,鋼筋混凝土構造,112年2月1日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPVNMLPKNHLGFHD56DA,1,69.41,集合住宅,鋼筋混凝土造,114年9月26日,七層,四層 陽台,全筆移轉
RPVNMLPKNHLGFHD56DA,1,41.07,本共有部分之項目有門廊、停車空間、樓梯間、機械室、水箱等５項,鋼筋混凝土造,114年9月26日,七層,,持分移轉
RPTNMLSKNHLGFDD88DA,46,79.87,住家用,鋼筋混凝土造,68年11月24日,四層,三層,全筆移轉
RPUNMLPJNHLGFDD58DA,48,85.93,住家用,加強磚造,67年6月21日,四層,四層,全筆移轉
RPVOMLSKNHLGFKD27DA,43,221.38,住家用,加強磚造,72年11月2日,二層,一層 二層 陽台,全筆移轉
RPUNMLRJNHLGFAD48DA,37,4.04,共有部分,鋼筋混凝土造,78年1月12日,五層,,持分移轉
RPSNMLQJNHLGFKD56DA,32,71.52,住家用,鋼筋混凝土造,83年4月23日,七層,四層 陽台,全筆移轉
RPSNMLQJNHLGFKD56DA,32,22.11,共有部分,鋼筋混凝土造,83年4月23日,七層,,持分移轉
RPUNMLRJNHLGFAD48DA,37,24.14,住家用,鋼筋混凝土造,78年1月12日,五層,五層 陽台,全筆移轉
RPQNMLOKNHLGFCD08DA,21,212.39,住宅、停車空間,ＲＣ造,94年6月21日,四層,一層 二層 三層 四層 陽台 雨遮,全筆移轉
RPPOMLPJNHLGFCD08DA,49,102.64,住家用,加強磚造,65年12月17日,二層,一層 二層,全筆移轉
RPSNMLSKNHLGFAD48DA,1,31.73,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會使用空間、防災中心、門廊、梯廳、出入口緩衝空間、車道、梯間等９項,鋼筋混凝土造,114年3月26日,十九層,,持分移轉
RPQNMLSKNHLGFBD38DA,41,134.02,住家用,加強磚造,74年4月20日,二層,一層 二層 陽台 屋頂突出物 騎樓,全筆移轉
RPQNMLMKNHLGFDD97DA,35,28.53,住家用,鋼筋混凝土造,80年5月30日,五層,三層,全筆移轉
RPQNMLMKNHLGFDD97DA,35,7.94,共有部分,鋼筋混凝土造,80年5月30日,五層,,持分移轉
RPPNMLKLNHLGFBD67EA,13,89.15,辦公室，住宅,鋼筋混凝土造,102年4月29日,二層,一層 二層 陽台,全筆移轉
RPTNMLNKNHLGFKD09DA,31,35.60,辦公室。,鋼筋混凝土造,84年3月31日,十五層,十五層 陽台,全筆移轉
RPTNMLNKNHLGFKD09DA,31,7.98,共有部分,鋼筋混凝土造,84年3月31日,十五層,,持分移轉
RPQNMLLLNHLGFED08DA,11,2747.40,蘭花溫室,鋼骨構造有牆,103年11月7日,一層,一層,全筆移轉
RPSNMLKLNHLGFCD97DA,43,71.40,住家用,鋼筋混凝土造,72年6月2日,五層,五層 陽台,全筆移轉
RPSNMLKLNHLGFCD97DA,43,17.52,共有部分,鋼筋混凝土造,72年6月2日,五層,,持分移轉
RPSNMLMKNHLGFAD87DA,36,12.21,住家用,鋼筋混凝土造,79年5月18日,五層,四層,全筆移轉
RPQNMLOKNHLGFDD28EA,43,89.33,住家用,加強磚造,72年4月8日,二層,一層 二層 陽台 騎樓,全筆移轉
RPSNMLMKNHLGFAD87DA,36,6.39,共有部分,鋼筋混凝土造,79年5月18日,五層,,持分移轉
RPVOMLOKNHLGFKD86DA,3,296.78,工業用,鋼骨構造,112年5月19日,一層,一層,全筆移轉
RPPOMLLLNHLGFID48DA,6,69.70,集合住宅,鋼筋混凝土構造,108年12月12日,五層,五層 陽台,全筆移轉
RPPOMLLLNHLGFID48DA,6,37.31,本共有部分之項目有門廊、安全梯、停車空間、管理室、樓梯間、梯廳、昇降機間、電信室等８項,鋼筋混凝土構造,108年12月12日,五層,,持分移轉
RPOQMLPKNHLGFKD09DA,21,8.55,辦公室,鋼筋混凝土造,94年7月8日,六層,五層 陽台 雨遮,全筆移轉
RPOQMLPKNHLGFKD09DA,21,8.09,共有部分,鋼筋混凝土造,94年7月8日,六層,,持分移轉
RPRNMLLLNHLGFHD48DA,,186.84,住商用,加強磚造,63年8月0日,三層,一層 二層 三層 騎樓,全筆移轉
RPRNMLTKNHLGFCD68DA,35,100.10,商業用,鋼筋混凝土造,80年3月23日,十二層,八層,全筆移轉
RPRNMLTKNHLGFID66DA,16,112.14,住家用,鋼筋混凝土造,99年4月22日,十四層,一層 陽台,全筆移轉
RPRNMLTKNHLGFCD68DA,35,27.86,共有部分,鋼筋混凝土造,80年3月23日,十二層,,持分移轉
RPRNMLTKNHLGFID66DA,16,62.01,本共有部分之項目有防空避難室兼停車空間、管委會使用空間、突出物１、２層、梯間、機械室、水箱。,鋼筋混凝土造,99年4月22日,十四層,,持分移轉
RPVNMLKLNHLGFAD08DA,41,85.64,住家用,鋼筋混凝土造,73年12月24日,五層,二層 陽台,全筆移轉
RPVNMLKLNHLGFAD08DA,41,16.29,共有部分,鋼筋混凝土造,73年12月24日,五層,,持分移轉
RPQNMLLLNHLGFCD87DA,9,55.29,集合住宅,鋼筋混凝土造,105年12月1日,七層,五層 陽台 雨遮,全筆移轉
RPQNMLLLNHLGFCD87DA,9,57.22,共有部分包括：門廊、門廳、管理委員會使用空間、公共服務空間、樓梯間、防空避難室兼停車空間、停車空間、陽台。,鋼筋混凝土造,105年12月1日,七層,,持分移轉
RPTNMLMKNHLGFCD18DA,2,77.83,集合住宅,鋼筋混凝土造,113年8月16日,十五層,七層 陽台,全筆移轉
RPTNMLMKNHLGFCD18DA,2,68.19,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、樓梯間、昇降機間、機械室、水箱、梯間、門廊、車道共１０項。,鋼筋混凝土造,113年8月16日,十五層,,持分移轉
RPSNMLMKNHLGFCD08DA,2,57.69,集合住宅,鋼筋混凝土造,113年8月16日,十五層,十三層 陽台,全筆移轉
RPSNMLMKNHLGFCD08DA,2,57.28,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、樓梯間、昇降機間、機械室、水箱、梯間、門廊、車道共１０項。,鋼筋混凝土造,113年8月16日,十五層,,持分移轉
RPTNMLLLNHLGFAD97DA,9,.06,集合住宅,鋼骨鋼筋混凝土構造,106年6月28日,二十四層,一層,持分移轉
RPTNMLLLNHLGFAD97DA,9,267.47,集合住宅,鋼骨鋼筋混凝土構造,106年6月28日,二十四層,十八層 陽台 雨遮,全筆移轉
RPTNMLLLNHLGFAD97DA,9,11.47,本共有部分之項目有：門廊、車道、公共服務空間、管理維護空間、防災中心、樓梯間、頂蓋型沿街步道式開放空間、防空避難室兼停車空間、機械室、水箱。,鋼骨鋼筋混凝土構造,106年6月28日,二十四層,,持分移轉
RPTNMLLLNHLGFAD97DA,9,179.06,本共有部分之項目有：門廊、車道、公共服務空間、管理維護空間、防災中心、樓梯間、頂蓋型沿街步道式開放空間、防空避難室兼停車空間、機械室、水箱。,鋼骨鋼筋混凝土構造,106年6月28日,二十四層,,持分移轉
RPTNNLSJNHLGFKD96DA,9,214.20,住家用,鋼筋混凝土構造,106年10月25日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLQLNHLGFAD08DA,38,269.81,住家用,鋼筋混凝土造,77年5月27日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
