編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPLKHLGFID48CB,清水段,13.67,都市：住,100000,3494,持分移轉,00520000
RPPNMLPLKHLGFID48CB,清水段,14.66,都市：住,100000,3494,持分移轉,00540000
RPRNMLOLKHLGFID58CB,後壁段,9.30,都市：住,10000,538,持分移轉,12740000
RPRNMLOLKHLGFID58CB,後壁段,33.26,都市：住,10000,538,持分移轉,12820000
RPPNMLOLKHLGFHD28CB,大同段,31.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2356,持分移轉,05220000
RPPNMLRLKHLGFHD58CB,茄拔段二小段,8.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,281,持分移轉,02240000
RPPNMLRLKHLGFHD58CB,茄拔段二小段,8.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,281,持分移轉,02240002
RPPNMLRLKHLGFHD58CB,茄拔段二小段,8.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,281,持分移轉,02240003
RPTNMLQLKHLGFBD28CB,州南段,19.00,都市：住,10000,37,持分移轉,17500000
RPRNMLQLKHLGFBD08CB,州南段,19.00,都市：住,10000,37,持分移轉,17500000
RPSNMLLJLHLGFBD57CB,國安段,7.94,都市：住,100000,110,持分移轉,15610000
RPPNMLSLKHLGFBD08CB,國安段,31.91,都市：住,1000000,8443,持分移轉,16320000
RPQNMLLJLHLGFBD37CB,州南段,19.00,都市：住,10000,37,持分移轉,17500000
RPPNMLOKKHLGFKD48CB,平道段,14.14,都市：商,10000,18,持分移轉,03390000
RPUNMLPLKHLGFBD28CB,國安段,18.27,都市：住,10000,43,持分移轉,17660000
RPRNMLLJLHLGFBD47CB,國安段,7.94,都市：住,100000,110,持分移轉,15610000
RPPNMLLJLHLGFBD27CB,國安段,7.94,都市：住,100000,110,持分移轉,15610000
RPQNMLSKKHLGFBD08CB,國安段,28.08,都市：住,100000,389,持分移轉,15610000
RPQNMLOLKHLGFHD38CB,大同段,31.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2356,持分移轉,05220000
RPTNMLNLKHLGFBD97CB,國安段,31.99,都市：住,1000000,8465,持分移轉,16320000
RPUNMLNLKHLGFBD08CB,國安段,31.99,都市：住,1000000,8465,持分移轉,16320000
RPPNMLSKKHLGFBD97CB,國安段,7.73,都市：住,100000,107,持分移轉,15610000
RPRNMLNLKHLGFBD77CB,國安段,31.99,都市：住,1000000,8465,持分移轉,16320000
RPRNMLLJLHLGFCD57CB,平實段,11.82,都市：商,100000,134,持分移轉,00020000
RPRNMLLJLHLGFCD57CB,平實段,6.07,都市：住,100000,134,持分移轉,00030000
RPQNMLLJLHLGFCD47CB,平實段,11.82,都市：商,100000,134,持分移轉,00020000
RPQNMLLJLHLGFCD47CB,平實段,6.07,都市：住,100000,134,持分移轉,00030000
RPTNMLLJLHLGFCD77CB,平實段,11.82,都市：商,100000,134,持分移轉,00020000
RPTNMLLJLHLGFCD77CB,平實段,6.07,都市：住,100000,134,持分移轉,00030000
RPUNMLLJLHLGFCD87CB,平實段,11.82,都市：商,100000,134,持分移轉,00020000
RPUNMLLJLHLGFCD87CB,平實段,6.07,都市：住,100000,134,持分移轉,00030000
