編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLKKHLGFHD08CC,49,178.82,住商用,加強磚造,65年12月30日,三層,,
RPRNMLLKKHLGFHD18CC,41,25.60,住家用,鋼筋混凝土造,73年9月19日,三層,,
RPQNMLMKKHLGFDD77CC,28,83.02,住家用,鋼筋混凝土造,87年8月6日,五層,,
RPQNMLMKKHLGFGD08CC,4,82.33,Ｈ２集合住宅,鋼筋混凝土造,111年7月26日,七層,,
RPQNMLMKKHLGFGD08CC,4,28.66,本共有部分之項目停車空間，管理委員會使用空間，水箱，電信室，門廊，消防機房，梯廳，昇降機道，安全梯，等９項,鋼筋混凝土造,111年7月26日,七層,,
RPRNMLLKKHLGFID28CC,1,273.54,店鋪、住宅,鋼骨造有牆,114年3月17日,二層,,
RPUNMLLKKHLGFID58CC,22,18.18,住家用,鋼筋混凝土造,92年9月10日,十層,,
RPQOMLMKKHLGFID38CC,22,14.88,住家用,鋼筋混凝土造,92年9月10日,十層,,
RPOOMLMKKHLGFID18CC,22,18.18,住家用,鋼筋混凝土造,92年9月10日,十層,,
RPVNMLNKKHLGFHD78CC,1,57.69,集合住宅,鋼筋混凝土造,113年11月27日,八層,,
RPVNMLNKKHLGFHD78CC,1,27.22,本共有部分之項目有停車空間、台電配電室、發電機房、電信室、消防機房、水箱、污水機房、樓梯間、管委會使用空間、管理維護空間、垃圾室、車道、梯廳、水錶室及機械室等１５項,鋼筋混凝土造,113年11月27日,八層,,
RPUNMLLKKHLGFAD77CC,5,153.36,住家用,鋼筋混凝土構造,109年8月28日,四層,,
RPOOMLNKKHLGFAD47CC,33,20.66,商業用,鋼筋混凝土造,82年3月27日,六層,,
RPOOMLNKKHLGFAD47CC,33,9.10,共同使用部份,鋼筋混凝土造,82年3月27日,六層,,
RPQOMLMKKHLGFAD57CC,32,21.49,住家用,鋼筋混凝土造,82年11月6日,三層,,
RPPNMLNKKHLGFAD47CC,17,53.98,集合住宅,鋼筋混凝土造,97年12月19日,十四層,,
RPROMLMKKHLGFAD67CC,13,61.54,集合住宅,鋼筋混凝土構造,102年6月20日,十五層,,
RPPNMLNKKHLGFAD47CC,17,21.65,共同使用部份,鋼筋混凝土造,97年12月19日,十四層,,
RPPNMLNKKHLGFAD47CC,17,9.97,共同使用部份,鋼筋混凝土造,97年12月19日,十四層,,
RPROMLMKKHLGFAD67CC,13,15.14,本共有部分之項目有防空避難室、停車空間、門廊、車道、門廳、管理維護空間、公共服務空間。,鋼筋混凝土構造,102年6月20日,十五層,,
RPUNMLNKKHLGFHD68CC,13,25.64,店舖、停車空間、住宅,鋼筋混凝土造,102年1月15日,四層,,
RPROMLMKKHLGFAD67CC,13,16.82,本共有部分之項目有樓梯間,鋼筋混凝土構造,102年6月20日,十五層,,
RPTNMLLKKHLGFAD67CC,5,127.03,住家用,鋼筋混凝土構造,109年8月28日,四層,,
RPQNMLNKKHLGFHD28CC,2,92.35,集合住宅,鋼筋混凝土構造,112年8月30日,七層,,
RPQNMLNKKHLGFHD28CC,2,30.83,本共有部分之項目有梯廳、樓梯間、停車空間、設備空間及水箱等５項。,鋼筋混凝土構造,112年8月30日,七層,,
RPWNMLNKKHLGFID98CC,22,14.88,住家用,鋼筋混凝土造,92年9月10日,十層,,
RPPNMLOKKHLGFAD57CC,26,96.70,集合住宅,鋼筋混凝土造,88年11月6日,十四層,,
RPPNMLOKKHLGFAD57CC,26,52.32,共同使用部份,鋼筋混凝土造,88年11月6日,十四層,,
RPPNMLOKKHLGFKD58CC,29,20.00,住家用,鋼筋混凝土造,86年5月29日,二十層,,
RPTNMLNKKHLGFKD88CC,30,85.50,住家用,鋼筋混凝土造,85年4月8日,十四層,,
RPTNMLNKKHLGFKD88CC,30,18.65,共同使用部份,鋼筋混凝土造,85年4月8日,十四層,,
RPWPMLNKKHLGFKD76CC,15,15.75,住家用,鋼筋混凝土造,99年12月23日,四層,,
RPTNMLNKKHLGFKD88CC,30,27.45,共同使用部份,鋼筋混凝土造,85年4月8日,十四層,,
RPWNMLNKKHLGFKD56CC,26,23.19,住家用,鋼筋混凝土造,88年8月24日,十四層,,
RPWNMLNKKHLGFKD56CC,26,.57,共同使用部份,鋼筋混凝土造,88年8月24日,十四層,,
RPOQMLNKKHLGFKD68CC,53,74.22,住家用,加強磚造,62年1月10日,二層,,
RPWNMLNKKHLGFKD56CC,26,1.04,共同使用部份,鋼筋混凝土造,88年8月24日,十四層,,
RPTPMLNKKHLGFKD09CC,12,9.92,住宅，停車空間,鋼筋混凝土構造,102年8月21日,四層,,
RPWNMLNKKHLGFKD56CC,26,6.20,共同使用部份,鋼筋混凝土造,88年8月24日,十四層,,
RPSOMLNKKHLGFKD88CC,52,97.21,住家用,磚造,62年10月1日,一層,,
RPQNMLOKKHLGFKD68CC,29,30.00,住家用,鋼筋混凝土造,86年5月29日,二十層,,
RPRNMLNLKHLGFAD77CC,14,21.49,住家用,鋼筋混凝土構造,101年6月4日,五層,,
RPPNMLNLKHLGFAD57CC,43,17.50,商業用,鋼筋混凝土造,71年11月19日,七層,,
RPTNMLNLKHLGFAD97CC,5,55.83,集合住宅,鋼筋混凝土構造,110年5月3日,十八層,,
RPTNMLNLKHLGFAD97CC,5,56.37,本共有部分之項目有防災中心、停車空間、機電設備空間、防空避難室兼停車空間、台電配電場所、自來水箱、車道、門廳、儲藏室、樓梯間、梯廳、昇降梯、屋頂平台等１３項。,鋼筋混凝土構造,110年5月3日,十八層,,
RPSNMLLLKHLGFAD67CC,35,134.08,住家用,鋼筋混凝土造,80年2月5日,十層,,
RPSNMLLLKHLGFAD67CC,35,46.92,共同使用部份,鋼筋混凝土造,80年2月5日,十層,,
RPPOMLNLKHLGFAD67CC,14,19.27,住家用,鋼筋混凝土構造,101年6月4日,五層,,
RPUOMLNLKHLGFAD18CC,4,117.37,集合住宅,鋼筋混凝土構造,111年1月20日,十九層,,
RPUOMLNLKHLGFAD18CC,4,95.23,本共有部分之項目有防空避難室停車空間、停車空間、管委會使用空間、梯間、樓梯間、機械室、水箱、公共服務空間、排煙室、中繼機房、車道、出入口緩衝空間、防災中心等１３項。,鋼筋混凝土構造,111年1月20日,十九層,,
RPSOMLNLKHLGFAD97CC,46,65.12,住家用,鋼筋混凝土造,68年10月13日,五層,,
RPSOMLNLKHLGFAD97CC,46,5.00,共同使用部份,鋼筋混凝土造,68年10月13日,五層,,
RPXNMLNLKHLGFAD38CC,32,16.53,住商用,鋼筋混凝土造,83年7月2日,五層,,
RPUNMLNLKHLGFAD08CC,9,84.33,集合住宅,鋼筋混凝土構造,106年1月24日,二十六層,,
RPUNMLNLKHLGFAD08CC,9,71.41,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,,
RPPPMLNLKHLGFAD77CC,2,55.01,集合住宅,鋼筋混凝土造,112年10月17日,二十九層,,
RPPPMLNLKHLGFAD77CC,2,31.76,本共有部分之項目有防空避難室兼停車空間、停車空間、公共服務空間、梯間、車道、門廊、門廳、防災中心、陽台、中繼水箱、樓梯間、昇降機間（排煙室）、機械室、水箱、雨遮等１５項。,鋼筋混凝土造,112年10月17日,二十九層,,
RPXOMLNLKHLGFAD48CC,35,22.56,住家用,鋼筋混凝土造,79年12月1日,五層,,
RPXOMLNLKHLGFAD48CC,35,.91,共同使用部份,鋼筋混凝土造,79年12月1日,五層,,
RPXOMLNLKHLGFAD48CC,35,8.10,共同使用部份,鋼筋混凝土造,79年12月1日,五層,,
RPOPMLNLKHLGFAD67CC,46,46.61,住家用,鋼筋混凝土造,69年3月12日,五層,,
RPTPMLNLKHLGFAD18CC,38,28.26,住商用,鋼筋混凝土造,76年10月29日,四層,,
RPOPMLNLKHLGFAD67CC,46,11.57,共同使用部份,鋼筋混凝土造,69年3月12日,五層,,
RPSPMLNLKHLGFAD08CC,38,28.25,住商用,鋼筋混凝土造,76年10月29日,四層,,
RPRNMLNKKHLGFCD87CC,30,17.09,住家用,鋼筋混凝土造,85年2月2日,三層,,
RPPNMLOKKHLGFCD77CC,54,30.00,住家用,加強磚造,60年12月28日,二層,,
