編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKKHLGFHD08CC,善文段,88.94,都市：其他:空白,,,,11220000
RPRNMLLKKHLGFID28CC,文衡段,174.00,都市：商,,,,04780000
RPRNMLLKKHLGFID28CC,文衡段,29.00,都市：商,,,,04740000
RPRNMLNLKHLGFCD97CC,龍崗段,98.44,都市：住,,,,08200000
RPPNMLRLKHLGFGD58CC,中山段,148.04,都市：商,,,,01430000
RPXNMLNJLHLGFKD66CC,竹行段,105.88,都市：住,,,,10630000
RPWNMLOJLHLGFAD28CC,頂美段,71.83,都市：住,,,,06100000
RPXNMLOJLHLGFAD38CC,小北段,157.90,都市：住,,,,10720011
RPQNMLTJLHLGFCD38CC,鹽埕段,98.00,都市：住,,,,21790000
RPPNMLKKLHLGFFD77CC,赤山段,125.66,都市：住,,,,10360000
RPSNMLKKLHLGFID38CC,歸仁北段,79.00,都市：住,,,,12340012
RPPNMLLKLHLGFAD37CC,金華段,75.00,都市：商,,,,00560022
RPQNMLLKLHLGFID28CC,牛稠段,29.53,都市：其他:道路用地,,,,01380000
RPQNMLLKLHLGFID28CC,牛稠段,113.99,都市：住,,,,01390000
RPPNMLMKLHLGFJD38CC,東勢段,120.74,都市：住,,,,01150000
RPUNMLNKLHLGFKD09CC,永康段,73.00,都市：住,,,,14880004
RPWNMLNKLHLGFKD66CC,大灣段,78.00,都市：商,,,,61630012
RPPNMLRKLHLGFCD18CC,立德段,42.29,都市：商,,,,01840000
RPPNMLRKLHLGFCD18CC,立德段,6.47,都市：商,,,,01840001
RPTNMLRKLHLGFID56CC,勝利段,206.08,都市：工,,,,10420000
RPTNMLRKLHLGFID56CC,勝利段,75.22,都市：其他:道路用地,,,,09270000
RPPNMLSKLHLGFGD68CC,佳南段,1388.00,都市：農,,,,00920000
RPXOMLTKLHLGFKD47CC,永和段,73.86,都市：住,,,,10400000
RPVOMLKLLHLGFCD28CC,大林段,49.52,都市：住,,,,07860000
RPQOMLNLLHLGFKD88CC,龍王段,21.13,都市：住,,,,17230000
RPWQMLOLLHLGFAD78CC,金華段,92.00,都市：商,,,,01470015
RPWQMLOLLHLGFAD78CC,金華段,92.00,都市：商,,,,01470016
RPWNMLPLLHLGFCD78CC,龍崗段,98.44,都市：住,,,,08200000
RPTNMLPLLHLGFKD66CC,頂中段,302.29,都市：工,,,,00780000
RPPOMLRLLHLGFKD56CC,安康段,57.92,都市：住,,,,01050000
RPUNMLKMLHLGFCD18CC,田成段,90.05,都市：住,,,,11500000
RPOOMLKMLHLGFCD67CC,竹篙厝段,98.00,都市：住,,,,29000002
RPOOMLKMLHLGFCD67CC,竹篙厝段,97.00,都市：住,,,,29000003
RPQOMLLMLHLGFCD97CC,竹篙厝段,1594.00,都市：住,,,,35120000
RPVNMLLMLHLGFID98CC,清水段,165.67,都市：住,,,,09170002
RPVNMLLMLHLGFID98CC,清水段,58.68,都市：其他:廣場用地兼停車場用地,,,,09180002
RPPNMLMJMHLGFDD77CC,金華段,78.76,都市：住,,,,04610000
RPPNMLMJMHLGFKD48CC,六甲頂段,163.00,都市：住,,,,06370000
RPPNMLNJMHLGFID38CC,武東段,115.00,都市：住,,,,02530000
RPPNMLRJMHLGFID78CC,文衡段,90.00,都市：住,,,,10670000
RPXNMLRJMHLGFHD86CC,永安段,26.06,都市：商,,,,05790000
RPXNMLRJMHLGFHD86CC,永安段,47.47,都市：商,,,,05800000
RPXNMLRJMHLGFHD86CC,永安段,128.47,都市：商,,,,05820000
RPXNMLRJMHLGFHD86CC,永安段,69.14,都市：商,,,,05830000
RPPNMLSJMHLGFGD68CC,西港堡段,80.73,都市：農,,,,04500000
RPUOMLTJMHLGFAD78CC,新南段,120.64,都市：住,,,,00330056
RPUNMLTJMHLGFHD76CC,看西段,101.00,都市：住,,,,04010030
RPRNMLTJMHLGFID56CC,媽祖廟段二小段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,02870004
RPRNMLTJMHLGFID56CC,媽祖廟段二小段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,02870003
RPRNMLTJMHLGFID56CC,媽祖廟段二小段,1726.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,02870002
