鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
左營區,房地(土地+建物),高雄市左營區店仔頂路６３巷１８弄２０號,53.0,住,,,1150601,土地1建物1車位0,全,二層,透天厝,見其它登記事項,加強磚造,0580401,75.98,3,3,2,有,無,3500000,46065,,0.0,0,夾層；,RPXOMLNJOHLGFEE09DA,75.98,0.0,0.0,無,
燕巢區,土地,煙波段1494地號,775.15,,山坡地保育區,農牧用地,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2850000,3677,,0.0,0,,RPWNMLSJOHLGFFE86DA,0.0,0.0,0.0,無,
美濃區,土地,瀰濃段584地號,79.72,都市：其他:住宅區,,,1150603,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,3763,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNJOHLGFKE78DA,0.0,0.0,0.0,無,
六龜區,土地,羅漢山段124-1地號,5817.54,,山坡地保育區,農牧用地,1150601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3250000,559,,0.0,0,,RPPNMLQJOHLGFKE09DA,0.0,0.0,0.0,無,
美濃區,土地,永平段759地號,14.74,商,,,1150601,土地10建物0車位0,,,其他,,,,0.0,0,0,0,無,無,84000,5699,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSJOHLGFKE76DA,0.0,0.0,0.0,無,
林園區,土地,龍潭段767地號,30.54,住,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,26195,,0.0,0,,RPRNMLMJOHLGFLE09EA,0.0,0.0,0.0,無,
小港區,土地,鳳林段549地號,18.0,住,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1360000,75556,,0.0,0,,RPXOMLOJNHLGFCE88DA,0.0,0.0,0.0,無,
小港區,土地,鳳林段555地號,33.0,住,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2495000,75606,,0.0,0,,RPOPMLOJNHLGFCE08DA,0.0,0.0,0.0,無,
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路４０５號十樓,28.68,住,,,1150501,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970417,291.01,3,2,2,有,有,28340000,97385,坡道平面,52.89,0,,RPTNMLLJNHLGFEE28DA,136.2,4.13,17.02,有,0001
