編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLSJOHLGFFE86DA,煙波段,775.15,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,14940000
RPRNMLLKNHLGFDE08DA,大港段二小段,10.16,都市：其他:第五種商業區,10000,86,持分移轉,15060000
RPXOMLOJNHLGFCE88DA,鳳林段,18.00,都市：其他:第二種住宅區,1,1,全筆移轉,05490000
RPOPMLOJNHLGFCE08DA,鳳林段,33.00,都市：其他:第二種住宅區,1,1,全筆移轉,05550000
RPXOMLNJOHLGFEE09DA,左南段,53.00,都市：其他:第四種住宅區,1,1,全筆移轉,22980000
RPTNMLLJNHLGFEE28DA,新庄段五小段,26.32,都市：其他:第五種住宅區,20000,438,持分移轉,07170000
RPOOMLRJNHLGFGE68DA,道爺廍段,21.00,都市：其他:第三之一種住宅區,1,1,全筆移轉,10740024
RPTNMLLJNHLGFEE28DA,新庄段五小段,2.36,都市：其他:第五種住宅區,20000,786,持分移轉,07170001
RPSOMLPJNHLGFFE78DA,文化段,627.00,都市：其他:道路用地,1,1,全筆移轉,01060000
RPPNMLOJNHLGFHE48DA,中正段,8.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04910000
RPPNMLQJOHLGFKE09DA,羅漢山段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01240000
RPPNMLQJOHLGFKE09DA,羅漢山段,3317.54,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01240001
RPPNMLNJOHLGFKE78DA,瀰濃段,5.96,都市：其他:住宅區,864,71,持分移轉,05780000
RPPNMLNJOHLGFKE78DA,瀰濃段,5.63,都市：其他:道路用地,864,71,持分移轉,05830000
RPPNMLNJOHLGFKE78DA,瀰濃段,37.09,都市：其他:住宅區,864,71,持分移轉,05840000
RPPNMLNJOHLGFKE78DA,瀰濃段,5.38,都市：其他:道路用地,864,71,持分移轉,05890000
RPQNMLSJOHLGFKE76DA,永平段,.35,都市：其他:河川區,360,5,持分移轉,07470000
RPPNMLNJOHLGFKE78DA,瀰濃段,25.66,都市：其他:住宅區,864,71,持分移轉,05900000
RPQNMLSJOHLGFKE76DA,永平段,.90,都市：其他:道路用地,360,5,持分移轉,07480000
RPQNMLSJOHLGFKE76DA,永平段,.19,都市：其他:河川區,360,5,持分移轉,07490000
RPQNMLSJOHLGFKE76DA,永平段,1.40,,360,5,持分移轉,07500000
RPQNMLSJOHLGFKE76DA,永平段,1.08,,360,5,持分移轉,07510000
RPQNMLSJOHLGFKE76DA,永平段,4.81,都市：其他:住宅區,720,10,持分移轉,07560000
RPQNMLSJOHLGFKE76DA,永平段,.13,都市：其他:住宅區,360,5,持分移轉,07570000
RPQNMLSJOHLGFKE76DA,永平段,.24,都市：其他:住宅區,720,10,持分移轉,07580000
