鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
大社區,房地(土地+建物)+車位,高雄市大社區保甲段1133地號,30.04,住,,,1150211,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.78,3,2,2,有,無,10550000,100342,一樓平面,12.08,1750000,交易總價含下列非屬預售屋價格之費用:家電費:100000元,RPPNMLMKKHLGFIE18CB,喬鈞富寓,A3棟4號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,5.59,商,,,1150212,土地16建物1車位1,二十九層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,153.13,3,1,2,有,無,23770000,156338,坡道平面,15.16,2200000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費150000元；,RPPNMLNKKHLGFBE57CB,中山鉑?,A棟5號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,3.59,商,,,1150211,土地16建物1車位1,十五層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,94.63,1,1,1,有,無,15770000,162785,坡道機械,5.74,1300000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPRNMLNKKHLGFBE77CB,中山鉑?,A棟01號,1150527全部解約
前金區,房地(土地+建物),高雄市前金區五福三路,8.11,商,,,1150211,土地3建物1車位0,三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.58,2,2,2,有,無,17500000,138252,,0.0,0,車道上方含露臺，雨遮面積得依法登記，不予計價交易總價含下列非屬預售屋價格之費用:裝潢費；親友、員工、共有人或其他特殊關係間之交易；,RPTNMLOKKHLGFAE97CB,星峰匯,A1棟3號,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區建國一路,21.78,商,,,1150213,土地1建物1車位2,十八層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,252.0,3,2,2,有,無,33950000,142321,坡道平面,44.02,4350000,,RPPNMLOKKHLGFBE67CB,知道明,A2棟18號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德民路上近藍昌路,12.33,住,,,1150214,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.0,3,2,2,有,無,14150000,118159,坡道平面,28.48,1800000,,RPPNMLOKKHLGFEE97CB,吉隆森淼,B棟3號,
新興區,房地(土地+建物)+車位,高雄市新興區中山一路,5.59,商,,,1150212,土地16建物1車位1,十六層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,153.13,3,1,2,有,無,23210000,152279,坡道平面,15.16,2200000,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費150000元；,RPPNMLPKKHLGFBE77CB,中山鉑?,A棟05號,
新興區,房地(土地+建物),高雄市新興區中山一路,3.31,商,,,1150215,土地16建物1車位0,十六層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,82.0,2,1,1,有,無,12680000,154634,,0.0,0,交易總價含下列非屬預售屋價格之費用:裝潢費；傢俱設備費100000元；,RPPNMLRKKHLGFBE97CB,中山鉑?,A棟7號,
三民區,房地(土地+建物)+車位,高雄市三民區灣華段301地號,11.68,住,,,1150211,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.61,3,2,2,有,無,17700000,144893,坡道平面,32.67,2350000,,RPPNMLLLKHLGFDE67CB,城揚TwinS,B2棟12號,
