編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLMKKHLGFBE87CC,五權段,19.29,都市：住,,,,00360000
RPQNMLNKKHLGFBE77CC,福裕段,23.57,都市：住,,,,14360000
RPSOMLMKKHLGFEE28CC,藍田西段,21.18,都市：住,,,,03210000
RPRNMLMKKHLGFIE48CC,澄德段,12.44,都市：商,,,,00260000
RPRNMLRKKHLGFIE98CC,竹後段,773.00,都市：住,,,,07670001
RPROMLNLKHLGFBE08CC,五權段,21.36,都市：住,,,,00360000
RPTNMLNLKHLGFEE48CC,清楠段,23.45,都市：商,,,,05030000
RPXNMLNLKHLGFEE88CC,和平段四小段,13.46,都市：住,,,,00220000
RPRNMLNLKHLGFFE38CC,福潭段,1297.41,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03380000
RPQNMLNLKHLGFGE38CC,文英段,7.11,都市：住,,,,08570000
RPPNMLNLKHLGFJE58CC,大同段,79.81,都市：工,,,,04030000
RPTNMLNLKHLGFAE08CC,內惟段四小段,53.00,都市：住,,,,04050003
RPWNMLNLKHLGFAE38CC,龍華段四小段,18.36,都市：住,,,,07180000
RPQPMLMKKHLGFAE77CC,青海段,24.54,都市：住,,,,01050000
RPQRMLOLKHLGFEE68CC,藍田西段,8.98,都市：商,,,,00990000
RPVNMLOLKHLGFFE88CC,大德段,104.27,都市：住,,,,00310000
RPVNMLOLKHLGFFE88CC,大德段,114.95,都市：住,,,,00300000
RPVNMLOLKHLGFFE88CC,大德段,21.73,都市：其他:道路用地,,,,00310001
RPVNMLOLKHLGFFE88CC,大德段,23.95,都市：其他:道路用地,,,,00300001
RPWNMLOLKHLGFFE98CC,為隨段,252.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,01360021
RPQNMLOLKHLGFGE48CC,新甲段,57.00,都市：工,,,,01310025
RPVNMLPLKHLGFIE66CC,草潭段,68.36,都市：住,,,,09030000
RPSNMLPLKHLGFIE98CC,學園段,163.88,都市：住,,,,00390001
RPSNMLRLKHLGFCE58CC,店鎮段一小段,16.53,都市：商,,,,12530000
RPSNMLRLKHLGFCE58CC,店鎮段一小段,3.46,都市：商,,,,13280000
RPRNMLRLKHLGFCE48CC,店子後段,65.00,都市：商,,,,11170006
RPRNMLRLKHLGFBE38CC,意誠段,3.93,都市：商,,,,01990000
RPPNMLSLKHLGFBE28CC,意誠段,4.02,都市：商,,,,01990000
RPTNMLMJLHLGFCE08CC,店鎮段二小段,63.28,都市：住,,,,29510015
RPQNMLMJLHLGFFE08CC,大公段,126.00,都市：商,,,,09210003
RPPNMLMJLHLGFFE97CC,文賢段,35.13,都市：住,,,,06530000
RPXNMLMJLHLGFGE88CC,四甲段,48.90,都市：住,,,,00310055
