編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLNKKHLGFBE77CC,坡道平面,0,,地下二樓
RPOOMLMKKHLGFEE87CC,坡道平面,0,,地下二樓
RPPNMLNKKHLGFEE97CC,坡道機械,0,,地下一樓
RPWNMLMKKHLGFEE58CC,坡道平面,0,24.05,地下三樓
RPUNMLMKKHLGFEE38CC,坡道平面,0,30.70,地下一樓
RPSPMLNKKHLGFEE48CC,坡道機械,0,,地下一樓
RPPNMLPKKHLGFEE18CC,坡道平面,0,,地下一樓
RPPNMLNLKHLGFCE87CC,坡道平面,0,,地下五樓含以下
RPPPMLNLKHLGFEE28CC,坡道機械,0,12.29,地下三樓
RPTPMLNLKHLGFEE68CC,坡道機械,2000,9.11,地下五樓含以下
RPQPMLNLKHLGFEE38CC,坡道機械,0,12.22,地下三樓
RPVNMLNLKHLGFEE68CC,坡道平面,0,15.63,地下二樓
RPQNMLNLKHLGFGE38CC,坡道機械,0,7.10,地下三樓
RPXOMLNLKHLGFAE58CC,坡道平面,0,49.04,地下四樓
RPWNMLOLKHLGFAE48CC,坡道平面,0,22.19,地下五樓含以下
RPTOMLOLKHLGFAE28CC,坡道平面,0,21.22,地下一樓
RPTOMLOLKHLGFDE58CC,坡道平面,0,23.83,地下二樓
RPQNMLOLKHLGFEE28CC,坡道機械,0,,地下二樓
RPOPMLOLKHLGFEE28CC,坡道平面,0,24.07,地下二樓
RPPQMLOLKHLGFEE48CC,坡道平面,0,17.24,地下一樓
RPRPMLOLKHLGFEE58CC,坡道平面,0,17.82,地下三樓
RPRRMLOLKHLGFEE78CC,坡道平面,0,13.79,地下一樓
RPPNMLOLKHLGFFE28CC,坡道平面,0,19.55,地下四樓
RPQOMLOLKHLGFGE58CC,坡道機械,0,10.36,地下二樓
RPVNMLPLKHLGFCE68CC,坡道機械,0,8.80,地下四樓
RPVNMLPLKHLGFDE78CC,坡道機械,1500,6.48,地下三樓
RPTOMLPLKHLGFDE68CC,坡道平面,0,,地下一樓
RPSNMLPLKHLGFFE68CC,坡道機械,0,11.50,地下三樓
RPQNMLPLKHLGFFE48CC,坡道機械,0,11.50,地下三樓
RPQOMLPLKHLGFEE48CC,坡道平面,0,23.95,地下一樓
RPXOMLPLKHLGFEE56CC,坡道平面,0,19.09,地下一樓
RPRNMLQLKHLGFAE18CC,坡道平面,0,21.33,地下四樓
RPSNMLQLKHLGFAE28CC,坡道平面,0,21.33,地下二樓
RPUOMLPLKHLGFEE88CC,坡道平面,0,26.14,地下三樓
RPWNMLQLKHLGFAE68CC,坡道平面,0,15.50,地下一樓
RPSNMLPLKHLGFIE98CC,一樓平面,0,,一樓
RPRNMLQLKHLGFBE28CC,坡道機械,0,7.24,地下四樓
RPWNMLQLKHLGFDE98CC,坡道平面,0,15.64,地下三樓
RPPPMLQLKHLGFDE48CC,坡道平面,0,21.30,地下一樓
RPSNMLMJLHLGFAE77CC,坡道平面,0,34.54,地下二樓
RPPNMLMJLHLGFCE67CC,坡道平面,0,20.51,地下三樓
RPWOMLMJLHLGFDE58CC,坡道平面,0,21.25,地下三樓
RPPNMLMJLHLGFFE97CC,坡道平面,0,,地下一樓
