鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中和區,土地,光復段19地號,50.8,,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5425000,106791,,0.0,0,包含公共設施保留地用地；,RPVNMLOJOHLGFHF66DA,0.0,0.0,0.0,無,00001
石門區,土地,老梅段九芎林小段112-1地號,0.09,,一般農業區,農牧用地,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600,0,,0.0,0,,RPSNMLRJNHLGFEF98EA,0.0,0.0,0.0,無,00002
石門區,土地,老梅段九芎林小段112-1地號,0.45,,一般農業區,農牧用地,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000,0,,0.0,0,,SPSNMLRJNHLGFEF09EA,0.0,0.0,0.0,無,00002
石門區,土地,老梅段九芎林小段112-1地號,0.45,,一般農業區,農牧用地,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000,0,,0.0,0,,TPSNMLRJNHLGFEF56EA,0.0,0.0,0.0,無,00002
中和區,房地(土地+建物),新北市中和區錦和路１９６巷７弄６號五樓,26.84,住,,,1150507,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690630,90.78,3,1,1,有,無,9360000,103106,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；急買急賣；,RPPNMLLKNHLGFHF48EA,90.78,0.0,0.0,無,
汐止區,房地(土地+建物),新北市汐止區瑞松街１５０巷２０號６樓之２５,18.86,,山坡地保育區,丙種建築用地,1150501,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810703,55.72,1,0,1,有,有,3500000,62803,,0.0,0,,RPQNMLMKNHLGFDF18DA,42.23,0.0,3.84,有,
三重區,車位,新北市三重區仁安街１０６號等,0.0,,,,1150503,土地0建物1車位1,,,其他,,,,26.41,0,0,0,無,有,2800000,,坡道平面,26.41,2800000,建物坐落地號：碧華段600地號；僅車位交易；,RPOOMLPJNHLGFGF58DA,0.0,0.0,0.0,有,00005
板橋區,房地(土地+建物),新北市板橋區懷德街１７４巷２１號三樓,15.38,住,,,1150504,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,36.91,3,1,1,有,無,3270000,88594,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLLKNHLGFAF48EA,36.91,0.0,0.0,無,00006
淡水區,房地(土地+建物),新北市淡水區大忠街９２號十四樓,16.76,住,,,1150501,土地1建物1車位0,十四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841018,102.15,2,2,1,有,有,8650000,84679,,0.0,0,,RPWOMLQJNHLGFEF76EA,77.99,0.0,9.52,有,
新莊區,車位,新北市新莊區新泰路３巷３９號,0.71,住,,,1150504,土地1建物1車位1,一層,九層,其他,管理員室,鋼筋混凝土造,0830720,21.43,0,0,0,無,有,1700000,,坡道平面,21.43,1700000,僅車位交易；,RPQUMLPJNHLGFBF88DA,0.0,0.0,0.0,有,00007
新莊區,車位,新北市新莊區中正路３４０巷１號等,1.79,住,,,1150506,土地1建物1車位1,,,其他,,,,24.23,0,0,0,無,有,2300000,,坡道平面,24.23,2300000,僅車位交易；,RPUTMLOKNHLGFBF56DA,0.0,0.0,0.0,有,00008
新店區,土地,安康段863地號,144.91,農,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14500000,100062,,0.0,0,未登記建物；,RPSNMLNKNHLGFCF38DA,0.0,0.0,0.0,無,
汐止區,車位,新北市汐止區青山路６號,0.97,住,,,1150504,土地1建物1車位1,一層,十四層,其他,住家用,鋼筋混凝土造,0900119,39.36,0,0,0,無,有,1850000,,坡道平面,39.36,1850000,本案件僅有車位交易僅車位交易；,RPQOMLQJNHLGFDF58DA,0.0,0.0,0.0,有,00009
中和區,房地(土地+建物)+車位,新北市中和區中原街３０號十六樓,16.63,住,,,1150503,土地1建物1車位1,十六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1080806,109.6,2,1,1,有,有,17650000,161040,坡道平面,36.06,0,,RPUNMLMKNHLGFHF98DA,42.5,0.95,4.67,有,00010
新莊區,房地(土地+建物),新北市新莊區中華路一段６３巷６號二樓,13.82,住,,,1150504,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780626,112.6,3,2,2,有,有,3455932,30692,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLNKNHLGFBF78EA,83.17,0.0,20.63,有,
淡水區,車位,新北市淡水區學府路３２巷３９號等,0.62,住,,,1150501,土地2建物1車位1,,,其他,,,,37.11,0,0,0,無,有,1600000,,坡道平面,37.1,1600000,僅車位交易；,RPSNMLNKNHLGFEF68EA,0.0,0.0,0.0,有,00011
板橋區,車位,新北市板橋區中山路二段４０３號等,1.62,工,,,1150504,土地1建物1車位1,,,其他,,,,26.49,0,0,0,無,無,2450000,,坡道平面,26.49,2450000,僅車位交易；,RPQRMLOKNHLGFAF48DA,0.0,0.0,0.0,無,00012
林口區,土地,南勢段418地號,80.78,農,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1777094,21999,,0.0,0,,RPSOMLNKNHLGFBF38DA,0.0,0.0,0.0,無,
永和區,房地(土地+建物),新北市永和區中正路３６８巷５６號三樓,26.8,住,,,1150501,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680921,96.12,3,2,1,有,無,13880000,144403,,0.0,0,陽台外推；其他增建；,RPQQMLQJNHLGFHF56DA,96.12,0.0,0.0,無,
淡水區,土地,水源段336地號,43.78,,山坡地保育區,農牧用地,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50006,1142,,0.0,0,,RPOOMLNKNHLGFEF38EA,0.0,0.0,0.0,無,
淡水區,土地,水頭段白石腳小段20-1地號,57.0,,山坡地保育區,林業用地,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,105000,1842,,0.0,0,,RPPOMLNKNHLGFEF48EA,0.0,0.0,0.0,無,
五股區,房地(土地+建物)+車位,新北市五股區芳洲八路１５２號十一樓,23.03,住,,,1150504,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040114,142.88,3,2,2,有,有,18300000,128080,坡道平面,18.74,0,,RPSNMLOJNHLGFBF28DA,74.19,5.39,4.21,有,00013
汐止區,土地,東勢段67地號,59.94,,山坡地保育區,農牧用地,1150511,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,906500,15123,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLPKNHLGFDF78DA,0.0,0.0,0.0,無,00014
淡水區,車位,新北市淡水區北新路１４１巷６０弄１１號等地下一、二樓,0.39,住,,,1150507,土地1建物1車位1,地下一層，地下二層,十四層,其他,停車場,鋼筋混凝土造,0830809,35.29,0,0,0,無,有,900000,,坡道平面,35.29,900000,僅車位交易；,RPXNMLRJNHLGFEF76DA,0.0,0.0,0.0,有,00015
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路１６巷７３號八樓,25.93,住,,,1150506,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030211,155.88,3,2,2,有,有,16460000,114689,坡道平面,25.44,1500000,,RPUNMLMKNHLGFEF68DA,79.31,1.5,10.38,有,00016
三峽區,車位,新北市三峽區學勤路１７８之１號等,0.0,,,,1150502,土地0建物1車位1,,,其他,,,,39.03,0,0,0,無,有,1210000,,坡道平面,39.03,1210000,建物坐落地號：大學段一小段53地號；僅車位交易；,RPROMLPKNHLGFIF56DA,0.0,0.0,0.0,有,00017
淡水區,土地,仁愛段82地號,4.52,商,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,66372,,0.0,0,持分土地無分管協議親友、員工、共有人或其他特殊關係間之交易；,RPUNMLNKNHLGFEF88EA,0.0,0.0,0.0,無,
永和區,土地,保福段97地號,5.31,住,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3300000,621469,,0.0,0,未登記建物；,RPPNMLPKNHLGFHF88EA,0.0,0.0,0.0,無,
雙溪區,土地,武丹坑段武丹坑小段384地號,693.0,,山坡地保育區,農牧用地,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,207900,300,,0.0,0,,RPPNMLPKNHLGFFF58DA,0.0,0.0,0.0,無,
中和區,房地(土地+建物),新北市中和區新生街２７０號四樓,23.42,住,,,1150504,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730113,78.05,3,1,1,有,無,11800000,151185,,0.0,0,陽台外推；,RPXNMLSJNHLGFHF17DA,71.45,0.0,6.6,無,
板橋區,房地(土地+建物),新北市板橋區五權街３０巷１２弄２０號,23.0,住,,,1150505,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680209,91.63,1,1,1,有,無,10000000,109135,,0.0,0,雙方協議增值稅1154008元由買方繳納親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPKNHLGFAF18EA,91.63,0.0,0.0,無,
