編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUTMLOKNHLGFBF56DA,6,24.23,共有部分之項目有管道、管委會空間（會議室）、管委會空間、管委會空間（儲藏室）、男廁、女廁、梯廳、無障礙廁所、女廁／淋浴、男廁／淋浴、防災中心、管委會空間辦公室、走道、緊急昇降機、梯廳兼排煙室、無障礙電梯、無障礙安全梯、進風機房、排風機房、發電機房、電信機房、中繼機房、泳池機房、公共梯廳、繳費機、廁所、受電箱、Ａ棟／Ｂ棟台電配電場所、Ａ棟／Ｂ棟垃圾貯存空間、Ｃ棟／Ｄ棟台電配電場所、Ｃ／Ｄ棟垃圾貯存空間、自設機車位、住戶機車停車區、腳踏車位、公共機車停車區、公益設施法定機車位、公共汽車停車區、垃圾車暫停車位、裝卸車位、公益設施法定車位、公共機車位票卡機、機車車道、汽車車道、住戶汽車停車區、電梯緩衝坑、污水處理雨水回收機房、消防泵浦室、Ａ棟蓄水池、Ｂ棟蓄水池、Ｃ棟蓄水池、Ｄ棟蓄水池等５１項。,鋼筋混凝土造,109年6月18日,二十四層,,持分移轉
RPSNMLNKNHLGFEF68EA,,37.11,,,,,,持分移轉
RPVOMLLKNHLGFAF48EA,,36.91,住家用,鋼筋混凝土造,,四層,三層,持分移轉
RPQUMLPJNHLGFBF88DA,32,.11,管理員室,鋼筋混凝土造,83年7月20日,九層,一層,持分移轉
RPQUMLPJNHLGFBF88DA,32,21.32,共有部分,鋼筋混凝土造,83年7月20日,九層,,持分移轉
RPROMLPKNHLGFIF56DA,17,39.03,共有部分,鋼筋混凝土造,98年7月30日,二十五層,,持分移轉
RPWOMLQJNHLGFEF76EA,31,87.51,住家用,鋼筋混凝土造,84年10月18日,二十一層,十四層 陽台,全筆移轉
RPWOMLQJNHLGFEF76EA,31,3.22,共有部分,鋼筋混凝土造,84年10月18日,二十一層,,持分移轉
RPWOMLQJNHLGFEF76EA,31,11.43,共有部分,鋼筋混凝土造,84年10月18日,二十三層,,持分移轉
RPOOMLPJNHLGFGF58DA,1,26.41,本共有部分項目有：管委會使用空間、排煙室、無障礙電梯、緊急升降機、無障礙樓梯戶外安全梯、騎樓、垃圾儲藏室、梯廳、戶外安全梯、樓梯間、消防專用屋頂水箱、水錶室、機械室、水箱、防空避難室兼停車空間、停車空間等１６項。,鋼筋混凝土造,114年5月20日,十二層,,持分移轉
RPWNMLNKNHLGFBF78EA,37,103.80,住家用,鋼筋混凝土造,78年6月26日,十層,二層 陽台,全筆移轉
RPWNMLNKNHLGFBF78EA,37,8.80,共有部分,鋼筋混凝土造,78年6月26日,十層,,持分移轉
RPPNMLLKNHLGFHF48EA,46,90.78,住家用,鋼筋混凝土造,69年6月30日,五層,五層 陽台,全筆移轉
RPSNMLOJNHLGFBF28DA,11,83.79,集合住宅,鋼筋混凝土造,104年1月14日,十五層,十一層 陽台 雨遮,全筆移轉
RPSNMLOJNHLGFBF28DA,11,15.72,本共有部分之項目有緊急升降機、行動不便者使用電梯、Ａ１梯戶外安全梯、Ａ２梯戶外安全梯、排煙室、梯廳、機房、水箱、機械室等９項。,鋼筋混凝土造,104年1月14日,十五層,,持分移轉
RPSNMLOJNHLGFBF28DA,11,43.37,本共有部分之項目有緊急升降機、行動不便者使用電梯、Ａ２梯戶外安全梯、Ｂ１梯戶外安全梯、大廳、排煙室、管委會空間一、二、三、台電配電場所、電錶室、陽台、垃圾儲存空間、停車空間、台電專用管道間、發電機進排煙管道間、通風管道、發電機房、Ｂ２水箱、Ｂ１水箱、Ａ１水箱、消防機房等２０項。,鋼筋混凝土造,104年1月14日,十五層,,持分移轉
RPWQMLNKNHLGFBF98DA,44,81.02,住家用,鋼筋混凝土造,70年12月23日,五層,二層 陽台,全筆移轉
RPPNMLPKNHLGFAF18EA,47,91.63,住家用,鋼筋混凝土造,68年2月9日,五層,一層 平台,全筆移轉
RPQNMLTKNHLGFCF88EA,15,62.86,住家用,鋼筋混凝土造,99年12月31日,七層,陽台 雨遮 地下一層,全筆移轉
RPQNMLTKNHLGFCF88EA,15,29.96,本共有部分項目有：水池、ＳＰＡ機房、消房幫浦機房、發電機房、污水機房、防空避難室兼停車空間、大廳、管委會辦公室、休息室、會議室、儲藏室、閱覽室、機房、更衣間、台電配電室、電信機房、陽台、雨遮、電梯間、電錶室、通道、樓梯間、水箱等２３項。,鋼筋混凝土造,99年12月31日,七層,,持分移轉
RPORMLPKNHLGFBF48DA,7,58.58,集合住宅,鋼骨鋼筋混凝土造,108年6月11日,十九層,十七層 陽台 雨遮,全筆移轉
