編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLOKKHLGFCF18CB,明德段,.69,都市：住,500000,2537,持分移轉,02650000
RPSNMLOKKHLGFCF18CB,明德段,.41,都市：住,500000,2537,持分移轉,02670000
RPSNMLOKKHLGFCF18CB,明德段,.07,都市：住,500000,2537,持分移轉,02680000
RPSNMLOKKHLGFCF18CB,明德段,.34,都市：住,500000,2537,持分移轉,02690000
RPSNMLOKKHLGFCF18CB,明德段,.40,都市：住,500000,2537,持分移轉,02720000
RPSNMLOKKHLGFCF18CB,明德段,.50,都市：住,500000,2537,持分移轉,02730000
RPSNMLOKKHLGFCF18CB,明德段,1.37,都市：住,500000,2537,持分移轉,02750000
RPSNMLOKKHLGFCF18CB,明德段,.63,都市：住,500000,2537,持分移轉,02760000
RPSNMLOKKHLGFCF18CB,明德段,.61,都市：住,500000,2537,持分移轉,02790000
RPSNMLOKKHLGFCF18CB,明德段,.61,都市：住,500000,2537,持分移轉,02800000
RPSNMLOKKHLGFCF18CB,明德段,.60,都市：住,500000,2537,持分移轉,02830000
RPSNMLOKKHLGFCF18CB,明德段,6.54,都市：住,500000,2537,持分移轉,03210000
RPSNMLOKKHLGFCF18CB,明德段,.09,都市：住,500000,2537,持分移轉,03220000
RPSNMLOKKHLGFCF18CB,明德段,.07,都市：住,500000,2537,持分移轉,03230000
RPPNMLNLKHLGFCF87CB,斯馨段,3.61,都市：住,100000,278,持分移轉,00190000
RPPNMLNLKHLGFCF87CB,斯馨段,10.30,都市：住,100000,278,持分移轉,00200000
RPPNMLNLKHLGFIF48CB,鳳祥段,1.68,都市：商,100000,500,持分移轉,12800000
RPPNMLNLKHLGFIF48CB,鳳祥段,.46,都市：商,100000,500,持分移轉,12940000
RPPNMLNLKHLGFIF48CB,鳳祥段,.30,都市：住,100000,500,持分移轉,14410000
RPPNMLNLKHLGFIF48CB,鳳祥段,18.93,都市：住,100000,500,持分移轉,14420000
RPPNMLNLKHLGFIF48CB,鳳祥段,5.25,都市：住,100000,500,持分移轉,14430000
RPPNMLNKKHLGFIF38CB,東園段,23.64,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5009,持分移轉,02030000
RPPNMLNKKHLGFIF38CB,東園段,1.42,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,5009,持分移轉,02020000
RPRNMLNLKHLGFIF68CB,鳳祥段,2.35,都市：商,100000,700,持分移轉,12800000
RPRNMLNLKHLGFIF68CB,鳳祥段,.65,都市：商,100000,700,持分移轉,12940000
RPRNMLNLKHLGFIF68CB,鳳祥段,.42,都市：住,100000,700,持分移轉,14410000
RPRNMLNLKHLGFIF68CB,鳳祥段,26.51,都市：住,100000,700,持分移轉,14420000
RPRNMLNLKHLGFIF68CB,鳳祥段,7.35,都市：住,100000,700,持分移轉,14430000
RPQNMLNLKHLGFIF58CB,鳳祥段,1.68,都市：商,100000,500,持分移轉,12800000
RPQNMLNLKHLGFIF58CB,鳳祥段,.46,都市：商,100000,500,持分移轉,12940000
RPQNMLNLKHLGFIF58CB,鳳祥段,.30,都市：住,100000,500,持分移轉,14410000
RPQNMLNLKHLGFIF58CB,鳳祥段,18.93,都市：住,100000,500,持分移轉,14420000
RPQNMLNLKHLGFIF58CB,鳳祥段,5.25,都市：住,100000,500,持分移轉,14430000
RPRNMLOKKHLGFCF08CB,明德段,.87,都市：住,500000,3214,持分移轉,02650000
RPRNMLOKKHLGFCF08CB,明德段,.52,都市：住,500000,3214,持分移轉,02670000
RPRNMLOKKHLGFCF08CB,明德段,.09,都市：住,500000,3214,持分移轉,02680000
RPRNMLOKKHLGFCF08CB,明德段,.43,都市：住,500000,3214,持分移轉,02690000
RPRNMLOKKHLGFCF08CB,明德段,.50,都市：住,500000,3214,持分移轉,02720000
RPRNMLOKKHLGFCF08CB,明德段,.63,都市：住,500000,3214,持分移轉,02730000
RPRNMLOKKHLGFCF08CB,明德段,1.74,都市：住,500000,3214,持分移轉,02750000
RPRNMLOKKHLGFCF08CB,明德段,.79,都市：住,500000,3214,持分移轉,02760000
RPRNMLOKKHLGFCF08CB,明德段,.78,都市：住,500000,3214,持分移轉,02790000
RPRNMLNKKHLGFCF97CB,明德段,.69,都市：住,500000,2537,持分移轉,02650000
RPRNMLOKKHLGFCF08CB,明德段,.77,都市：住,500000,3214,持分移轉,02800000
RPRNMLNKKHLGFCF97CB,明德段,.41,都市：住,500000,2537,持分移轉,02670000
RPRNMLOKKHLGFCF08CB,明德段,.76,都市：住,500000,3214,持分移轉,02830000
RPRNMLNKKHLGFCF97CB,明德段,.07,都市：住,500000,2537,持分移轉,02680000
RPRNMLOKKHLGFCF08CB,明德段,8.28,都市：住,500000,3214,持分移轉,03210000
RPRNMLNKKHLGFCF97CB,明德段,.34,都市：住,500000,2537,持分移轉,02690000
RPRNMLOKKHLGFCF08CB,明德段,.11,都市：住,500000,3214,持分移轉,03220000
RPRNMLNKKHLGFCF97CB,明德段,.40,都市：住,500000,2537,持分移轉,02720000
RPRNMLOKKHLGFCF08CB,明德段,.08,都市：住,500000,3214,持分移轉,03230000
RPRNMLNKKHLGFCF97CB,明德段,.50,都市：住,500000,2537,持分移轉,02730000
RPRNMLNKKHLGFCF97CB,明德段,1.37,都市：住,500000,2537,持分移轉,02750000
RPRNMLNKKHLGFCF97CB,明德段,.63,都市：住,500000,2537,持分移轉,02760000
RPRNMLNKKHLGFCF97CB,明德段,.61,都市：住,500000,2537,持分移轉,02790000
RPRNMLNKKHLGFCF97CB,明德段,.61,都市：住,500000,2537,持分移轉,02800000
RPRNMLNKKHLGFCF97CB,明德段,.60,都市：住,500000,2537,持分移轉,02830000
RPRNMLNKKHLGFCF97CB,明德段,6.54,都市：住,500000,2537,持分移轉,03210000
RPRNMLNKKHLGFCF97CB,明德段,.09,都市：住,500000,2537,持分移轉,03220000
RPRNMLNKKHLGFCF97CB,明德段,.07,都市：住,500000,2537,持分移轉,03230000
RPQNMLOKKHLGFCF97CB,福園段,2.45,都市：住,10000,189,持分移轉,03450000
RPQNMLOKKHLGFCF97CB,福園段,2.40,都市：住,10000,189,持分移轉,03470000
RPQNMLOKKHLGFCF97CB,福園段,2.43,都市：住,10000,189,持分移轉,03490000
RPQNMLOKKHLGFCF97CB,福園段,2.77,都市：住,10000,189,持分移轉,03510000
RPRNMLNLKHLGFAF87CB,亞東段,1.48,都市：其他:通訊數位專用區二,100000,334,持分移轉,09810007
RPRNMLNLKHLGFAF87CB,亞東段,.38,都市：其他:通訊數位專用區二,100000,334,持分移轉,09820001
RPRNMLNLKHLGFAF87CB,亞東段,.05,都市：其他:通訊數位專用區二,100000,334,持分移轉,09830000
RPRNMLNLKHLGFAF87CB,亞東段,1.95,都市：其他:通訊數位專用區二,100000,334,持分移轉,09840000
RPRNMLNLKHLGFAF87CB,亞東段,.26,都市：其他:通訊數位專用區二,100000,334,持分移轉,09850000
RPRNMLNLKHLGFAF87CB,亞東段,6.88,都市：其他:通訊數位專用區二,100000,334,持分移轉,09890000
RPRNMLNLKHLGFAF87CB,亞東段,18.75,都市：其他:通訊數位專用區二,100000,334,持分移轉,09900000
RPRNMLNLKHLGFAF87CB,亞東段,2.84,都市：其他:通訊數位專用區二,100000,334,持分移轉,09970000
RPRNMLNLKHLGFAF87CB,亞東段,2.06,都市：其他:通訊數位專用區二,100000,334,持分移轉,10070003
RPRNMLNLKHLGFAF87CB,亞東段,1.23,都市：其他:通訊數位專用區二,100000,334,持分移轉,09860000
RPUNMLNLKHLGFAF18CB,亞東段,.76,都市：其他:通訊數位專用區二,100000,172,持分移轉,09810007
RPUNMLNLKHLGFAF18CB,亞東段,.19,都市：其他:通訊數位專用區二,100000,172,持分移轉,09820001
RPUNMLNLKHLGFAF18CB,亞東段,.03,都市：其他:通訊數位專用區二,100000,172,持分移轉,09830000
RPUNMLNLKHLGFAF18CB,亞東段,1.00,都市：其他:通訊數位專用區二,100000,172,持分移轉,09840000
RPUNMLNLKHLGFAF18CB,亞東段,.13,都市：其他:通訊數位專用區二,100000,172,持分移轉,09850000
RPUNMLNLKHLGFAF18CB,亞東段,3.54,都市：其他:通訊數位專用區二,100000,172,持分移轉,09890000
RPUNMLNLKHLGFAF18CB,亞東段,9.66,都市：其他:通訊數位專用區二,100000,172,持分移轉,09900000
RPUNMLNLKHLGFAF18CB,亞東段,1.46,都市：其他:通訊數位專用區二,100000,172,持分移轉,09970000
RPUNMLNLKHLGFAF18CB,亞東段,1.06,都市：其他:通訊數位專用區二,100000,172,持分移轉,10070003
RPUNMLNLKHLGFAF18CB,亞東段,.63,都市：其他:通訊數位專用區二,100000,172,持分移轉,09860000
RPTNMLNKKHLGFAF97CB,永翠段,2.32,都市：住,100000,247,持分移轉,00760000
RPTNMLNKKHLGFAF97CB,永翠段,1.77,都市：住,100000,247,持分移轉,00770000
RPTNMLNKKHLGFAF97CB,永翠段,1.66,都市：住,100000,247,持分移轉,00780000
RPTNMLNKKHLGFAF97CB,永翠段,.54,都市：住,100000,247,持分移轉,00790000
RPTNMLNKKHLGFAF97CB,永翠段,7.48,都市：住,100000,247,持分移轉,00800000
RPTNMLNKKHLGFAF97CB,永翠段,.15,都市：住,100000,247,持分移轉,00810000
RPTNMLNKKHLGFAF97CB,永翠段,.19,都市：住,100000,247,持分移轉,00820000
RPTNMLNKKHLGFAF97CB,永翠段,.22,都市：住,100000,247,持分移轉,00830000
RPTNMLMKKHLGFBF97CB,力行段,23.86,都市：住,100000,2686,持分移轉,12330000
RPTNMLMKKHLGFBF97CB,力行段,10.02,都市：住,100000,2686,持分移轉,12710000
RPPNMLMLKHLGFBF67CB,新工段二小段,15.84,非都市：工業區 ; 非都市編定：丁種建築用地,33000,688,持分移轉,00460000
RPRNMLNLKHLGFBF97CB,麗林段,10.20,都市：住,100000,1297,持分移轉,03820000
RPRNMLNLKHLGFBF97CB,麗林段,15.63,都市：住,100000,1297,持分移轉,03890000
RPRNMLLLKHLGFGF28CB,三重段,1.49,都市：住,10000,70,持分移轉,04110000
RPRNMLLLKHLGFGF28CB,三重段,1.11,都市：住,10000,70,持分移轉,04120000
RPRNMLLLKHLGFGF28CB,三重段,3.84,都市：住,10000,70,持分移轉,04130000
RPRNMLLLKHLGFGF28CB,三重段,3.12,都市：住,10000,70,持分移轉,04370000
RPRNMLLLKHLGFGF28CB,三重段,2.34,都市：住,10000,70,持分移轉,04380000
RPSNMLMKKHLGFBF87CB,力行段,15.99,都市：住,100000,1800,持分移轉,12330000
RPSNMLMKKHLGFBF87CB,力行段,6.71,都市：住,100000,1800,持分移轉,12710000
RPQNMLMKKHLGFBF67CB,力行段,17.20,都市：住,100000,1936,持分移轉,12330000
RPQNMLMKKHLGFBF67CB,力行段,7.22,都市：住,100000,1936,持分移轉,12710000
RPQNMLNKKHLGFBF77CB,興化段,141.54,都市：工,100000,1360,持分移轉,02060000
RPPNMLNKKHLGFBF67CB,興化段,73.68,都市：工,100000,708,持分移轉,02060000
RPUNMLMKKHLGFBF08CB,力行段,15.99,都市：住,100000,1800,持分移轉,12330000
RPUNMLMKKHLGFBF08CB,力行段,6.71,都市：住,100000,1800,持分移轉,12710000
RPVNMLMKKHLGFBF18CB,力行段,16.40,都市：住,100000,1846,持分移轉,12330000
RPVNMLMKKHLGFBF18CB,力行段,6.89,都市：住,100000,1846,持分移轉,12710000
RPRNMLPLKHLGFAF08CB,明德段,7.43,都市：住,100000,780,持分移轉,02120000
RPRNMLPLKHLGFAF08CB,明德段,11.15,都市：住,100000,780,持分移轉,02130000
RPTNMLPLKHLGFAF28CB,明德段,6.99,都市：住,100000,733,持分移轉,02120000
RPTNMLPLKHLGFAF28CB,明德段,10.48,都市：住,100000,733,持分移轉,02130000
RPSNMLPLKHLGFAF18CB,明德段,7.43,都市：住,100000,780,持分移轉,02120000
RPSNMLPLKHLGFAF18CB,明德段,11.15,都市：住,100000,780,持分移轉,02130000
RPVNMLOLKHLGFEF78CB,淡海段,29.90,都市：住,100000,1435,持分移轉,01240000
RPPNMLOLKHLGFEF18CB,新市段,12.69,都市：住,100000,606,持分移轉,01850000
RPQNMLOLKHLGFEF28CB,新市段,13.55,都市：住,100000,647,持分移轉,01850000
RPUNMLOLKHLGFEF68CB,訊塘段,20.23,都市：住,100000,357,持分移轉,00260000
RPSNMLOLKHLGFEF48CB,水仙段,.63,都市：住,100000,928,持分移轉,05130001
RPRNMLOLKHLGFEF38CB,水仙段,.63,都市：住,100000,941,持分移轉,05130001
RPSNMLOLKHLGFEF48CB,水仙段,.76,都市：住,100000,928,持分移轉,05980000
RPRNMLOLKHLGFEF38CB,水仙段,.77,都市：住,100000,941,持分移轉,05980000
RPSNMLOLKHLGFEF48CB,水仙段,4.95,都市：住,100000,928,持分移轉,05990000
RPRNMLOLKHLGFEF38CB,水仙段,5.02,都市：住,100000,941,持分移轉,05990000
RPSNMLOLKHLGFEF48CB,水仙段,1.24,都市：住,100000,928,持分移轉,06000000
RPRNMLOLKHLGFEF38CB,水仙段,1.26,都市：住,100000,941,持分移轉,06000000
RPSNMLOLKHLGFEF48CB,水仙段,3.71,都市：住,100000,928,持分移轉,06010000
RPRNMLOLKHLGFEF38CB,水仙段,3.76,都市：住,100000,941,持分移轉,06010000
RPSNMLOLKHLGFEF48CB,水仙段,.11,都市：住,100000,928,持分移轉,06030001
RPRNMLOLKHLGFEF38CB,水仙段,.11,都市：住,100000,941,持分移轉,06030001
RPSNMLOLKHLGFEF48CB,水仙段,.00,都市：住,100000,928,持分移轉,06030002
RPRNMLOLKHLGFEF38CB,水仙段,.00,都市：住,100000,941,持分移轉,06030002
RPSNMLOLKHLGFEF48CB,水仙段,.00,都市：住,100000,928,持分移轉,06030003
RPRNMLOLKHLGFEF38CB,水仙段,.00,都市：住,100000,941,持分移轉,06030003
RPSNMLOLKHLGFEF48CB,水仙段,.16,都市：住,100000,928,持分移轉,06040000
RPRNMLOLKHLGFEF38CB,水仙段,.16,都市：住,100000,941,持分移轉,06040000
RPSNMLOLKHLGFEF48CB,水仙段,2.30,都市：住,100000,928,持分移轉,06050000
RPSNMLOLKHLGFEF48CB,水仙段,.65,都市：住,100000,928,持分移轉,06060000
RPSNMLOLKHLGFEF48CB,水仙段,1.06,都市：住,100000,928,持分移轉,06070000
RPSNMLOLKHLGFEF48CB,水仙段,.85,都市：住,100000,928,持分移轉,06080000
RPRNMLOLKHLGFEF38CB,水仙段,2.33,都市：住,100000,941,持分移轉,06050000
RPSNMLOLKHLGFEF48CB,水仙段,.05,都市：住,100000,928,持分移轉,06090000
RPRNMLOLKHLGFEF38CB,水仙段,.66,都市：住,100000,941,持分移轉,06060000
RPSNMLOLKHLGFEF48CB,水仙段,.51,都市：住,100000,928,持分移轉,06100000
RPRNMLOLKHLGFEF38CB,水仙段,1.07,都市：住,100000,941,持分移轉,06070000
RPSNMLOLKHLGFEF48CB,水仙段,.26,都市：住,100000,928,持分移轉,06120001
RPRNMLOLKHLGFEF38CB,水仙段,.87,都市：住,100000,941,持分移轉,06080000
RPSNMLOLKHLGFEF48CB,水仙段,1.49,都市：住,100000,928,持分移轉,06130000
RPRNMLOLKHLGFEF38CB,水仙段,.05,都市：住,100000,941,持分移轉,06090000
RPSNMLOLKHLGFEF48CB,水仙段,1.55,都市：住,100000,928,持分移轉,06140000
RPRNMLOLKHLGFEF38CB,水仙段,.52,都市：住,100000,941,持分移轉,06100000
RPSNMLOLKHLGFEF48CB,水仙段,.59,都市：住,100000,928,持分移轉,06150001
