鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新莊區,租賃房屋,新北市新莊區中正路１９７之１０號,0.0,,,,1150324,土地0建物1車位0,見其他登記事項,22,店面(店鋪),補習班,鋼筋混凝土造,1051122,314.53,0,2,1,有,有,無,90000,286,,0.0,0,1.出租方同意提供租賃期間起算後二個月為免租金之裝潢期。2.出租用途為補習班其他營業稅；租賃期間有約定不同租金自一一七年十一月一日起及其後於租期每屆滿壹年時，應依行政院主計處公佈物件統計月報「消費者物價指數，房租類指數」調整為次壹年度之租金，租金調整計算式如下：屆滿前一年度全年平均之房租類指數/屆滿前二年度全年平均之房租類指數*前一年度租金=次一年度租金；,RPSPMLOLJIKGFBF38CC,,有,1141101~1191031,有,,
林口區,租賃房屋+車位,新北市林口區八德路２６０號１３樓,0.0,,,,1150311,土地0建物1車位1,十三層,16,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1040129,204.55,3,2,2,有,有,有,57500,281,坡道平面,45.48,0,,RPUNMLSJKIKGFBF68CC,整棟(戶)出租,有,1150322~1151221,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
板橋區,租賃房屋,新北市板橋區莊敬路２２０巷３６號十二樓,0.0,,,,1150211,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890124,40.12,1,1,1,有,有,有,15000,374,,0.0,0,,RPVPMLLKKHLGFAF28CC,獨立套房,有,1150213~1161229,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
汐止區,租賃房屋,新北市汐止區伯爵街９５巷１８號２樓,0.0,,,,1150211,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890929,105.1,2,2,1,有,有,無,17000,162,,0.0,0,未租賃車位，建物登記含有車位面積；,RPVNMLLKKHLGFDF38CC,整棟(戶)出租,有,1150220~1170219,有,冷氣、熱水器,
淡水區,租賃房屋+車位,新北市淡水區濱海路二段２０２巷１７號１４樓,0.0,,,,1150211,土地0建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031021,235.89,4,2,3,有,有,有,31000,131,坡道平面,31.27,0,租金總額含管理費；,RPPOMLLKKHLGFEF97CC,整棟(戶)出租,有,1150223~1170222,有,冷氣、熱水器、電視機、瓦斯或天然氣,
三重區,租賃房屋,新北市三重區中正南路２４號三樓,0.0,,,,1150211,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710629,37.26,2,2,1,有,無,有,14000,376,,0.0,0,水電費  由承租人負擔多人共同承租2；,RPSNMLLKKHLGFGF38CC,整棟(戶)出租,無,1150304~1160303,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
中和區,租賃房屋,新北市中和區景德街１７號１２樓之３,0.0,,,,1150211,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1060120,40.11,1,0,1,有,有,有,27000,673,,0.0,0,租金含下列服務:生活及休閒服務如:文康活動、清潔打掃等及福利諮詢等租金總額含管理費；續租案件；,RPPNMLLKKHLGFHF18CC,獨立套房,有,1150211~1160210,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,一般轉租
中和區,租賃房屋,新北市中和區中正路６７９號五樓之二,0.0,,,,1150211,土地0建物1車位0,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871027,58.190000000000005,1,1,1,有,有,有,15500,266,,0.0,0,管理費880元，水電費 由承租人負擔續租案件；,RPROMLLKKHLGFHF48CC,獨立套房,有,1150315~1160314,有,冷氣、熱水器、冰箱,社會住宅代管
鶯歌區,租賃房屋,新北市鶯歌區尖山埔路１６５巷３弄２２號４樓,0.0,,,,1150211,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880116,104.36000000000001,2,2,1,有,無,有,14000,134,,0.0,0,管理費用1000元由承租人負擔。,RPSNMLLKKHLGFIF58CC,整棟(戶)出租,無,1150223~1160222,無,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅代管
板橋區,租賃房屋,新北市板橋區四維路２７９巷５８號四樓,0.0,,,,1150212,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,63.09,2,2,1,有,無,無,23500,372,,0.0,0,多人共同承租2；,RPSOMLMKKHLGFAF97CC,整棟(戶)出租,無,1150301~1160228,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
