編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLMKKHLGFBF67CC,坡道平面,0,29.77,地下四樓
RPOOMLMKKHLGFBF67CC,坡道平面,0,29.77,地下四樓
RPOOMLMKKHLGFBF67CC,坡道平面,0,29.77,地下四樓
RPRPMLMKKHLGFAF97CC,坡道平面,0,32.06,地下三樓
RPPOMLLKKHLGFEF97CC,坡道平面,0,31.27,地下二樓
RPRPMLNKKHLGFBF18CC,坡道平面,3000,26.37,地下五樓含以下
RPTOMLNKKHLGFBF28CC,坡道平面,3000,36.61,地下三樓
RPQNMLMLKHLGFEF18CC,坡道平面,0,39.46,地下四樓
RPPNMLNLKHLGFDF08CC,坡道平面,0,39.45,地下四樓
RPTOMLNLKHLGFEF68CC,坡道平面,3000,33.05,地下二樓
RPUOMLNLKHLGFEF78CC,坡道平面,0,35.44,地下四樓
RPSNMLOLKHLGFBF28CC,坡道平面,0,23.64,地下五樓含以下
RPTOMLOLKHLGFBF48CC,坡道平面,3000,30.30,地下三樓
RPQOMLOLKHLGFEF48CC,坡道平面,0,27.60,地下三樓
RPVOMLOLKHLGFEF98CC,坡道平面,0,38.02,地下一樓
RPPNMLOLKHLGFIF68CC,坡道平面,0,13.57,地下一樓
RPUOMLPLKHLGFAF58CC,坡道平面,0,41.62,地下四樓
RPUNMLPLKHLGFBF58CC,坡道平面,3000,26.52,地下二樓
RPVPMLPLKHLGFBF88CC,坡道平面,3000,,地下一樓
RPPQMLPLKHLGFBF38CC,坡道平面,0,45.48,地下四樓
RPSQMLPLKHLGFBF68CC,坡道機械,3000,15.25,地下三樓
RPQQMLPLKHLGFBF48CC,坡道平面,4000,39.13,地下三樓
RPVRMLPLKHLGFBF09CC,坡道平面,0,19.52,地下二樓
RPPNMLPLKHLGFDF28CC,坡道平面,0,38.25,地下二樓
RPQNMLPLKHLGFEF48CC,坡道平面,2000,31.71,地下四樓
RPPPMLPLKHLGFEF58CC,坡道平面,0,30.69,地下五樓含以下
RPXOMLPLKHLGFGF86CC,坡道平面,0,32.66,地下五樓含以下
RPRNMLQLKHLGFAF28CC,坡道平面,3500,19.21,地下三樓
RPROMLQLKHLGFBF48CC,坡道平面,3500,18.74,地下三樓
RPSNMLQLKHLGFBF48CC,坡道平面,3000,26.60,地下一樓
RPXNMLQLKHLGFBF98CC,坡道平面,3000,34.69,地下三樓
RPQNMLQLKHLGFBF28CC,坡道平面,3000,36.44,地下二樓
RPTNMLQLKHLGFBF58CC,坡道平面,3000,,地下一樓
RPTOMLQLKHLGFBF68CC,坡道平面,3000,,地下四樓
RPWOMLQLKHLGFBF98CC,坡道平面,3000,26.90,地下三樓
RPOPMLQLKHLGFBF28CC,坡道平面,0,42.19,地下一樓
RPVOMLQLKHLGFBF88CC,坡道平面,3000,23.61,地下三樓
RPVNMLQLKHLGFEF09CC,坡道平面,0,26.54,地下三樓
RPXNMLQLKHLGFEF66CC,坡道平面,0,18.19,地下三樓
RPSOMLQLKHLGFEF88CC,坡道平面,0,33.04,地下三樓
RPUOMLQLKHLGFGF66CC,坡道平面,0,31.67,地下三樓
RPPNMLRLKHLGFAF18CC,坡道平面,0,19.21,地下三樓
RPQNMLSLKHLGFBF48CC,坡道平面,3000,21.73,地下二樓
RPUNMLSJKIKGFBF68CC,坡道平面,0,45.48,地下四樓
RPSNMLNKKHLGFIF78CC,坡道機械,2000,18.90,地下三樓
RPQNMLQLKHLGFCF38CC,坡道平面,6000,32.76,地下二樓
RPRNMLSLKHLGFEF88CC,坡道平面,0,30.84,地下三樓
RPPNMLLJLHLGFEF87CC,坡道平面,2500,31.51,地下三樓
RPOOMLMJLHLGFAF57CC,坡道平面,0,20.82,地下三樓
RPPNMLMJLHLGFAF57CC,坡道平面,0,31.65,地下二樓
RPROMLMJLHLGFAF87CC,坡道平面,0,35.25,地下一樓
RPVNMLSLKHLGFBF98CC,坡道平面,4000,21.55,地下三樓
RPOOMLSLKHLGFBF38CC,坡道平面,3500,32.47,地下二樓
RPQOMLMJLHLGFBF87CC,坡道平面,3000,25.57,地下二樓
RPSNMLSLKHLGFBF68CC,坡道平面,3000,28.27,地下三樓
RPSOMLMJLHLGFBF08CC,坡道平面,4000,28.60,地下三樓
RPWOMLMJLHLGFBF48CC,坡道平面,0,28.64,地下一樓
RPSPMLMJLHLGFBF18CC,坡道平面,3000,29.48,地下二樓
RPOOMLMJLHLGFEF97CC,坡道平面,2000,31.40,地下二樓
RPSOMLMJLHLGFEF38CC,坡道平面,0,24.57,地下二樓
RPRNMLNJLHLGFDF18CC,坡道平面,3000,42.69,地下二樓
RPPNMLNJLHLGFEF08CC,坡道平面,3000,29.74,地下二樓
RPSNMLNJLHLGFEF38CC,坡道平面,0,34.83,地下五樓含以下
RPPOMLNJLHLGFEF18CC,坡道平面,3000,33.05,地下二樓
RPQOMLNJLHLGFEF28CC,坡道平面,0,31.52,地下一樓
RPUOMLNJLHLGFEF68CC,坡道平面,0,45.96,地下三樓
RPVOMLNJLHLGFEF78CC,坡道平面,0,30.89,地下二樓
RPTNMLNJLHLGFGF68CC,坡道平面,3000,37.81,地下二樓
RPPOMLNJLHLGFBF87CC,坡道平面,3550,42.53,地下二樓
RPRPMLNJLHLGFBF18CC,坡道平面,4000,27.05,地下三樓
RPOPMLNJLHLGFBF87CC,坡道平面,3500,28.56,地下三樓
RPTOMLNJLHLGFBF28CC,坡道平面,3000,24.04,地下一樓
RPPPMLNJLHLGFBF97CC,坡道平面,3000,26.23,地下三樓
RPWNMLOJLHLGFBF58CC,坡道平面,3000,34.60,地下二樓
RPPOMLOJLHLGFAF87CC,坡道平面,3500,19.21,地下二樓
RPQOMLOJLHLGFAF97CC,坡道平面,3500,24.01,地下四樓
RPPNMLOJLHLGFDF08CC,坡道平面,3500,32.53,地下四樓
RPQNMLOJLHLGFEF28CC,坡道平面,0,35.28,地下一樓
RPSNMLOJLHLGFEF48CC,坡道平面,0,30.46,地下三樓
RPPNMLOJLHLGFEF18CC,坡道平面,0,25.44,地下一樓
RPQPMLOJLHLGFEF48CC,坡道平面,0,41.27,地下四樓
RPRNMLOJLHLGFIF78CC,坡道平面,0,,地下一樓
RPROMLOJLHLGFIF88CC,坡道平面,0,,地下一樓
RPTNMLOJLHLGFIF98CC,坡道平面,1700,42.33,地下四樓
RPXNMLPJLHLGFAF68CC,升降平面,0,41.22,地下四樓
RPRNMLPJLHLGFDF38CC,坡道機械,0,17.97,地下三樓
RPVNMLQJLHLGFBF68CC,坡道平面,0,,地下三樓
RPSOMLQJLHLGFBF48CC,坡道平面,300,27.05,地下二樓
RPQOMLQJLHLGFGF78CC,坡道平面,2000,31.67,地下二樓
RPPOMLQJLHLGFEF48CC,坡道平面,0,25.92,地下二樓
RPSOMLQJLHLGFGF98CC,坡道平面,2000,31.67,地下二樓
RPQOMLRJLHLGFBF38CC,坡道平面,3000,19.29,地下一樓
RPTOMLPJLHLGFBF48CC,坡道平面,3000,28.32,地下一樓
RPWNMLPJLHLGFBF68CC,坡道平面,4000,29.41,地下四樓
RPUNMLRJLHLGFEF98CC,坡道平面,3000,30.80,地下三樓
RPSOMLRJLHLGFBF58CC,坡道平面,2000,,地下三樓
RPSNMLRJLHLGFEF78CC,坡道平面,0,30.46,地下三樓
RPPNMLRJLHLGFEF48CC,坡道平面,0,27.41,地下一樓
RPTOMLRJLHLGFBF68CC,坡道平面,3500,15.34,地下三樓
RPQNMLRJLHLGFEF58CC,坡道平面,0,34.83,地下二樓
RPSNMLSJLHLGFBF58CC,坡道平面,0,25.65,地下三樓
RPSNMLSJLHLGFBF58CC,坡道平面,0,25.65,地下三樓
RPRNMLSJLHLGFBF48CC,坡道平面,0,48.24,地下三樓
RPPNMLRJLHLGFBF18CC,坡道平面,3500,25.34,地下三樓
RPXOMLTJLHLGFAF56CC,坡道平面,0,36.10,地下二樓
RPXOMLTJLHLGFAF56CC,坡道平面,0,36.10,地下二樓
RPWNMLTJLHLGFAF98CC,坡道平面,4000,17.68,地下三樓
RPQNMLTJLHLGFBF48CC,坡道平面,3000,34.72,地下一樓
RPXNMLTJLHLGFBF56CC,坡道平面,3000,24.18,地下二樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPTNMLTJLHLGFBF78CC,坡道平面,0,43.72,地下三樓
RPUNMLTJLHLGFDF09CC,坡道平面,0,,地下二樓
RPVNMLTJLHLGFDF56CC,坡道平面,0,27.87,地下三樓
RPQOMLTJLHLGFEF88CC,坡道平面,0,,地下一樓
RPRNMLTJLHLGFGF09CC,坡道平面,0,31.00,地下五樓含以下
RPTOMLTJLHLGFBF88CC,升降機械,1500,,地下一樓
RPWOMLTJLHLGFEF86CC,坡道平面,1000,30.10,地下二樓
RPXNMLTJLHLGFIF27CC,坡道平面,0,36.82,地下三樓
RPOOMLTJLHLGFIF09CC,坡道平面,3000,44.31,地下二樓
RPXOMLTJLHLGFIF37CC,升降機械,1000,14.21,地下一樓
RPUNMLKKLHLGFBF08CC,坡道平面,0,20.64,地下五樓含以下
RPWOMLKKLHLGFBF38CC,坡道平面,0,,地下一樓
RPSOMLKKLHLGFBF97CC,坡道平面,0,29.99,地下二樓
RPSOMLKKLHLGFBF97CC,坡道平面,0,29.99,地下二樓
RPSOMLKKLHLGFBF97CC,坡道平面,0,29.99,地下二樓
RPROMLKKLHLGFBF87CC,坡道平面,0,29.99,地下一樓
RPROMLKKLHLGFBF87CC,坡道平面,0,29.99,地下一樓
RPROMLKKLHLGFBF87CC,坡道平面,0,29.99,地下一樓
RPRNMLKKLHLGFEF08CC,坡道平面,0,32.39,地下二樓
RPTNMLKKLHLGFEF28CC,坡道平面,3000,,地下二樓
RPQNMLKKLHLGFGF18CC,升降機械,3000,4.83,地下四樓
RPRNMLKKLHLGFGF28CC,坡道機械,0,,地下二樓
RPXNMLKKLHLGFIF09CC,坡道平面,0,29.12,地下二樓
RPROMLKKLHLGFIF58CC,坡道平面,2500,29.73,地下三樓
RPWPMLLKLHLGFAF48CC,坡道平面,5098,28.12,地下一樓
RPTNMLLKLHLGFBF08CC,坡道平面,3000,37.97,地下三樓
RPVOMLLKLHLGFBF38CC,坡道平面,2000,,地下二樓
RPXOMLLKLHLGFBF58CC,升降機械,0,11.90,地下二樓
RPTNMLLKLHLGFDF28CC,坡道平面,3000,23.03,地下五樓含以下
RPXNMLLKLHLGFDF68CC,坡道平面,0,37.13,地下四樓
RPRNMLLKLHLGFEF18CC,坡道平面,0,25.47,地下三樓
RPVNMLLKLHLGFEF58CC,坡道機械,0,24.21,地下三樓
RPOOMLLKLHLGFEF97CC,坡道平面,0,16.23,地下三樓
RPOOMLLKLHLGFEF97CC,坡道平面,0,16.23,地下三樓
RPSOMLLKLHLGFEF38CC,坡道平面,0,32.65,地下三樓
RPROMLLKLHLGFEF28CC,坡道平面,0,28.14,地下二樓
RPVOMLLKLHLGFEF68CC,坡道機械,0,15.42,地下五樓含以下
RPUOMLLKLHLGFEF58CC,坡道平面,0,38.21,地下二樓
RPVOMLLKLHLGFGF88CC,坡道平面,4000,19.91,地下二樓
RPQNMLLKLHLGFIF48CC,坡道機械,2000,10.79,地下二樓
