鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
壯圍鄉,土地,壯濱一段1136地號,572.41,,一般農業區,農牧用地,1150605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,1398,,0.0,0,本案為持分之買賣親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTJOHLGFBG56DA,0.0,0.0,0.0,無,
員山鄉,土地,望龍埤段147-1地號,1604.68,,山坡地保育區,農牧用地,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1350000,841,,0.0,0,,RPVNMLLKNHLGFBG48DA,0.0,0.0,0.0,無,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮新榮路６２號三樓之１１,33.7,住,,,1150504,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130926,89.86,1,2,1,有,有,6650000,74004,,0.0,0,,RPSNMLSKNHLGFAG78DA,60.49,0.0,3.37,有,
礁溪鄉,土地,龍泉段371-12地號,28.67,農,,,1150514,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,550000,19184,,0.0,0,,RPSPMLOKNHLGFBG68DA,0.0,0.0,0.0,無,0001
頭城鎮,土地,拔雅林三段642地號,120.17,住,,,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4540000,37780,,0.0,0,,RPQNMLPKNHLGFBG48EA,0.0,0.0,0.0,無,
頭城鎮,土地,拔雅林三段643地號,456.44,住,,,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17260000,37814,,0.0,0,,SPQNMLPKNHLGFBG58EA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉信義路３４巷６號四樓之十八,6.51,商,,,1150506,土地2建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0971231,60.150000000000006,1,1,1,有,有,4200000,69825,,0.0,0,車位隨到隨停,RPRNMLSKNHLGFBG78DA,30.25,1.48,0.0,有,0002
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市延平一路２０６巷４７弄２０號,115.88,農,,,1150503,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051025,193.42,4,2,5,有,無,15200000,78585,,0.0,0,,RPROMLNKNHLGFBG38DA,173.14,5.51,14.77,無,
員山鄉,土地,深惠段445地號,43.6,,特定農業區,農牧用地,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,765000,17546,,0.0,0,,RPTNMLKLNHLGFBG28DA,0.0,0.0,0.0,無,0003
五結鄉,土地,利工段97地號,5408.6,,工業區,丁種建築用地,1150504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,96273080,17800,,0.0,0,政府機關標讓售；,RPQNMLKLNHLGFAG97EA,0.0,0.0,0.0,無,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中央路二段１１１號三樓之六,31.29,農,,,1150505,土地4建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120818,57.839999999999996,1,2,1,有,有,3800000,65698,,0.0,0,,RPSNMLSJNHLGFBG78DA,37.69,0.0,3.29,有,0004
員山鄉,土地,溫泉段320地號,0.43,住,,,1150519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,80000,0,,0.0,0,,RPXNMLSKNHLGFBG76DA,0.0,0.0,0.0,無,0005
羅東鎮,土地,東光段156地號,9.0,商,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,850000,94444,,0.0,0,畸零地或有合併使用效益；,RPRNMLKLNHLGFAG08EA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路五段４６巷２１弄３０號,110.64,住,,,1150512,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1121221,164.26,4,2,3,有,無,14700000,89492,,0.0,0,,RPRPMLOKNHLGFBG58DA,150.08,0.0,14.18,無,0006
員山鄉,土地,新三泰段373地號,443.46,,特定農業區,農牧用地,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1080000,2435,,0.0,0,,RPQNMLMLNHLGFBG18DA,0.0,0.0,0.0,無,
宜蘭市,土地,乾門一段1070地號,87.16,住,,,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4660000,53465,,0.0,0,姊妹間交易親友、員工、共有人或其他特殊關係間之交易；,RPRNMLPLNHLGFBG58DA,0.0,0.0,0.0,無,0007
大同鄉,土地,梵梵段340地號,530.0,,鄉村區,乙種建築用地,1150507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,755,,0.0,0,,RPPNMLMLNHLGFAG08EA,0.0,0.0,0.0,無,
南澳鄉,土地,仲岳段552-8地號,1000.0,,山坡地保育區,農牧用地,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,200,,0.0,0,,RPUNMLPLNHLGFAG78DA,0.0,0.0,0.0,無,
宜蘭市,土地,梅洲段477-23地號,19.38,,特定農業區,甲種建築用地,1150508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,586000,30237,,0.0,0,持分交易+共有人間交易,RPQNMLNLNHLGFBG28DA,0.0,0.0,0.0,無,0008
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路四段３６１巷８７號四樓,10.85,,特定農業區,甲種建築用地,1150509,土地2建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830804,37.87,2,2,1,有,無,2250000,59414,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；其他增建；,RPRNMLMKNHLGFAG08DA,28.2,0.0,4.49,有,0009
