編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLLKNHLGFBG48DA,望龍埤段,1604.68,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01470001
RPRNMLPLNHLGFBG58DA,乾門一段,87.16,都市：其他:住宅區,1,1,全筆移轉,10700000
RPPNMLPLNHLGFBG38DA,黎明段,90.90,都市：其他:住宅區,8,1,持分移轉,08780000
RPQNMLNLNHLGFBG28DA,梅洲段,19.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,3,持分移轉,04770023
RPQNMLKLNHLGFAG97EA,利工段,1402.38,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00900000
RPQNMLKLNHLGFAG97EA,利工段,4006.22,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00970000
RPUNMLPLNHLGFAG78DA,仲岳段,1000.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05520008
RPPNMLMLNHLGFAG08EA,梵梵段,530.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03400000
RPRNMLKLNHLGFAG08EA,東光段,9.00,都市：其他:商業區,1,1,全筆移轉,01560000
RPQNMLMLNHLGFBG18DA,新三泰段,443.46,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03730000
RPUNMLTJOHLGFBG56DA,壯濱一段,572.41,非都市：一般農業區 ; 非都市編定：農牧用地,8,1,持分移轉,11360000
RPSOMLQLNHLGFBG88DA,新塭段,529.02,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,03690001
RPPNMLQLNHLGFAG48EA,鹿皮段,10090.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,09020000
SPQNMLPKNHLGFBG58EA,拔雅林三段,456.44,都市：其他:住宅區,2,1,持分移轉,06430000
SPWNMLSKNHLGFAG66DA,中里段,16.72,都市：其他:農業區,10000,1243,持分移轉,05570000
SPWNMLSKNHLGFAG66DA,中里段,5.64,都市：其他:農業區,22,1,持分移轉,05570001
SPWNMLSKNHLGFAG66DA,中里段,16.53,都市：其他:農業區,10000,1048,持分移轉,05570002
RPQNMLPKNHLGFBG48EA,拔雅林三段,120.17,都市：其他:住宅區,2,1,持分移轉,06420000
RPSNMLSKNHLGFAG78DA,文化段,8.32,都市：其他:住宅區,100000,2572,持分移轉,03140062
RPSNMLSKNHLGFAG78DA,文化段,25.38,都市：其他:住宅區,100000,2572,持分移轉,03140089
RPWNMLSKNHLGFAG56DA,中里段,63.48,都市：其他:農業區,10000,597,持分移轉,05560000
RPSPMLOKNHLGFBG68DA,龍泉段,10.67,都市：其他:農業區,12,1,持分移轉,03710006
RPSPMLOKNHLGFBG68DA,龍泉段,18.00,都市：其他:農業區,1,1,全筆移轉,03710012
RPSNMLSJNHLGFBG78DA,吉祥二段,2.85,都市：其他:農業區,20,1,持分移轉,05470001
RPSNMLSJNHLGFBG78DA,吉祥二段,2.58,都市：其他:農業區,20,1,持分移轉,05470005
RPSNMLSJNHLGFBG78DA,吉祥二段,3.73,都市：其他:農業區,20,1,持分移轉,05470006
RPSNMLSJNHLGFBG78DA,吉祥二段,22.13,都市：其他:農業區,10000,337,持分移轉,05480000
RPRNMLSKNHLGFBG78DA,湯仔城段,2.43,都市：其他:第四種商業區,10000,17,持分移轉,00800000
RPRNMLSKNHLGFBG78DA,湯仔城段,4.08,都市：其他:第五種商業區,10000,17,持分移轉,00840000
RPOOMLKLNHLGFAG77DA,東安段,1.12,都市：其他:住宅區,20000,534,持分移轉,03520001
RPPNMLRLNHLGFBG68EA,下新興段,873.81,非都市：河川區 ; 非都市編定：水利用地,1,1,全筆移轉,00080000
RPOOMLKLNHLGFAG77DA,五結段,33.27,都市：其他:住宅區,20000,534,持分移轉,10280000
RPWNMLMLNHLGFBG78DA,望龍埤段,1787.49,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01460001
RPPNMLQLNHLGFBG58EA,武暖段,322.07,非都市：特定農業區 ; 非都市編定：農牧用地,12,1,持分移轉,11720000
RPRPMLOKNHLGFBG58DA,新生段,13.50,都市：其他:住宅區,1,1,全筆移轉,06850047
RPQNMLQLNHLGFBG68EA,武暖段,322.07,非都市：特定農業區 ; 非都市編定：農牧用地,12,1,持分移轉,11720000
RPRPMLOKNHLGFBG58DA,新生段,97.14,都市：其他:住宅區,1,1,全筆移轉,06850071
RPXNMLSKNHLGFBG76DA,溫泉段,.43,都市：其他:住宅區,64,3,持分移轉,03200000
RPOOMLQLNHLGFBG48DA,宜商段,16.67,都市：其他:住宅區,18,1,持分移轉,00750011
RPOOMLQLNHLGFBG48DA,宜商段,80.60,都市：其他:住宅區,1,1,全筆移轉,00750016
RPWOMLPLNHLGFAG09DA,補城二段,844.83,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12760000
RPRNMLMKNHLGFAG08DA,新西安段,10.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,156800,2013,持分移轉,03930000
RPPNMLMKNHLGFAG87DA,季寶段,21.23,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,629,持分移轉,03950000
RPRNMLMKNHLGFAG08DA,新西安段,.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,8800,114,持分移轉,03940000
RPTNMLKLNHLGFBG28DA,深惠段,43.60,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04450000
RPXNMLTLNHLGFAG86DA,三結一段,32.69,非都市：特定農業區 ; 非都市編定：甲種建築用地,12,2,持分移轉,04920000
RPXNMLTLNHLGFAG86DA,三結一段,96.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04990000
RPXNMLTLNHLGFAG86DA,三結一段,87.06,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05020000
RPOOMLTLNHLGFAG68DA,維揚段,8.50,都市：其他:住宅區,10000,68,持分移轉,03210000
RPUNMLSLNHLGFAG56EA,季新段,1601.48,非都市：一般農業區 ; 非都市編定：養殖用地,100,10,持分移轉,04400000
RPQNMLKMNHLGFAG97DA,東安段,.94,都市：其他:住宅區,10000,224,持分移轉,03520001
RPQNMLKMNHLGFAG97DA,五結段,27.91,都市：其他:住宅區,10000,224,持分移轉,10280000
RPROMLPLNHLGFAG58DA,維揚段,36.93,都市：其他:住宅區,100000,4299,持分移轉,07220000
RPPOMLTLNHLGFAG78DA,義德段,91.11,都市：其他:住宅區,1,1,全筆移轉,10600000
RPQOMLLLNHLGFBG18DA,武營段,24.77,都市：其他:住宅區,10000,52,持分移轉,08470000
RPQNMLSLNHLGFAG68DA,補城一段,1000.11,非都市：特定農業區 ; 非都市編定：農牧用地,10000,3857,持分移轉,03010001
RPSQMLQLNHLGFAG98DA,興東段,3.51,都市：其他:住宅區,10000,57,持分移轉,13930000
RPSQMLQLNHLGFAG98DA,興東段,.06,都市：其他:商業區,10000,57,持分移轉,13930001
RPSQMLQLNHLGFAG98DA,興東段,1.99,都市：其他:商業區,10000,34,持分移轉,14170000
RPUNMLKLNHLGFBG38DA,頂埔段,59.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,2,持分移轉,05970000
RPUOMLPKNHLGFBG88DA,朝陽段,30.09,非都市：一般農業區 ; 非都市編定：甲種建築用地,500000,5941,持分移轉,00300000
RPUOMLPKNHLGFBG88DA,朝陽段,2.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,500000,5941,持分移轉,00300026
RPUOMLQLNHLGFBG09DA,玉石段,5.79,都市：其他:健康休閒專用區五,10000,53,持分移轉,08260000
RPQNMLSLNHLGFBG88EA,和睦段,165.47,都市：其他:住宅區,1,1,全筆移轉,02520000
RPPNMLNJOHLGFBG18EA,新梗枋段,1002.08,非都市：山坡地保育區 ; 非都市編定：林業用地,3327,1001,持分移轉,08270000
RPSNMLRLNHLGFAG78DA,新群一段,87.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05290000
RPSNMLRLNHLGFAG78DA,新群一段,14.05,非都市：特定農業區 ; 非都市編定：甲種建築用地,32,1,持分移轉,05410000
RPSNMLRLNHLGFAG78DA,新群一段,.05,非都市：特定農業區 ; 非都市編定：甲種建築用地,32,1,持分移轉,05580000
RPSNMLRLNHLGFAG78DA,新群一段,.78,非都市：特定農業區 ; 非都市編定：甲種建築用地,32,1,持分移轉,05590000
RPRVMLOJOHLGFAG09DA,鹿埔新段,85.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07930000
RPSVMLOJOHLGFAG56DA,公正段,133.00,都市：其他:住宅區,1,1,全筆移轉,08450001
RPQOMLKLNHLGFBG08DA,外員段,11.67,都市：其他:住宅區,10000,99,持分移轉,03690000
RPQOMLKLNHLGFBG08DA,外員段,9.23,都市：其他:住宅區,10000,148,持分移轉,03750001
RPROMLNKNHLGFBG38DA,延平郡王段,78.25,都市：其他:農業區,1,1,全筆移轉,08730000
RPROMLNKNHLGFBG38DA,延平郡王段,5.45,都市：其他:農業區,130,5,持分移轉,08800000
RPROMLNKNHLGFBG38DA,延平郡王段,3.01,都市：其他:農業區,130,5,持分移轉,08810000
RPROMLNKNHLGFBG38DA,延平郡王段,29.17,都市：其他:農業區,5980,290,持分移轉,08920000
