編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLSKNHLGFBG68DA,坡道平面,1350000,29.18,地下一樓
RPOOMLTLNHLGFAG68DA,一樓平面,0,,一樓
RPROMLPLNHLGFAG58DA,一樓平面,0,,一樓
RPUOMLPKNHLGFBG88DA,坡道平面,1150000,29.18,地下一樓
RPPOMLLJOHLGFBG97DA,一樓平面,650000,10.33,一樓
RPSOMLLJOHLGFBG28DA,一樓平面,0,,一樓
RPPPMLOJOHLGFBG38DA,坡道平面,0,,地下一樓
RPVPMLMJOHLGFBG78DA,坡道平面,600000,55.29,地下一樓
RPTSMLMJOHLGFBG88DA,坡道機械,0,,一樓
RPPNMLTLMHLGFAG68EA,一樓平面,600000,,一樓
RPQNMLMLMHLGFAG97DA,一樓平面,0,,一樓
RPQNMLLLMHLGFAG87DA,一樓平面,500000,32.06,一樓
RPXNMLRLMHLGFBG66DA,升降機械,0,,地下一樓
RPSNMLLKNHLGFAG08DA,一樓平面,0,,一樓
RPSNMLSKNHLGFBG88DA,坡道平面,0,,地下一樓
RPPNMLNLMHLGFBG08DA,坡道平面,0,52.96,地下二樓
RPPNMLMLNHLGFBG08DA,坡道平面,0,24.88,地下二樓
RPOOMLQJNHLGFBG28DA,坡道平面,0,,地下一樓
RPXNMLPKNHLGFBG09DA,一樓平面,0,,一樓
RPOOMLSKNHLGFAG48DA,坡道平面,0,,地下二樓
RPQNMLOKNHLGFBG28DA,一樓平面,0,,一樓
RPQOMLQJNHLGFBG48DA,坡道平面,0,,地下一樓
RPTOMLSKNHLGFAG98DA,坡道機械,0,,地下二樓
RPROMLQJNHLGFBG58DA,坡道平面,0,,地下一樓
RPQNMLPJNHLGFBG28DA,坡道平面,950000,,地下二樓
RPUNMLTLNHLGFBG66DA,坡道平面,0,,地下一樓
RPRNMLMLNHLGFAG18DA,坡道機械,0,,地下一樓
RPUPMLLJOHLGFBG58DA,一樓平面,0,,一樓
RPPNMLLJOHLGFBG87DA,一樓平面,600000,,一樓
RPSNMLLJOHLGFBG18DA,一樓平面,800000,,一樓
RPWNMLRLNHLGFBG66DA,坡道平面,1100000,33.62,二樓含以上
RPQOMLRLNHLGFBG78DA,坡道平面,1100000,33.62,二樓含以上
RPOOMLSJOHLGFBG58DA,升降平面,0,,地下二樓
RPWUMLOJOHLGFAG86DA,坡道平面,0,,地下一樓
RPTTMLOJOHLGFAG09DA,坡道平面,0,13.75,地下一樓
RPSNMLRKLHLGFBG58DA,坡道平面,800000,55.65,地下一樓
RPPNMLRLKHLGFAG18DA,升降機械,0,,地下一樓
RPQNMLNJLHLGFBG87DA,坡道平面,0,,一樓
RPUNMLMJLHLGFAG08DA,一樓平面,650000,8.25,一樓
RPVNMLRLMHLGFBG09DA,坡道平面,0,23.31,地下二樓
RPSNMLMJMHLGFBG08DA,坡道平面,0,42.93,地下一樓
RPSNMLMJMHLGFBG08DA,坡道平面,0,42.93,地下一樓
RPPPMLMJMHLGFAG87DA,一樓平面,0,,一樓
RPSNMLPLLHLGFAG38DA,坡道平面,0,,地下一樓
RPTNMLKKMHLGFBG08DA,坡道機械,0,,地下一樓
RPRNMLKKMHLGFAG77DA,坡道平面,0,15.33,地下一樓
RPVNMLOKMHLGFBG68DA,坡道機械,0,11.80,地下二樓
RPPNMLNKMHLGFBG97DA,坡道機械,0,11.80,地下二樓
RPXNMLNKLHLGFBG68DA,坡道平面,1150000,29.18,地下一樓
RPWOMLLMLHLGFAG58DA,一樓平面,0,,一樓
RPXNMLKKMHLGFAG38DA,一樓平面,0,,一樓
RPTNMLRKMHLGFBG78DA,坡道平面,0,,一樓
RPXNMLMJMHLGFAG48DA,一樓平面,500000,,一樓
RPSNMLQKMHLGFAG48DA,一樓平面,0,,一樓
RPQNMLSJMHLGFAG38DA,坡道平面,0,,地下一樓
RPXNMLOLMHLGFBG98DA,坡道平面,0,,地下一樓
RPRNMLKLMHLGFAG87DA,一樓平面,0,,一樓
RPQOMLLLMHLGFBG08DA,坡道平面,0,25.78,地下一樓
RPQOMLLLMHLGFBG08DA,坡道平面,0,25.78,地下一樓
RPPOMLLLMHLGFBG97DA,一樓平面,0,,一樓
RPUOMLOLMHLGFBG78DA,一樓平面,0,,一樓
RPUOMLRLMHLGFBG09DA,坡道平面,0,,地下一樓
RPQNMLPJNHLGFAG18DA,坡道平面,0,,地下二樓
RPQQMLPLLHLGFBG58DA,一樓平面,1200000,14.13,一樓
RPTNMLSLMHLGFBG98DA,坡道平面,0,,地下一樓
RPOPMLTKLHLGFAG48DA,一樓平面,0,,一樓
RPXNMLSLMHLGFBG76DA,坡道平面,0,,一樓
RPWNMLPKMHLGFBG88DA,坡道平面,1450000,23.84,地下二樓
RPQNMLSJNHLGFAG48DA,一樓平面,0,,一樓
RPXNMLOLLHLGFAG78DA,坡道平面,0,37.22,地下二樓
RPQOMLRJNHLGFBG58DA,一樓平面,700000,14.88,一樓
RPQNMLQJNHLGFAG28DA,一樓平面,900000,13.71,一樓
RPQPMLSLMHLGFAG78DA,一樓平面,0,,一樓
RPRNMLSJNHLGFAG58DA,一樓平面,0,,一樓
RPSOMLRJNHLGFBG78DA,一樓平面,0,,一樓
RPTNMLOKNHLGFAG48DA,一樓平面,0,,一樓
RPRNMLNKNHLGFAG18DA,坡道平面,0,,一樓
RPTNMLRLLHLGFBG78DA,坡道平面,0,28.81,地下一樓
RPRNMLKMMHLGFAG97DA,一樓平面,1000000,24.66,一樓
RPUOMLSKNHLGFAG09DA,一樓平面,0,16.50,一樓
RPVNMLTLMHLGFBG66DA,升降平面,1300000,24.73,地下一樓
RPPNMLLLNHLGFBG08EA,坡道平面,1600000,36.53,地下一樓
RPQOMLRLLHLGFAG48DA,坡道平面,0,,地下二樓
RPPNMLPLNHLGFAG38EA,一樓平面,0,,一樓
RPPPMLSLMHLGFAG68DA,坡道平面,1100000,13.75,地下一樓
RPRNMLMJOHLGFAG08DA,坡道平面,850000,31.44,一樓
RPQPMLKKLHLGFAG77DA,坡道平面,0,21.19,地下一樓
RPPOMLKKLHLGFAG57DA,坡道平面,0,,地下二樓
RPSOMLMKLHLGFBG18DA,一樓平面,600000,,一樓
RPVNMLOLLHLGFAG58DA,升降平面,0,,地下一樓
RPPOMLLKLHLGFBG77DA,坡道平面,1150000,29.18,地下一樓
RPUOMLTKLHLGFAG98DA,一樓平面,0,,一樓
RPTNMLLJMHLGFAG97DA,一樓平面,0,,一樓
RPVOMLLMLHLGFBG58DA,坡道平面,0,24.88,地下二樓
RPXNMLSJMHLGFBG56DA,坡道機械,0,,地下一樓
RPTOMLKKMHLGFBG18DA,一樓平面,0,13.76,一樓
RPWOMLPLKHLGFAG78DA,一樓平面,500000,,一樓
RPPNMLMJLHLGFBG67DA,一樓平面,0,,一樓
RPROMLKMMHLGFBG18DA,一樓平面,0,,一樓
RPRNMLKLLHLGFAG77DA,一樓平面,750000,13.75,一樓
RPXNMLSJMHLGFAG09DA,坡道平面,0,,地下一樓
RPPNMLPKNHLGFAG18DA,升降機械,0,,地下四樓
RPTOMLRJNHLGFBG88DA,一樓平面,700000,14.88,一樓
RPXOMLPLKHLGFAG88DA,一樓平面,500000,,一樓
RPOOMLTKLHLGFBG48DA,坡道平面,0,13.84,地下一樓
RPVNMLPKNHLGFAG78DA,坡道平面,600000,28.56,地下二樓
RPPOMLLKKHLGFBG67DA,坡道平面,1150000,26.83,地下一樓
RPROMLLKKHLGFBG87DA,坡道平面,1350000,29.18,地下一樓
RPTPMLNKLHLGFAG38DA,坡道平面,0,35.52,地下一樓
RPOOMLPJLHLGFBG97DA,坡道平面,0,23.31,地下一樓
RPROMLMKLHLGFBG08DA,坡道平面,1800000,33.69,地下一樓
RPQNMLQLKHLGFAG18DA,一樓平面,0,,一樓
RPPNMLRKLHLGFBG38EA,一樓平面,0,,一樓
RPSNMLKKLHLGFBG87DA,一樓平面,0,,一樓
RPSOMLNLKHLGFBG28DA,坡道平面,1300000,29.18,地下一樓
RPRNMLLKLHLGFBG87DA,一樓平面,0,16.83,一樓
RPRNMLLKLHLGFBG87DA,一樓平面,0,16.83,一樓
RPSNMLOJKHLGFAG97DA,坡道平面,0,,一樓
RPTNMLKLLHLGFAG97DA,一樓平面,0,,一樓
RPVPMLQKLHLGFBG98DA,一樓平面,0,13.68,一樓
RPPNMLOLLHLGFAG08EA,一樓平面,0,,一樓
RPPNMLRJLHLGFAG08DA,坡道平面,0,,一樓
RPQNMLTJLHLGFBG48DA,坡道平面,0,,地下一樓
RPQNMLTKLHLGFAG48DA,一樓平面,0,,一樓
RPSOMLTKLHLGFAG78DA,一樓平面,0,,一樓
RPTOMLMJMHLGFAG18DA,一樓平面,0,,一樓
RPSNMLLJMHLGFAG87DA,一樓平面,0,,一樓
RPWOMLNKLHLGFAG58DA,一樓平面,1000000,24.66,一樓
RPPOMLKLJHLGFAG47DA,一樓平面,0,,一樓
RPUPMLNKJHLGFBG38DA,坡道平面,0,,地下一樓
RPVOMLPJJHLGFAG38DA,坡道機械,0,,地下一樓
RPXOMLTKJHLGFAG09DA,一樓平面,500000,,一樓
RPXNMLTLMHLGFAG76DA,坡道平面,700000,28.56,地下二樓
RPOOMLQKLHLGFBG18DA,一樓平面,0,13.68,一樓
RPWNMLLLMHLGFBG58DA,坡道平面,1200000,24.88,地下二樓
RPWNMLKKLHLGFAG18DA,一樓平面,0,,一樓
RPUNMLKLLHLGFBG18DA,一樓平面,650000,10.33,一樓
RPSNMLOJMHLGFBG28DA,坡道平面,1350000,26.71,地下一樓
RPXNMLPJMHLGFBG88DA,坡道平面,1350000,26.71,地下一樓
RPTNMLRKLHLGFAG58DA,坡道平面,2250000,34.20,地下一樓
RPUNMLRKLHLGFAG68DA,坡道平面,1800000,31.43,地下三樓
RPSNMLPKJHLGFAG08DA,一樓平面,500000,,一樓
RPRNMLPJKHLGFAG97DA,一樓平面,0,,一樓
RPRNMLLJOHLGFBG08DA,一樓平面,650000,,一樓
RPOQMLOKNHLGFBG38DA,一樓平面,0,,一樓
RPRPMLKKLHLGFAG87DA,一樓平面,850000,21.19,一樓
RPQNMLLJOHLGFBG97DA,一樓平面,700000,,一樓
RPVPMLTJNHLGFAG66DA,一樓平面,0,,一樓
RPPNMLKLLHLGFBG77EA,坡道平面,0,,地下一樓
RPVOMLTJLHLGFAG98DA,坡道平面,850000,21.19,地下一樓
RPQOMLOJOHLGFBG38DA,坡道平面,1300000,26.71,地下二樓
RPWNMLNKJHLGFAG28DA,一樓平面,500000,,一樓
RPUNMLNKJHLGFAG08DA,一樓平面,500000,,一樓
RPOOMLSLNHLGFBG68DA,一樓平面,650000,,一樓
RPSNMLLKMHLGFAG97DA,坡道平面,850000,21.19,地下一樓
RPROMLKKLHLGFAG77DA,坡道平面,900000,21.19,地下一樓
RPQOMLTJMHLGFBG68DA,一樓平面,600000,19.70,一樓
RPPPMLKKMHLGFBG87DA,一樓平面,800000,25.70,一樓
RPSNMLTJMHLGFBG78DA,一樓平面,800000,19.70,一樓
RPTOMLTJMHLGFBG98DA,一樓平面,600000,18.45,一樓
RPPQMLLJMHLGFBG97DA,坡道平面,1200000,26.71,地下一樓
RPRNMLOJMHLGFBG18DA,坡道平面,1300000,26.71,地下一樓
RPPNMLPJMHLGFBG08DA,坡道平面,1350000,26.71,地下二樓
RPQNMLPJMHLGFBG18DA,坡道平面,1300000,26.71,地下二樓
RPRTMLKLMHLGFBG58DA,坡道平面,1500000,27.61,地下一樓
RPWOMLRLNHLGFBG76DA,坡道平面,1050000,33.62,二樓含以上
RPSPMLTJMHLGFBG98DA,坡道平面,1300000,26.71,地下二樓
RPXOMLRLNHLGFBG86DA,坡道平面,1150000,33.62,地下一樓
RPXOMLKKLHLGFAG38DA,坡道平面,900000,21.19,地下一樓
RPQOMLLLNHLGFAG08DA,坡道平面,1700000,31.43,地下三樓
RPTNMLOLLHLGFAG48EA,一樓平面,0,,一樓
RPVNMLLJOHLGFBG48DA,坡道平面,1350000,26.71,地下一樓
RPXNMLNLKHLGFBG68DA,一樓平面,700000,13.75,一樓
RPRPMLTJMHLGFBG88DA,坡道平面,1300000,26.71,地下二樓
RPUOMLKKLHLGFAG08DA,坡道平面,850000,21.19,地下一樓
RPPOMLSJMHLGFBG48DA,坡道平面,1250000,25.78,地下一樓
RPROMLTJMHLGFBG78DA,一樓平面,600000,18.45,一樓
RPPPMLKKLHLGFAG67DA,坡道平面,900000,21.19,地下一樓
RPUNMLOLLHLGFAG58EA,一樓平面,0,,一樓
RPUOMLNKMHLGFAG48DA,一樓平面,800000,21.19,一樓
RPUOMLNKMHLGFAG48DA,坡道平面,750000,21.19,地下一樓
RPQOMLLJKHLGFAG57DA,坡道平面,800000,21.19,地下一樓
RPPNMLOJMHLGFBG97DA,坡道平面,1150000,25.78,地下一樓
RPTOMLQJMHLGFBG68DA,一樓平面,1500000,26.71,一樓
RPQNMLOJMHLGFBG08DA,坡道平面,1250000,26.71,地下一樓
RPPQMLTJMHLGFBG78DA,坡道平面,1150000,26.71,地下二樓
RPUOMLQJMHLGFBG78DA,坡道平面,1250000,26.71,地下一樓
RPUNMLTJMHLGFBG98DA,一樓平面,600000,18.45,一樓
RPOOMLSJMHLGFBG38DA,坡道平面,1150000,26.71,地下二樓
RPRNMLPJMHLGFBG28DA,坡道平面,1150000,25.78,地下一樓
RPVOMLRJMHLGFBG98DA,坡道平面,1250000,25.78,地下一樓
RPROMLPJMHLGFBG38DA,坡道平面,1200000,26.71,地下一樓
RPQNMLOLLHLGFAG18EA,一樓平面,0,,一樓
RPWNMLQJMHLGFBG88DA,坡道平面,1200000,26.71,地下二樓
RPSNMLOLLHLGFAG38EA,一樓平面,0,,一樓
RPRNMLOLLHLGFAG28EA,一樓平面,0,,一樓
RPTOMLKKLHLGFAG97DA,坡道平面,900000,21.19,地下一樓
RPPOMLLLMHLGFBG08EA,坡道平面,1200000,26.71,地下二樓
RPUNMLKKMHLGFAG08DA,一樓平面,0,17.94,一樓
RPQNMLTJMHLGFBG58DA,一樓平面,600000,18.45,一樓
RPSOMLQJMHLGFBG58DA,坡道平面,1300000,26.71,地下一樓
RPVOMLQJMHLGFBG88DA,坡道平面,1250000,26.71,地下一樓
RPVOMLNKNHLGFAG68DA,一樓平面,0,,一樓
RPXOMLQKLHLGFBG09DA,一樓平面,0,13.68,一樓
RPUOMLNKNHLGFAG58DA,一樓平面,0,,一樓
RPTOMLNKNHLGFAG48DA,一樓平面,0,,一樓
RPROMLLMNHLGFAG28DA,坡道平面,800000,28.56,地下一樓
RPSNMLOKNHLGFAG38DA,一樓平面,0,,一樓
RPXNMLKLNHLGFAG58DA,一樓平面,0,,一樓
RPVOMLRLNHLGFBG66DA,坡道平面,1150000,33.62,地下一樓
RPVRMLMJOHLGFBG98DA,坡道平面,1550000,27.61,地下一樓
RPVRMLMJOHLGFBG98DA,坡道平面,1550000,27.61,地下一樓
