鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉美和路一段,128.2,,特定農業區,農牧用地,1150211,土地2建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.77,2,2,1,有,無,6680000,77883,,0.0,0,交易總價包含宜蘭縣冬山鄉太山段449-1地號之農地持分交易價格30萬元整,RPPNMLLKKHLGFAG57DB,掬月6,D棟2F-D號,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮新忠路,96.11,住,,,1150212,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,113.1,3,2,3,有,無,10900000,96375,,0.0,0,,RPPNMLPKKHLGFBG08DB,遇上荷蘭,B棟6號,
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉山前路50巷,39.42,,特定農業區,甲種建築用地,1150223,土地2建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.48,2,2,2,有,無,6430000,74352,一樓平面,19.43,0,,RPPNMLOLKHLGFBG97CB,鳳凰愛買16期,A3棟4F號,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉福丸段156地號,90.83,,鄉村區,乙種建築用地,1150214,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,149.06,4,2,5,有,無,11880000,79699,一樓平面,0.0,0,,RPQNMLPLKHLGFAG08CB,久誼久陞Ⅲ富境,A3棟,
員山鄉,房地(土地+建物),宜蘭縣員山鄉惠深二路一段66巷,104.87,,鄉村區,乙種建築用地,1150213,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,161.68,4,2,4,有,無,13500000,83498,,0.0,0,,RPPNMLPLKHLGFBG18DB,文風翠庭第21期,A2棟0號,
五結鄉,房地(土地+建物),宜蘭縣五結鄉孝威路348巷,23.37,,鄉村區,乙種建築用地,1150225,土地2建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,61.51,1,2,1,有,無,4480000,72834,,0.0,0,,RPPNMLRLKHLGFAG18CB,輕時尚3,B棟3-2F號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市文化路,64.61,住,,,1150213,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,189.18,4,2,2,有,無,24000000,126863,一樓平面,25.09,0,,RPQNMLMJLHLGFBG77CB,文化苑,A棟3號,1150320全部解約
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市聖後街66巷,26.68,住,,,1150301,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.32,2,2,2,有,無,12350000,143576,一樓平面,13.84,1800000,,RPPNMLNJLHLGFBG77CB,麗璟.東門風華2,1棟5C號,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉二結路,51.0,住,,,1150303,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.38,3,2,2,有,無,10600000,88221,一樓平面,19.83,1200000,,RPQNMLOJLHLGFAG87CB,夢想家園第五期,5F-A2號,
三星鄉,房地(土地+建物)+車位,宜蘭縣三星鄉大洲二路,36.64,,特定農業區,甲種建築用地,1150215,土地3建物1車位1,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.47,2,2,2,有,無,7110000,77861,一樓平面,17.07,850000,大洲二段934、935、936地號等三筆土地於114年合併，合併後又進行分割。,RPRNMLOJLHLGFAG97CB,青豐,C棟C2-4F號,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮下埔路,92.28,,鄉村區,乙種建築用地,1150226,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,136.29,4,2,3,有,無,10380000,76161,,0.0,0,,RPRNMLOJLHLGFBG08CB,享享生活,A棟12號,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉珍珠三路,29.53,,特定農業區,甲種建築用地,1150305,土地1建物1車位1,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.0,2,2,2,有,無,6150000,80921,一樓平面,0.0,0,車位位於法定空地上面積13.75平方公尺,RPPNMLQJLHLGFAG97CB,博愛日日春,A棟1號,
三星鄉,房地(土地+建物),宜蘭縣三星鄉大洲二路,38.3,,特定農業區,甲種建築用地,1150228,土地3建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.6,2,2,2,有,無,6550000,76519,,0.0,0,大洲二段934、935、936地號等三筆土地於114年合併，合併後又進行分割。,RPPNMLRJLHLGFAG08CB,青豐,C棟C1-2F號,
三星鄉,房地(土地+建物)+車位,宜蘭縣三星鄉大洲二路,37.58,,特定農業區,甲種建築用地,1150225,土地3建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.33,2,2,2,有,無,7200000,76267,一樓平面,17.07,850000,大洲二段934、935、936地號等三筆土地於114年合併，合併後又進行分割。,RPRNMLRJLHLGFAG28CB,青豐,C棟C2-2F號,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉珍珠三路,33.04,,特定農業區,甲種建築用地,1150308,土地1建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.06,2,2,2,有,無,6160000,72419,,0.0,0,,RPPNMLTJLHLGFAG28CB,博愛日日春,A棟3a號,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉光明路,191.48,農,,,1150308,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,156.59,3,2,2,有,無,16180000,103327,,0.0,0,交易總價含義成二段301地號持分1/11新台幣參拾柒萬元整及義成二段299-4地號持分1/1新台幣肆拾壹萬元整,RPQNMLTJLHLGFAG38CB,旭川3,A棟2號,
