編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKKHLGFAG57DB,太山段,39.02,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,5402,持分移轉,04510000
RPPNMLLKKHLGFAG57DB,太山段,89.18,非都市：特定農業區 ; 非都市編定：農牧用地,17,1,持分移轉,04490001
RPQNMLPLKHLGFAG08CB,福丸段,90.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01560000
RPPNMLQJLHLGFAG97CB,珍珠一段,29.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2179,持分移轉,04770000
RPRNMLRJLHLGFAG28CB,大洲二段,25.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,250,持分移轉,09340000
RPRNMLRJLHLGFAG28CB,大洲二段,9.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,53,1,持分移轉,09340001
RPRNMLRJLHLGFAG28CB,大洲二段,2.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,53,1,持分移轉,09340018
RPQNMLTJLHLGFAG38CB,義成二段,61.42,都市：農,1,1,全筆移轉,03000021
RPQNMLTJLHLGFAG38CB,義成二段,28.66,都市：農,1,1,全筆移轉,03000014
RPQNMLTJLHLGFAG38CB,義成二段,58.64,都市：農,11,1,持分移轉,03010000
RPQNMLTJLHLGFAG38CB,義成二段,42.76,都市：農,1,1,全筆移轉,02990004
RPQNMLOJLHLGFAG87CB,鎮安段,51.00,都市：住,100000,6331,持分移轉,09760000
RPPNMLRLKHLGFAG18CB,孝威二段,4.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1718,持分移轉,03850000
RPPNMLRLKHLGFAG18CB,孝威二段,18.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1718,持分移轉,03860000
RPPNMLTJLHLGFAG28CB,珍珠一段,33.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2438,持分移轉,04770000
RPRNMLOJLHLGFAG97CB,大洲二段,24.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,241,持分移轉,09340000
RPRNMLOJLHLGFAG97CB,大洲二段,9.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,53,1,持分移轉,09340001
RPRNMLOJLHLGFAG97CB,大洲二段,2.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,53,1,持分移轉,09340018
RPPNMLRJLHLGFAG08CB,大洲二段,26.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,257,持分移轉,09340000
RPPNMLRJLHLGFAG08CB,大洲二段,9.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,53,1,持分移轉,09340001
RPPNMLRJLHLGFAG08CB,大洲二段,2.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,53,1,持分移轉,09340018
RPUNMLTJLHLGFBG88CB,壯志段,55.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200176
RPUNMLTJLHLGFBG88CB,壯志段,23.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200177
RPUNMLTJLHLGFBG88CB,壯志段,5.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,49,1,持分移轉,00200144
RPPNMLTJLHLGFBG38CB,過港段,7.91,都市：住,100000,630,持分移轉,12680000
RPPNMLTJLHLGFBG38CB,過港段,1.58,都市：住,100000,630,持分移轉,12680001
RPPNMLTJLHLGFBG38CB,過港段,1.58,都市：住,100000,630,持分移轉,12680002
RPPNMLTJLHLGFBG38CB,過港段,2.37,都市：住,100000,630,持分移轉,12680003
RPPNMLTJLHLGFBG38CB,過港段,2.37,都市：住,100000,630,持分移轉,12680004
RPWNMLTJLHLGFBG09CB,壯志段,54.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200175
RPWNMLTJLHLGFBG09CB,壯志段,15.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200174
RPWNMLTJLHLGFBG09CB,壯志段,5.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,49,1,持分移轉,00200144
RPPNMLOLKHLGFBG97CB,慶安段,35.74,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,281,持分移轉,06070000
RPPNMLOLKHLGFBG97CB,慶安段,3.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,281,持分移轉,06070001
RPVNMLTJLHLGFBG98CB,壯志段,80.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200083
RPVNMLTJLHLGFBG98CB,壯志段,8.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00200084
