編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPLKHLGFAG08CB,一樓平面,0,,一樓
RPPNMLQJLHLGFAG97CB,一樓平面,0,,一樓
RPRNMLRJLHLGFAG28CB,一樓平面,850000,17.07,一樓
RPQNMLOJLHLGFAG87CB,一樓平面,1200000,19.83,一樓
RPRNMLOJLHLGFAG97CB,一樓平面,850000,17.07,一樓
RPPNMLOLKHLGFBG97CB,一樓平面,0,19.43,一樓
RPPNMLNJLHLGFBG77CB,一樓平面,1800000,13.84,一樓
RPQNMLMJLHLGFBG77CB,一樓平面,0,25.09,一樓
RPPNMLKKLHLGFAG47CB,一樓平面,700000,14.71,一樓
RPWNMLKKLHLGFBG28CB,一樓平面,650000,25.37,一樓
RPPNMLKKLHLGFAG57DB,坡道平面,1950000,27.27,地下一樓
RPPOMLKKLHLGFBG67CB,一樓平面,1000000,13.75,一樓
RPQOMLKKLHLGFBG77CB,一樓平面,1000000,13.75,一樓
RPPNMLLKLHLGFAG57CB,一樓平面,1100000,19.83,一樓
RPQNMLQKLHLGFAG18CB,一樓平面,980000,14.90,一樓
RPPNMLQKLHLGFBG18CB,坡道平面,1500000,17.22,地下一樓
RPPNMLQKLHLGFAG08CB,坡道平面,1100000,32.63,地下一樓
RPPNMLKLLHLGFAG57CB,一樓平面,1100000,19.83,一樓
RPUNMLTKLHLGFAG88CB,一樓平面,750000,17.07,一樓
RPVNMLTKLHLGFAG98CB,一樓平面,850000,17.07,一樓
RPRNMLTKLHLGFAG58CB,一樓平面,850000,17.07,一樓
RPQNMLTKLHLGFAG48CB,一樓平面,800000,23.06,一樓
RPPNMLMLLHLGFAG77CB,一樓平面,850000,17.07,一樓
RPQNMLKLLHLGFAG67CB,一樓平面,1100000,19.83,一樓
RPQNMLMLLHLGFAG87CB,坡道平面,1000000,27.98,地下二樓
RPRNMLLLLHLGFBG97CB,坡道平面,1650000,33.95,地下三樓
RPQNMLLLLHLGFBG87CB,坡道平面,1550000,33.95,地下三樓
RPRNMLMLLHLGFAG97CB,坡道平面,1100000,27.98,地下一樓
RPQNMLNLLHLGFBG08CB,一樓平面,0,17.39,一樓
RPPNMLNLLHLGFAG87CB,一樓平面,1280000,35.70,一樓
RPSNMLNLLHLGFBG28CB,一樓平面,0,25.09,一樓
RPTNMLNLLHLGFBG38CB,坡道平面,1500000,17.22,地下一樓
RPTNMLNLLHLGFBG38CB,坡道平面,1500000,17.22,地下一樓
RPQNMLOLLHLGFAG08CB,一樓平面,0,,一樓
RPPNMLQLLHLGFAG18CB,一樓平面,0,18.27,一樓
RPPNMLPLLHLGFAG08CB,坡道平面,1700000,36.76,地下二樓
RPRNMLOLLHLGFAG18CB,一樓平面,0,,一樓
RPPNMLQLLHLGFBG28CB,一樓平面,0,,一樓
RPPNMLTLLHLGFAG48CB,一樓平面,850000,17.07,一樓
RPQNMLRLLHLGFAG38CB,一樓平面,850000,31.43,一樓
RPPNMLKMLHLGFAG67CB,一樓平面,880000,11.57,一樓
RPRNMLKMLHLGFAG87CB,一樓平面,300000,13.75,一樓
RPQNMLKMLHLGFAG77CB,坡道平面,1050000,28.10,地下一樓
RPPNMLLJMHLGFBG67CB,一樓平面,0,,一樓
RPPNMLLJMHLGFBG67CB,一樓平面,0,,一樓
RPUNMLTLLHLGFAG98CB,一樓平面,850000,17.07,一樓
RPPNMLMJMHLGFAG67CB,一樓平面,580000,,一樓
RPPNMLQJMHLGFBG18CB,坡道平面,1700000,31.25,地下一樓
RPXNMLRJMHLGFBG09CB,一樓平面,800000,26.16,一樓
RPSNMLSJMHLGFAG68DB,一樓平面,900000,13.28,一樓
RPQNMLSJMHLGFAG38CB,一樓平面,700000,14.71,一樓
RPSNMLTJMHLGFAG78DB,一樓平面,930000,13.28,一樓
RPRNMLSJMHLGFAG58DB,一樓平面,950000,13.28,一樓
RPQNMLSJMHLGFAG48DB,一樓平面,1080000,13.28,一樓
RPUNMLTJMHLGFAG98DB,一樓平面,930000,13.28,一樓
RPTNMLTJMHLGFAG88DB,一樓平面,880000,13.28,一樓
RPPNMLKKMHLGFAG57CB,一樓平面,800000,13.75,一樓
RPPNMLNKMHLGFAG97DB,一樓平面,750000,13.23,一樓
RPQNMLNKMHLGFAG08DB,坡道平面,1950000,27.27,地下一樓
RPPNMLOKMHLGFAG97CB,一樓平面,880000,11.57,一樓
RPRNMLPKMHLGFAG28CB,坡道平面,1200000,23.50,地下一樓
RPPNMLPKMHLGFAG08CB,坡道平面,0,,地下一樓
RPPNMLMKMHLGFBG87CB,坡道平面,1650000,33.95,地下三樓
RPVNMLPKMHLGFAG68CB,坡道平面,1000000,32.63,地下二樓
RPVNMLNKMHLGFAG48CB,其他,600000,12.92,一樓
RPVNMLRKMHLGFAG88CB,坡道平面,1300000,36.37,地下二樓
RPQNMLQKMHLGFAG28CB,坡道平面,1300000,36.37,地下二樓
RPPNMLRKMHLGFAG38DB,坡道平面,1200000,26.48,地下一樓
RPQNMLRKMHLGFAG48DB,坡道平面,1200000,26.48,地下一樓
RPTNMLRKMHLGFAG78DB,坡道平面,1200000,26.48,地下一樓
RPUNMLRKMHLGFAG88DB,坡道平面,1150000,26.48,地下一樓
RPRNMLRKMHLGFAG58DB,坡道平面,1200000,26.48,地下一樓
RPSNMLRKMHLGFAG68DB,坡道平面,1000000,24.35,地下一樓
RPVNMLRKMHLGFAG98DB,坡道平面,1250000,26.48,地下一樓
RPVNMLKLMHLGFAG28CB,一樓平面,0,,一樓
RPXNMLKLMHLGFAG48CB,一樓平面,1300000,18.00,一樓
RPOOMLKLMHLGFAG67CB,一樓平面,1300000,18.00,一樓
RPQNMLLLMHLGFAG87CB,一樓平面,980000,14.90,一樓
RPRNMLMLMHLGFAG08CB,一樓平面,800000,23.14,一樓
RPPNMLLLMHLGFAG77CB,一樓平面,980000,14.90,一樓
RPPNMLMLMHLGFBG97CB,一樓平面,1150000,35.26,一樓
RPVNMLNLMHLGFAG58CB,一樓平面,850000,17.07,一樓
RPPNMLMLMHLGFBG08DB,一樓平面,0,,一樓
RPPNMLRLMHLGFAG48DB,一樓平面,1030000,13.28,一樓
RPWNMLNLMHLGFAG68CB,一樓平面,1500000,25.04,一樓
RPPNMLRLMHLGFAG38CB,一樓平面,1300000,18.00,一樓
RPSNMLNLMHLGFBG38CB,坡道平面,1600000,23.72,地下一樓
RPQNMLRLMHLGFAG58DB,一樓平面,950000,13.28,一樓
RPPNMLNLMHLGFBG08CB,坡道平面,1500000,17.22,地下一樓
RPQNMLTLMHLGFAG68CB,一樓平面,850000,17.07,一樓
RPPNMLKMMHLGFAG77CB,坡道平面,1250000,23.50,地下一樓
RPRNMLPJNHLGFAG28CB,一樓平面,1100000,19.83,一樓
RPQNMLOJNHLGFBG18CB,一樓平面,0,18.18,一樓
RPPNMLOJNHLGFBG08CB,一樓平面,0,18.18,一樓
RPPNMLPJNHLGFAG08CB,一樓平面,0,,一樓
RPPNMLQJNHLGFBG28CB,坡道平面,1450000,25.46,地下二樓
RPQNMLPJNHLGFAG18CB,坡道平面,1200000,31.54,地下一樓
RPRNMLOJNHLGFBG28CB,一樓平面,0,18.18,一樓
RPSNMLOJNHLGFBG38CB,一樓平面,0,18.18,一樓
RPSNMLSJNHLGFBG78CB,一樓平面,0,18.18,一樓
RPRNMLSJNHLGFBG68CB,一樓平面,0,18.18,一樓
RPTNMLSJNHLGFBG88CB,一樓平面,0,18.18,一樓
RPPNMLRKNHLGFBG48CB,一樓平面,1000000,13.75,一樓
RPQNMLKKNHLGFBG87CB,坡道平面,1650000,33.95,地下三樓
RPPNMLPKNHLGFBG28CB,其他,0,,一樓
RPPNMLNKNHLGFBG08CB,一樓平面,0,18.18,一樓
RPPNMLKKNHLGFBG77CB,坡道平面,1750000,33.95,地下二樓
RPRNMLPKNHLGFBG48CB,一樓平面,0,,一樓
RPPNMLLKNHLGFAG77CB,一樓平面,700000,14.71,一樓
RPUNMLTKNHLGFBG56CB,一樓平面,0,18.18,一樓
RPQNMLTKNHLGFBG78CB,其他,0,,一樓
RPPNMLPLNHLGFAG28CB,一樓平面,900000,15.00,一樓
RPTNMLTKNHLGFBG09CB,一樓平面,0,,一樓
RPPNMLNLNHLGFBG18CB,坡道平面,1600000,31.25,地下二樓
RPQNMLMLNHLGFBG18CB,其他,0,,一樓
RPQNMLNLNHLGFBG28CB,坡道平面,1650000,33.95,地下三樓
RPPNMLQLNHLGFBG48CB,坡道平面,1100000,22.65,地下一樓
RPPNMLLMNHLGFAG97CB,坡道平面,1100000,27.98,地下一樓
RPQNMLMJOHLGFBG08CB,一樓平面,0,18.18,一樓
