編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXNMLNLKHLGFBG78CC,2,76.85,集合住宅,鋼筋混凝土造,113年5月16日,四層,,
RPPNMLSKKHLGFBG38CC,46,87.76,住家用,鋼筋混凝土加強磚造,68年10月17日,二層,,
RPXNMLNLKHLGFBG78CC,2,43.51,本共有部分之項目有：梯廳、無障礙電梯、安全梯、弱電機械室、機械室、樓梯間、停車空間及走廊等８項,鋼筋混凝土造,113年5月16日,四層,,
RPSNMLNLKHLGFBG28CC,21,158.33,農舍,鋼筋混凝土造,94年2月4日,一層,,
RPWNMLNLKHLGFBG68CC,45,11.64,住家用,鋼筋混凝土造,70年7月17日,五層,,
RPUNMLNKKHLGFBG38CC,27,13.90,住商用,鋼筋混凝土造,87年9月21日,三層,,
RPOOMLNLKHLGFBG97CC,7,26.00,騎樓、住宅、梯間,鋼筋混凝土造,107年11月7日,三層,,
RPPOMLNLKHLGFBG08CC,43,88.20,住家用,鋼筋混凝土造,72年5月11日,五層,,
RPPOMLNLKHLGFBG08CC,43,5.76,共有部份,鋼筋混凝土造,72年5月11日,五層,,
RPQNMLOLKHLGFBG18CC,2,39.11,集合住宅,鋼筋混凝土造,113年5月27日,四層,,
RPQNMLOLKHLGFBG18CC,2,16.31,本共有部分之項目有：停車空間、樓梯間等２項。,鋼筋混凝土造,113年5月27日,四層,,
RPTOMLNLKHLGFBG48CC,10,69.74,店舖、辦公室、住宅、樓梯間,鋼筋混凝土造,104年12月25日,四層,,
RPQNMLPLKHLGFBG28CC,30,61.51,住家用,鋼筋混凝土造,85年6月5日,六層,,
RPQNMLPLKHLGFBG28CC,30,11.66,共有部份,鋼筋混凝土造,85年6月5日,六層,,
RPQNMLPLKHLGFBG28CC,30,11.53,共有部份,鋼筋混凝土造,85年6月5日,六層,,
RPRNMLQLKHLGFBG48CC,,25.85,住家用,鋼筋混凝土加強磚造及鋼筋混凝土造,,三層,,
RPQNMLQLKHLGFBG38CC,43,62.69,住家用,鋼筋混凝土造,71年10月26日,五層,,
RPQNMLQLKHLGFBG38CC,43,7.12,共有部份,鋼筋混凝土造,71年10月26日,五層,,
RPTNMLQLKHLGFBG68CC,32,100.86,國民住宅﹒住家,鋼筋混凝土造,83年3月19日,五層,,
RPTNMLQLKHLGFBG68CC,32,7.69,共有部份,鋼筋混凝土造,83年3月19日,五層,,
RPSNMLQLKHLGFBG58CC,43,109.96,住家用,鋼筋混凝土加強磚造,71年8月30日,二層,,
RPPNMLMJLHLGFBG77CC,44,56.63,住家用,鋼筋混凝土造,71年8月4日,五層,,
RPPNMLMJLHLGFBG77CC,44,2.76,共有部份,鋼筋混凝土造,71年8月4日,五層,,
RPPNMLOJLHLGFBG97CC,32,41.15,住家用,鋼筋混凝土造,83年8月6日,七層,,
RPPNMLOJLHLGFBG97CC,32,15.93,共有部份,鋼筋混凝土造,83年8月6日,七層,,
RPRNMLOJLHLGFBG18CC,4,67.25,集合住宅,鋼筋混凝土造,111年5月30日,四層,,
RPRNMLOJLHLGFBG18CC,4,14.37,本共有部分之項目有：樓梯間、停車空間等２項,鋼筋混凝土造,111年5月30日,四層,,
RPSNMLOJLHLGFBG28CC,2,144.96,住家用,鋼筋混凝土造,112年11月13日,三層,,
RPPNMLOJLHLGFAG87CC,4,55.15,集合住宅,鋼筋混凝土造,111年8月17日,五層,,
RPSNMLOJLHLGFAG18CC,55,90.06,住家用,鋼筋混凝土加強磚造,59年12月3日,二層,,
RPUNMLPLKHLGFAG58CC,43,41.89,住家用,鋼筋混凝土造,72年7月19日,十一層,,
RPRNMLOJLHLGFAG08CC,52,93.46,住家用,鋼筋混凝土加強磚造,63年6月25日,三層,,
RPUNMLPLKHLGFAG58CC,43,13.30,電梯及走道,鋼筋混凝土造,72年7月19日,十一層,,
RPRNMLNLKHLGFAG08CC,29,110.34,住家用,鋼筋混凝土造,86年4月1日,十三層,,
RPUNMLPLKHLGFAG58CC,,2.94,電梯．走道及公共設施,鋼筋混凝土造,,十層,,
RPQNMLNLKHLGFAG97CC,44,103.20,住家用,鐵筋加強磚造,71年6月7日,二層,,
RPPNMLPJLHLGFAG97CC,45,34.28,住家用,鋼筋混凝土加強磚造,70年7月30日,二層,,
RPSNMLPLKHLGFAG38CC,31,69.87,住家用,鋼筋混凝土造,83年8月19日,七層,,
RPRNMLNLKHLGFAG08CC,29,5.18,梯間、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPSNMLPLKHLGFAG38CC,31,18.06,防空避難室、停車場、共同使用部份,鋼筋混凝土造,83年8月19日,七層,,
RPQNMLOJLHLGFAG97CC,29,85.17,住家用,鋼筋混凝土造,85年8月27日,二十四層,,
RPRNMLNLKHLGFAG08CC,29,13.69,梯間、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPSNMLPLKHLGFAG38CC,31,1.65,共有部份,鋼筋混凝土造,83年8月19日,七層,,
RPQNMLOJLHLGFAG97CC,29,11.85,梯間、共同使用部份,鋼筋混凝土造,85年8月27日,二十四層,,
RPRNMLNLKHLGFAG08CC,29,10.56,停車場、蓄水池、發電機室、電氣室、消防□浦室、車道、台電配電室、電信室、活動中心、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPQNMLOJLHLGFAG97CC,29,11.19,台電受電室、社區休室、防空避難室、通道及一層有頂蓋型廣場式開放空間,鋼筋混凝土造,85年8月27日,二十四層,,
RPRNMLNLKHLGFAG08CC,29,10.34,防空避難室兼停車場通道、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPRNMLNLKHLGFAG08CC,29,13.22,停車場、共同使用部份,鋼筋混凝土造,86年4月1日,十三層,,
RPQNMLOLKHLGFAG08CC,32,66.94,住家用,鋼筋混凝土造,82年11月5日,六層,,
RPQNMLOLKHLGFAG08CC,32,10.70,梯間、通道、受電室、水箱,鋼筋混凝土造,82年11月5日,六層,,
RPPNMLOLKHLGFAG97CC,28,92.54,住家用,鋼筋混凝土造,86年8月15日,五層,,
RPPNMLOLKHLGFAG97CC,28,43.25,車道、停車場、梯間、共同使用部份,鋼筋混凝土造,86年8月15日,五層,,
RPPNMLOLKHLGFAG97CC,28,9.15,梯間、共同使用部份,鋼筋混凝土造,86年8月15日,五層,,
RPRNMLOLKHLGFAG18CC,31,89.98,住家用,鋼筋混凝土造,84年6月23日,八層,,
RPRNMLOLKHLGFAG18CC,31,17.76,防空避難室、停車場、穿廊共同使用部份,鋼筋混凝土造,84年6月23日,八層,,
RPRNMLOLKHLGFAG18CC,31,6.81,梯間、通道共同使用部份,鋼筋混凝土造,84年6月23日,八層,,
RPPNMLOJLHLGFAG87CC,4,17.18,本共有部分之項目有樓梯間、機械室及儲水槽等３項。,鋼筋混凝土造,111年8月17日,五層,,
RPSNMLOLKHLGFAG28CC,3,82.97,集合住宅,鋼筋混凝土（ＲＣ）,112年6月8日,四層,,
RPPNMLNJLHLGFAG77CC,41,328.60,住家用,鋼筋混凝土造,73年10月17日,四層,,
RPPNMLOJLHLGFAG87CC,4,7.97,本共有部分之項目有停車空間、機電空間等２項。,鋼筋混凝土造,111年8月17日,五層,,
RPSNMLOLKHLGFAG28CC,3,36.44,本共有部分之項目有機電室、電信室、停車空間、樓梯間等４項。,鋼筋混凝土（ＲＣ）,112年6月8日,四層,,
RPQNMLQLKHLGFAG28CC,1,57.14,集合住宅,鋼筋混凝土（ＲＣ）,114年6月25日,四層,,
RPRNMLPLKHLGFAG28CC,37,108.50,住家用,鋼筋混凝土造,78年3月7日,五層,,
RPQNMLQLKHLGFAG28CC,1,27.27,本共有部分之項目有停車空間。,鋼筋混凝土（ＲＣ）,114年6月25日,四層,,
RPRNMLPLKHLGFAG28CC,37,41.34,公共部份,鋼筋混凝土造,78年3月7日,地下層,,
RPQNMLQLKHLGFAG28CC,1,19.15,本共有部分之項目有梯廳、電梯、安全梯等３項。,鋼筋混凝土（ＲＣ）,114年6月25日,四層,,
RPQNMLPJLHLGFBG18CC,30,17.64,住家用,鋼筋混凝土造,84年9月12日,五層,,
RPQNMLKKLHLGFAG67CC,56,109.54,住家用,鋼筋混凝土加強磚造,59年5月10日,二層,,
RPPNMLRJLHLGFBG28CC,29,49.19,住家用,鋼筋混凝土造,85年11月8日,五層,,
RPPNMLRJLHLGFBG28CC,29,13.61,共有部份,鋼筋混凝土造,85年11月8日,五層,,
RPPNMLRJLHLGFBG28CC,29,2.54,共有部份,鋼筋混凝土造,85年11月8日,五層,,
RPPNMLRJLHLGFBG28CC,29,9.85,共有部份,鋼筋混凝土造,85年11月8日,五層,,
RPRNMLPJLHLGFBG28CC,24,14.55,補習班,鋼筋混凝土造,91年2月7日,四層,,
RPPNMLQJLHLGFAG08CC,1,64.58,集合住宅,鋼筋混凝土（ＲＣ）,114年3月21日,七層,,
RPPNMLQJLHLGFAG08CC,1,10.96,本共有部分之項目有停車空間等１項。,鋼筋混凝土（ＲＣ）,114年3月21日,七層,,
RPPNMLQJLHLGFAG08CC,1,16.67,本共有部分之項目有管理員室、樓梯間、電梯間、機械室、水箱間等５項。,鋼筋混凝土（ＲＣ）,114年3月21日,七層,,
RPPNMLMJLHLGFAG67CC,2,57.06,集合住宅,鋼筋混凝土（ＲＣ）,113年8月16日,六層,,
RPPNMLMJLHLGFAG67CC,2,41.62,本共有部分之項目有防空避難室兼停車空間、入口大廳、管委會空間、樓梯間、水箱等５項。,鋼筋混凝土（ＲＣ）,113年8月16日,六層,,
RPPNMLMJLHLGFAG67CC,2,1.62,本共有部分之項目有機房１項。,鋼筋混凝土（ＲＣ）,113年8月16日,六層,,
RPPNMLPJLHLGFBG08CC,42,37.80,住家用,鋼筋混凝土造,73年4月24日,四層,,
RPPNMLPJLHLGFBG08CC,42,34.30,住家用,鋼筋混凝土造,73年4月24日,四層,,
RPPNMLPJLHLGFBG08CC,42,6.30,共有部份,鋼筋混凝土造,73年4月24日,四層,,
RPPNMLPJLHLGFBG08CC,42,6.30,共有部份,鋼筋混凝土造,73年4月24日,四層,,
RPQNMLQJLHLGFBG28CC,27,121.68,住家用,鋼筋混凝土造,87年11月2日,八層,,
RPQNMLQJLHLGFBG28CC,27,14.32,共有部份,鋼筋混凝土造,87年11月2日,八層,,
RPQNMLQJLHLGFBG28CC,27,18.63,共有部份,鋼筋混凝土造,87年11月2日,八層,,
RPSNMLNLKHLGFAG18CC,31,79.34,住家用,鋼筋混凝土造,84年3月31日,十二層,,
RPSNMLNLKHLGFAG18CC,31,7.62,梯間、共同使用部份,鋼筋混凝土造,84年3月31日,十二層,,
RPSNMLNLKHLGFAG18CC,31,11.77,共同使用部份,鋼筋混凝土造,84年3月31日,十二層,,
RPSNMLNLKHLGFAG18CC,31,.04,防空避難室、停車場、共同使用部份,鋼筋混凝土造,84年3月31日,十二層,,
RPOOMLNKKHLGFAG77CC,50,103.50,住家用,鋼筋混凝土加強磚造,64年10月29日,二層,,
RPPNMLTJLHLGFAG38CC,46,104.96,住家用,鋼筋混凝土加強磚造,69年6月2日,二層,,
