編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLNLKHLGFBG28CC,協民段,1580.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,03580000
RPPNMLNJLHLGFAG77CC,北成段,136.00,都市：住,,,,14140001
RPPNMLTJLHLGFAG38CC,維揚段,90.00,都市：住,,,,02100000
RPTNMLRJMHLGFBG78CC,玉田一段,72.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,23630000
RPTNMLRJMHLGFBG78CC,玉田一段,27.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,23650000
RPRNMLKLMHLGFAG97CC,利福段,13.85,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,06910000
RPSNMLKLMHLGFAG08CC,利工段,19.35,非都市：工業區 ; 非都市編定：丁種建築用地,,,,07180000
RPPPMLMLMHLGFAG18CC,興東段,65.00,都市：住,,,,15120000
RPRNMLSLMHLGFBG88CC,巽門二段,13.38,都市：商,,,,02970000
RPRNMLSLMHLGFBG88CC,巽門二段,23.02,都市：商,,,,02980000
RPQNMLPJNHLGFAG28CC,五結段,90.00,都市：住,,,,10310023
RPPNMLPJNHLGFBG28CC,巽門二段,.43,都市：商,,,,04880000
RPPNMLRJNHLGFAG38CC,廣興一段,89.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,03220000
RPPNMLOKNHLGFAG18CC,新行健段,39.66,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00430000
RPRNMLSLNHLGFAG88CC,保昌段,218.30,都市：住,,,,00020000
RPRNMLSLNHLGFAG88CC,保昌段,165.68,都市：住,,,,00030000
