編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMJLHLGFAG67CC,坡道機械,0,13.70,地下一樓
RPQNMLQKLHLGFBG38CC,坡道機械,0,6.62,地下一樓
RPRNMLQKLHLGFAG38CC,一樓平面,0,13.75,一樓
RPVNMLMKLHLGFAG38CC,坡道平面,0,,地下一樓
RPXNMLNLLHLGFBG88CC,坡道平面,0,33.69,地下二樓
RPQNMLTKLHLGFBG68CC,坡道平面,0,,一樓
RPRNMLRLLHLGFBG68CC,坡道平面,0,,地下二樓
RPQNMLPLLHLGFBG38CC,坡道平面,0,24.88,地下二樓
RPPNMLRLLHLGFBG48CC,坡道平面,0,29.84,地下二樓
RPUNMLLMLHLGFAG38CC,一樓平面,0,11.32,一樓
RPSOMLLMLHLGFAG28CC,一樓平面,0,,一樓
RPPOMLKMLHLGFBG97CC,坡道機械,0,,地下一樓
RPPOMLLMLHLGFBG08CC,坡道平面,0,,地下一樓
RPOOMLKMLHLGFBG87CC,坡道平面,0,,地下二樓
RPWOMLLMLHLGFAG68CC,一樓平面,0,15.00,一樓
RPTNMLLJMHLGFBG18CC,坡道平面,0,,地下一樓
RPUNMLLJMHLGFBG28CC,坡道平面,0,,地下一樓
RPQNMLLJMHLGFBG87CC,坡道平面,0,34.37,地下一樓
RPPOMLLJMHLGFBG87CC,坡道平面,0,,地下一樓
RPROMLMJMHLGFAG08CC,坡道平面,0,31.44,地下二樓
RPXNMLLJMHLGFBG58CC,升降機械,0,12.49,一樓
RPPNMLKKMHLGFAG67CC,坡道平面,0,,地下一樓
RPTNMLKKMHLGFAG08CC,坡道機械,0,,地下一樓
RPPOMLSJMHLGFAG48CC,一樓平面,0,,一樓
RPWNMLSJMHLGFBG56CC,一樓平面,0,,一樓
RPRNMLTJMHLGFBG78CC,坡道平面,0,42.93,地下二樓
RPQNMLKKMHLGFBG87CC,一樓平面,0,,一樓
RPSNMLSJMHLGFBG78CC,坡道平面,0,,地下一樓
RPPNMLKKMHLGFBG77CC,一樓平面,0,11.65,一樓
RPQNMLPKMHLGFAG28CC,一樓平面,500,,一樓
RPRNMLPKMHLGFBG48CC,坡道平面,0,,地下一樓
RPPNMLPKMHLGFBG28CC,坡道平面,0,,地下一樓
RPTNMLKKMHLGFBG18CC,坡道平面,0,42.93,地下二樓
RPRNMLQKMHLGFAG48CC,升降機械,0,,一樓
RPPNMLQKMHLGFAG28CC,坡道平面,0,31.43,地下二樓
RPRNMLRKMHLGFBG68CC,一樓平面,0,13.76,一樓
RPQNMLKLMHLGFAG87CC,坡道平面,0,,地下一樓
RPOOMLMLMHLGFAG97CC,坡道平面,0,13.75,地下一樓
RPROMLMLMHLGFAG28CC,坡道機械,0,,地下二樓
RPPNMLLLMHLGFAG87CC,一樓平面,0,17.53,一樓
RPRNMLNLMHLGFAG28CC,一樓平面,0,22.38,一樓
RPSNMLNLMHLGFBG48CC,一樓平面,0,12.23,一樓
RPQNMLOLMHLGFBG38CC,坡道平面,0,,地下一樓
RPQNMLOLMHLGFAG28CC,一樓平面,0,,一樓
RPQNMLRLMHLGFBG68CC,坡道平面,0,,地下一樓
RPQNMLOJNHLGFBG28CC,一樓平面,0,,一樓
RPRNMLQJNHLGFAG48CC,升降平面,0,,地下一樓
RPRNMLMKNHLGFBG28CC,坡道平面,0,,地下一樓
RPQNMLOKNHLGFAG28CC,坡道平面,0,26.14,地下一樓
RPRNMLOKNHLGFAG38CC,坡道平面,3300,13.75,地下一樓
RPQNMLLLNHLGFBG18CC,坡道平面,0,,地下一樓
