編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLMKNHLGFCH58DA,埔頂段,44.68,都市：其他:第三種住宅區。,100000,1290,持分移轉,12610000
RPSNMLSJNHLGFCH98DA,干城段,80.14,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10420000
RPQNMLOKNHLGFEH68DA,福臨段,7.22,都市：其他:綠地用地,1,1,全筆移轉,09240001
RPPNMLMKNHLGFEH48EA,後壁段,13.46,非都市：一般農業區 ; 非都市編定：交通用地,112,2,持分移轉,09960000
RPPNMLMKNHLGFEH48EA,後壁段,3.08,非都市：一般農業區 ; 非都市編定：交通用地,112,2,持分移轉,10020000
RPPNMLMKNHLGFEH48EA,後壁段,2.60,非都市：一般農業區 ; 非都市編定：交通用地,168,2,持分移轉,10180000
RPPNMLMKNHLGFEH48EA,後壁段,87.08,非都市：一般農業區 ; 非都市編定：水利用地,168,2,持分移轉,10320000
RPPNMLMKNHLGFEH48EA,後壁段,1.66,非都市：一般農業區 ; 非都市編定：水利用地,168,2,持分移轉,10370000
RPPNMLMKNHLGFEH48EA,後壁段,4.53,非都市：一般農業區 ; 非都市編定：交通用地,112,2,持分移轉,10440000
RPPNMLMKNHLGFEH48EA,後壁段,8.83,非都市：一般農業區 ; 非都市編定：農牧用地,112,2,持分移轉,10510000
RPPNMLMKNHLGFEH48EA,後壁段,24.89,非都市：一般農業區 ; 非都市編定：農牧用地,112,2,持分移轉,10520000
RPPNMLMKNHLGFEH48EA,後壁段,38.79,非都市：一般農業區 ; 非都市編定：農牧用地,112,2,持分移轉,10650000
RPPNMLMKNHLGFEH48EA,後壁段,49.88,非都市：一般農業區 ; 非都市編定：農牧用地,448,6,持分移轉,13530000
RPPNMLMKNHLGFEH48EA,後壁段,22.50,非都市：一般農業區 ; 非都市編定：甲種建築用地,448,6,持分移轉,13550000
RPPNMLMKNHLGFEH48EA,後壁段,9.08,非都市：一般農業區 ; 非都市編定：農牧用地,448,6,持分移轉,13670000
RPPNMLMKNHLGFEH48EA,後壁段,36.39,非都市：一般農業區 ; 非都市編定：農牧用地,448,6,持分移轉,13680000
RPPNMLMKNHLGFEH48EA,後壁段,27.18,非都市：一般農業區 ; 非都市編定：農牧用地,448,6,持分移轉,13690000
RPPNMLMKNHLGFEH48EA,後壁段,14.85,非都市：一般農業區 ; 非都市編定：農牧用地,448,6,持分移轉,14210000
RPRQMLSJNHLGFEH76DA,橫埔段,53.90,都市：其他:第五種住宅區(供社會住宅使用),100000,549,持分移轉,03030000
RPUNMLQJNHLGFCH98DA,田心子段下田心子小段,53.20,都市：其他:住宅區,5,1,持分移轉,12620004
RPQNMLLJNHLGFGH48DA,六和段,46.42,非都市：特定農業區 ; 非都市編定：農牧用地,51840,225,持分移轉,09550000
RPRNMLLJNHLGFGH58DA,六和段,46.42,非都市：特定農業區 ; 非都市編定：農牧用地,51840,225,持分移轉,09550000
RPWNMLSJNHLGFAH56DA,桃園段武陵小段,6.63,都市：其他:商業區,50000,134,持分移轉,01870000
RPRNMLLKNHLGFDH38DA,民富段,8.64,都市：其他:住宅區,2,1,持分移轉,06360002
RPSOMLLKNHLGFDH58DA,槺榔段下槺榔小段,35.26,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,332,持分移轉,01080003
