編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLMKNHLGFCH58DA,坡道平面,0,,地下一樓
RPRQMLSJNHLGFEH76DA,坡道平面,1150000,35.35,地下一樓
RPPRMLRJNHLGFAH78DA,坡道平面,2100000,26.66,地下一樓
RPQOMLMKNHLGFHH88DA,坡道平面,0,,地下一樓
RPWQMLSJNHLGFEH27DA,坡道平面,1200000,24.00,地下二樓
RPSNMLNKNHLGFFH88DA,坡道平面,0,29.67,地下三樓
RPTNMLOJNHLGFCH68DA,其他,0,,一樓
RPSNMLSKNHLGFAH98EA,坡道平面,1500000,63.76,地下二樓
RPPNMLMLNHLGFEH58EA,坡道平面,0,,無固定樓層
RPXOMLTKNHLGFBH07DA,坡道平面,1450000,33.76,地下二樓
RPQOMLSKNHLGFAH78DA,坡道平面,0,,地下二樓
RPPPMLKLNHLGFEH48DA,坡道平面,0,,地下二樓
RPVOMLKLNHLGFAH58DA,坡道平面,0,,地下三樓
RPVOMLKLNHLGFAH58DA,坡道平面,0,,地下三樓
RPVOMLPKNHLGFEH76DA,坡道平面,0,30.40,地下一樓
RPXOMLKLNHLGFAH78DA,坡道平面,0,,地下三樓
RPWNMLMLNHLGFBH88DA,坡道平面,0,42.02,地下三樓
RPWNMLRJNHLGFHH17DA,坡道平面,0,,地下一樓
RPXNMLRJNHLGFHH27DA,坡道平面,0,,地下一樓
RPQNMLLLNHLGFDH48EA,坡道平面,0,27.19,地下一樓
RPPOMLMLNHLGFAH18DA,坡道平面,800000,36.64,地下三樓
RPOQMLLLNHLGFAH18DA,坡道平面,1500000,,地下一樓
RPTQMLLLNHLGFBH78DA,升降機械,0,,地下一樓
RPOPMLLLNHLGFEH48DA,坡道平面,1150000,38.02,地下一樓
RPPNMLRKNHLGFEH88DA,坡道平面,1750000,33.89,地下一樓
RPPNMLPLNHLGFHH56EA,坡道平面,2000000,29.88,地下三樓
RPPNMLQJNHLGFHH98DA,坡道平面,1950000,30.31,地下三樓
RPVOMLTKNHLGFBH86DA,坡道平面,2200000,24.80,地下一樓
RPQOMLLLNHLGFBH28DA,坡道平面,0,36.04,地下二樓
RPTOMLTKNHLGFDH86DA,坡道平面,1170000,41.86,地下一樓
RPXNMLLKNHLGFHH76DA,坡道平面,0,,地下一樓
RPPQMLRJNHLGFEH09DA,坡道平面,0,28.97,地下二樓
RPRRMLRLNHLGFEH96DA,坡道平面,0,37.60,地下二樓
RPUNMLPLNHLGFGH86DA,坡道平面,0,,地下二樓
RPSRMLRLNHLGFEH07DA,坡道平面,0,38.56,地下二樓
RPTRMLSKNHLGFEH17DA,坡道平面,0,29.18,地下二樓
RPQNMLNLNHLGFAH28DA,坡道平面,1700000,15.35,地下二樓
RPSOMLSKNHLGFBH09DA,坡道平面,0,,地下三樓
RPVNMLOJNHLGFCH88DA,坡道平面,0,24.58,地下二樓
RPTNMLPLNHLGFCH98DA,坡道平面,380000,36.24,地下二樓
RPROMLMLNHLGFDH68DA,坡道平面,250000,34.08,地下一樓
RPROMLPLNHLGFAH68DA,坡道平面,0,,地下一樓
RPROMLPLNHLGFAH68DA,坡道平面,0,,地下一樓
RPVNMLQJNHLGFAH88DA,坡道平面,0,36.96,地下二樓
RPVNMLQJNHLGFAH88DA,坡道平面,0,35.83,地下二樓
RPOOMLMKNHLGFBH08DA,坡道平面,0,33.90,地下一樓
RPOOMLMKNHLGFBH08DA,坡道平面,0,33.90,地下一樓
RPPNMLSJNHLGFAH48DA,坡道平面,0,36.96,地下二樓
RPPNMLSJNHLGFAH48DA,坡道平面,0,36.96,地下二樓
RPOPMLPLNHLGFAH48DA,坡道平面,1900000,24.84,地下三樓
RPSOMLRLNHLGFHH07DA,坡道平面,1900000,21.54,地下二樓
RPQNMLSLNHLGFDH09DA,一樓平面,1100000,,一樓
RPPNMLTLNHLGFGH86EA,其他,0,,地下一樓
RPQOMLTLNHLGFBH09DA,坡道平面,0,27.56,地下二樓
RPOOMLLLNHLGFBH08DA,坡道平面,1700000,23.41,地下二樓
RPTQMLTKNHLGFAH76DA,坡道平面,2400000,24.75,一樓
RPXRMLRLNHLGFEH57DA,坡道平面,0,,地下一樓
RPUPMLSLNHLGFFH27DA,坡道平面,0,35.87,地下二樓
RPRPMLSLNHLGFAH09DA,坡道平面,0,,地下一樓
RPPNMLMJOHLGFBH18EA,坡道平面,0,33.74,地下一樓
RPRNMLLJOHLGFAH18EA,坡道平面,780000,23.76,地下一樓
RPOOMLRJNHLGFEH78DA,坡道平面,0,,地下三樓
RPPNMLPJNHLGFGH78DA,坡道平面,0,,地下一樓
RPRPMLSLNHLGFFH96DA,坡道平面,1200000,40.56,地下一樓
RPXOMLPLNHLGFHH37DA,坡道平面,1680000,25.69,地下二樓
RPUNMLMJOHLGFBH58DA,坡道平面,0,34.54,地下三樓
RPPNMLSLNHLGFAH78EA,坡道平面,1600000,28.42,地下三樓
RPQNMLTJMHLGFHH66DA,坡道平面,0,16.51,地下一樓
RPPOMLKLNHLGFAH97DA,坡道平面,0,,地下一樓
RPWRMLKLNHLGFBH09DA,坡道平面,0,29.24,地下二樓
RPUPMLSLNHLGFCH96DA,坡道平面,0,,地下一樓
RPQUMLLJOHLGFAH68DA,坡道機械,1400000,24.03,地下三樓
RPPOMLOJNHLGFDH48DA,坡道平面,0,39.81,地下三樓
RPQNMLMJOHLGFEH48DA,坡道平面,0,,地下一樓
RPOPMLNKNHLGFEH58DA,坡道平面,0,,地下二樓
RPRNMLOJOHLGFFH88DA,坡道平面,1400000,38.47,地下二樓
RPWNMLSLNHLGFHH47DA,坡道平面,0,37.58,地下二樓
RPPQMLLLNHLGFAH28DA,坡道平面,2100000,27.10,地下二樓
RPPNMLMJOHLGFAH08EA,坡道平面,0,,地下一樓
RPOTMLTLNHLGFAH66DA,坡道平面,0,28.22,地下三樓
RPQNMLOJOHLGFHH98DA,坡道平面,0,,地下二樓
RPPRMLTLNHLGFAH56DA,坡道平面,0,27.04,地下一樓
RPPRMLTLNHLGFAH56DA,坡道平面,0,24.70,地下一樓
RPRUMLTLNHLGFAH07DA,坡道平面,0,,地下一樓
RPRUMLTLNHLGFAH07DA,坡道平面,0,,地下一樓
RPQPMLOJOHLGFAH48DA,坡道平面,1600000,52.68,地下一樓
RPOPMLOJOHLGFAH28DA,坡道平面,1500000,52.68,地下一樓
RPPOMLLKNHLGFCH18DA,坡道平面,0,36.24,地下三樓
RPSQMLNJOHLGFBH78DA,坡道平面,0,,地下一樓
RPRQMLNJOHLGFBH68DA,坡道平面,0,,地下一樓
RPVNMLMJOHLGFDH88DA,坡道平面,0,27.67,地下一樓
RPROMLPJNHLGFEH88DA,坡道平面,0,31.92,地下一樓
RPPNMLLJOHLGFBH08EA,坡道平面,0,,地下二樓
RPWPMLLJOHLGFHH86DA,坡道平面,2100000,27.45,地下四樓
RPRNMLLMNHLGFAH28DA,坡道平面,0,37.69,地下三樓
RPQOMLQJNHLGFCH68DA,坡道平面,0,,地下一樓
RPQPMLPKNHLGFDH88DA,坡道平面,0,31.74,地下三樓
RPUNMLMLNHLGFFH09DA,一樓平面,1700000,18.66,一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
RPWNMLOJOHLGFDH56DA,坡道平面,0,,地下二樓
