鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
桃園區,房地(土地+建物),桃園市桃園區和平路157號,8.69,商,,,1150211,土地6建物1車位0,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.47,3,1,2,有,無,15750000,172188,,0.0,0,,RPPNMLLKKHLGFAH67DB,德友越,B棟6-9F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區和平路157號,7.1,商,,,1150211,土地6建物1車位1,十五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.49,2,1,2,有,無,14220000,172797,坡道機械,13.72,1300000,,RPQNMLLKKHLGFAH77DB,德友越,B棟9-15F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區自強南路731號旁,20.25,住,,,1150211,土地1建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.49,2,2,2,有,無,15550000,148282,坡道平面,24.75,1650000,,RPSNMLLKKHLGFHH68DB,長虹擎山,B棟3-9F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔三街43巷1號旁,19.3,住,,,1150211,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.1,2,2,2,有,無,20870000,184561,坡道平面,34.0,2580000,,RPWNMLMKKHLGFAH38CB,百川峰?A,A棟7-2F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區富國路三段與南青路交會處附近,85.51,工,,,1150211,土地5建物1車位3,二層,6,廠辦,工業用,鋼筋混凝土造,,407.77,0,0,0,無,無,32900000,84695,坡道平面,75.99,4800000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKKHLGFEH08CB,立瑾57,A棟2F號,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區平東路一段110號附近,31.8,,特定農業區,甲種建築用地,1150212,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.1,3,2,2,有,無,12900000,93426,坡道平面,33.29,1800000,,RPTNMLMKKHLGFGH68CB,旭晟晟鏡,A6棟9號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區上竹路與上竹一街交叉口,21.28,住,,,1150213,土地28建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.46,3,2,2,有,無,16300000,119027,坡道平面,24.84,2300000,,RPUNMLNKKHLGFEH68CB,昭揚天映,A棟5-02F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區上竹路與上竹一街交叉口,21.31,住,,,1150213,土地28建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.5,3,2,2,有,無,16410000,119072,坡道平面,22.84,2400000,,RPVNMLNKKHLGFEH78CB,昭揚天映,B棟5-03F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區上竹路與上竹一街交叉口,13.29,住,,,1150211,土地28建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.35,2,2,1,有,無,11570000,125425,坡道平面,22.84,2350000,,RPWNMLNKKHLGFEH88CB,昭揚天映,B棟3-04F號,
