編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLMKKHLGFCH38CC,46,31.22,住家用,木石磚造（磚石造）,68年10月1日,一層,,
RPVNMLNKKHLGFAH48CC,33,93.43,住家用,鋼筋混凝土造,81年11月11日,六層,,
RPVNMLNKKHLGFAH48CC,33,39.24,共有部份,鋼筋混凝土造,81年11月11日,六層,,
RPRPMLMKKHLGFAH18CC,15,57.15,住家用,鋼筋混凝土造,100年5月6日,十二層,,
RPRPMLMKKHLGFAH18CC,15,11.55,本共有部分之項目有集合住宅（附屬樓梯間、附屬水箱及附屬機械房）等項。,鋼筋混凝土造,100年5月6日,十二層,,
RPVPMLMKKHLGFBH68CC,36,12.90,住家用,鋼筋混凝土造,78年12月20日,六層,,
RPRPMLMKKHLGFAH18CC,15,22.15,本共有部分之項目有集合住宅（附屬防空避難室兼停車場、附屬公共門廳、附屬管理室）等項。,鋼筋混凝土造,100年5月6日,十二層,,
RPVPMLMKKHLGFBH68CC,36,6.65,共有部份,鋼筋混凝土造,78年12月20日,六層,,
RPQNMLNKKHLGFAH97CC,24,4045.49,作業廠房、管理員室、倉庫、儲藏室、發電機室、電氣室、機械房、水箱、廠房,鋼骨混凝土造、鋼骨造,90年9月14日,四層,,
RPPOMLNKKHLGFBH08CC,4,66.91,集合住宅,鋼筋混凝土造,110年12月24日,六層,,
RPPOMLNKKHLGFBH08CC,4,22.32,共有部分之項目有：樓梯間、昇降機間、機械室、防空避難室兼停車空間、梯廳、機房、門廳、電信室、發電機室、台電配電場所、機車停車空間等十一項。,鋼筋混凝土造,110年12月24日,六層,,
RPVNMLNKKHLGFBH58CC,1,71.06,集合住宅,鋼筋混凝土造,114年1月2日,十四層,,
