編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLMKKHLGFHH68CC,舊路坑三段,287.80,都市：工,,,,08660001
RPTNMLNLKHLGFDH68CC,草湳坡段埔心小段,15.50,都市：住,,,,00990000
RPXPMLOLKHLGFAH09CC,新埔段,12.14,都市：住,,,,02260000
RPTQMLOLKHLGFAH78CC,大樹林段,1065.97,都市：工,,,,18150000
RPTOMLOLKHLGFBH68CC,青平段,14.32,都市：住,,,,01730000
RPQNMLNLKHLGFFH68DC,大忠段,9.45,都市：商,,,,09820000
RPQNMLNLKHLGFFH68DC,大忠段,.55,都市：住,,,,10000000
RPPNMLNLKHLGFEH48DC,竹圍段拔子林小段,1406.00,都市：住,,,,03040001
RPPNMLPLKHLGFAH18CC,國際段,152.88,都市：農,,,,01160000
RPPOMLQLKHLGFDH68CC,楊梅段,86.00,都市：住,,,,00740093
RPPOMLQLKHLGFDH68CC,楊梅段,86.00,都市：住,,,,00740308
RPOOMLQLKHLGFGH88CC,平安段,1140.50,都市：農,,,,02550000
RPSNMLMJLHLGFHH78CC,半嶺段,22.40,都市：住,,,,07880000
RPOSMLNJLHLGFBH38CC,保潭段,500.06,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06190027
RPPSMLNJLHLGFBH48CC,保潭段,500.06,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06190027
RPWRMLNJLHLGFBH09CC,保潭段,300.05,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06190022
RPQSMLNJLHLGFBH58CC,保潭段,500.06,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06190027
RPUPMLPJLHLGFAH78CC,和平段,14.77,都市：住,,,,00220000
RPUPMLPJLHLGFAH78CC,和平段,10.55,都市：住,,,,00220001
RPUNMLPJLHLGFBH68CC,雙嶺段,24.08,都市：住,,,,14810002
RPPNMLPJLHLGFBH28DC,山嶺段,59.98,都市：住,,,,09440000
RPPNMLPJLHLGFFH68DC,興豐段,31.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09990000
RPTPMLQJLHLGFBH88CC,富強段,.46,都市：住,,,,01500001
RPTPMLQJLHLGFBH88CC,富強段,13.99,都市：住,,,,01500006
RPTPMLQJLHLGFBH88CC,富強段,.86,都市：住,,,,01500017
RPWPMLQJLHLGFBH56CC,富強段,1.38,都市：住,,,,01500001
RPWPMLQJLHLGFBH56CC,富強段,41.97,都市：住,,,,01500006
RPWPMLQJLHLGFBH56CC,富強段,2.59,都市：住,,,,01500017
RPUNMLQJLHLGFCH88CC,烏林段,2126.30,非都市：工業區 ; 非都市編定：丁種建築用地,,,,09600000
RPPRMLTJLHLGFAH88CC,福元段,15.36,都市：住,,,,06780000
RPVPMLTJLHLGFBH76CC,前寮段,64.63,都市：住,,,,14570000
RPVPMLTJLHLGFBH76CC,前寮段,1.12,都市：其他:道路用地,,,,14570001
RPXNMLTJLHLGFEH07CC,大新段,24.76,都市：住,,,,04500000
RPOOMLTJLHLGFEH88CC,中興段,23.63,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,12120000
RPQOMLTJLHLGFEH09CC,六福段,214.33,都市：工,,,,00570000
