編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLNKKHLGFBH58CC,坡道平面,3000,27.22,地下一樓
RPSNMLMKKHLGFBH18CC,坡道平面,0,,地下四樓
RPUNMLMKKHLGFBH38CC,坡道機械,0,,地下三樓
RPWOMLMKKHLGFHH66CC,坡道平面,0,27.20,地下三樓
RPVOMLLKKHLGFFH88CC,坡道平面,0,,地下一樓
RPSOMLNKKHLGFHH98CC,坡道平面,0,27.20,地下四樓
RPWNMLNKKHLGFHH66CC,坡道平面,0,28.11,地下三樓
RPXNMLNLKHLGFAH78CC,坡道平面,0,,地下三樓
RPQNMLNLKHLGFBH18CC,坡道平面,0,,地下一樓
RPTNMLNLKHLGFEH78CC,坡道平面,2000,33.49,地下一樓
RPXNMLNLKHLGFHH86CC,坡道平面,0,30.07,地下二樓
RPPNMLNLKHLGFGH58CC,坡道平面,3000,26.83,地下二樓
RPWNMLNLKHLGFHH76CC,升降機械,0,14.57,地下四樓
RPSPMLOLKHLGFBH68CC,坡道平面,3500,35.22,地下二樓
RPPNMLNLKHLGFFH48CC,坡道平面,2000,20.14,地下一樓
RPTOMLOLKHLGFBH68CC,坡道機械,0,,地下三樓
RPTRMLOLKHLGFBH98CC,坡道平面,2500,,地下一樓
RPXNMLOLKHLGFEH66CC,坡道平面,3000,37.50,地下二樓
RPVNMLOLKHLGFHH76CC,坡道平面,3500,30.07,地下五樓含以下
RPRNMLOLKHLGFHH98CC,坡道平面,2800,28.70,地下二樓
RPWNMLPLKHLGFAH88CC,坡道平面,3000,25.37,地下一樓
RPRNMLPLKHLGFBH48CC,一樓平面,100,,一樓
RPUOMLPLKHLGFBH88CC,坡道平面,0,,地下一樓
RPTPMLPLKHLGFBH88CC,坡道平面,0,28.15,地下一樓
RPXPMLPLKHLGFBH66CC,坡道平面,3000,45.34,地下三樓
RPWNMLPLKHLGFEH66CC,坡道平面,2500,,地下二樓
RPVNMLPLKHLGFEH56CC,坡道平面,3000,40.15,地下一樓
RPRNMLPLKHLGFHH09CC,坡道平面,3000,29.07,地下五樓含以下
RPUNMLPLKHLGFHH76CC,坡道平面,1000,29.14,地下二樓
RPSNMLPLKHLGFFH98CC,坡道平面,500,31.92,地下一樓
RPTNMLPLKHLGFDH88CC,一樓平面,1800,,一樓
RPQOMLPLKHLGFFH88CC,坡道平面,3000,31.32,地下二樓
RPXOMLQLKHLGFAH56CC,坡道平面,5000,54.76,地下二樓
RPSPMLQLKHLGFAH78CC,坡道平面,0,,地下一樓
RPTNMLPLKHLGFHH66CC,坡道平面,0,27.20,地下四樓
