鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,房地(土地+建物),嘉義市嘉義市自強街３４７巷２５號,84.57,住,,,1150501,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0661103,56.42,3,2,1,有,無,5870000,104041,,0.0,0,,RPQNMLLKNHLGFAI08DA,56.42,0.0,0.0,無,001
嘉義市,房地(土地+建物),嘉義市嘉義市中興路１０巷２號,65.0,住,,,1150504,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0700602,76.9,2,2,2,有,無,4878000,63433,,0.0,0,,RPPNMLSJNHLGFAI68EA,76.9,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市北榮街１２７－２號６樓３,4.46,商,,,1150502,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840617,35.67,1,1,1,有,有,2490000,69807,,0.0,0,,RPOOMLLKNHLGFAI97DA,21.7,0.0,3.71,有,
嘉義市,土地,崇文段1262地號,49.07,住,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2680000,54616,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLOKNHLGFAI38EA,0.0,0.0,0.0,無,
嘉義市,土地,竹圍子段44-1地號,152.0,住,,,1150506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7800000,51316,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLOKNHLGFAI28DA,0.0,0.0,0.0,無,
嘉義市,土地,下路頭段736-12地號,185.42,都市：其他:道路用地,,,1150502,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6080000,32790,,0.0,0,含土地增值稅或其他稅費64698元；親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNKNHLGFAI38DA,0.0,0.0,0.0,無,
嘉義市,土地,竹圍子段43-17地號,157.0,住,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7800000,49682,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLOKNHLGFAI38DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市林森東路７２２之２６號八樓之１,49.42,住,,,1150507,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920317,200.18,4,2,2,有,有,6800000,33969,坡道平面,0.0,0,,RPUQMLOKNHLGFAI09DA,116.64,0.0,12.03,有,
嘉義市,土地,東川段433-4地號,19.0,住,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,613006,32263,,0.0,0,含土地增值稅或其他稅費13006元；,RPXQMLOKNHLGFAI76DA,0.0,0.0,0.0,無,
