編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLLLNHLGFAI48DA,55,51.38,住家用,木造,60年3月11日,一層,一層,全筆移轉
RPSNMLTLNHLGFAI56DA,4,220.28,住宅、樓梯間,鋼筋混凝土構造,111年2月8日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLTLNHLGFAI98DA,34,4.95,共有部份,鋼筋混凝土造,81年9月3日,七層,,持分移轉
RPQNMLTLNHLGFAI98DA,34,8.13,共有部份,鋼筋混凝土造,81年9月3日,七層,,持分移轉
RPQNMLTLNHLGFAI98DA,34,37.08,住家用,鋼筋混凝土造,81年9月3日,七層,三層 陽台,全筆移轉
RPRPMLLLNHLGFAI48DA,36,90.77,住家用,鋼筋混凝土造,79年8月9日,七層,七層 陽台,全筆移轉
RPRPMLLLNHLGFAI48DA,36,27.14,共有部份,鋼筋混凝土造,79年8月9日,七層,,持分移轉
RPSPMLLLNHLGFAI58DA,36,90.77,住家用,鋼筋混凝土造,79年8月9日,七層,七層 陽台,全筆移轉
RPSPMLLLNHLGFAI58DA,36,27.14,共有部份,鋼筋混凝土造,79年8月9日,七層,,持分移轉
RPPNMLSJNHLGFAI68EA,45,76.90,住家用,鋼筋混凝土造,70年6月2日,二層,一層 二層,全筆移轉
RPXOMLLLNHLGFAI98DA,18,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,二層,全筆移轉
RPXOMLLLNHLGFAI98DA,18,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,持分移轉
RPUQMLOKNHLGFAI09DA,23,128.67,住家用,鋼筋混凝土造,92年3月17日,十二層,八層 陽台,全筆移轉
RPUQMLOKNHLGFAI09DA,23,71.51,共有部份,鋼筋混凝土造,92年3月17日,十四層,,持分移轉
RPPNMLNLNHLGFAI28DA,33,34.32,共有部份,鋼筋混凝土造,82年1月5日,七層,,持分移轉
RPPNMLNLNHLGFAI28DA,33,102.69,住家用,鋼筋混凝土造,82年1月5日,七層,五層 陽台,全筆移轉
RPPNMLMJOHLGFAI08DA,57,65.22,住家用,加強磚造,57年11月27日,二層,一層 二層 騎樓,持分移轉
RPPNMLQLNHLGFAI58DA,37,63.13,住家用,鋼筋混凝土造,78年1月17日,七層,三層 陽台,全筆移轉
RPPNMLQLNHLGFAI58DA,37,9.87,共有部份,鋼筋混凝土造,78年1月17日,七層,,持分移轉
RPVOMLPLNHLGFAI56DA,32,82.07,住家用,鋼筋混凝土造,83年7月4日,十二層,三層 陽台,全筆移轉
RPVOMLPLNHLGFAI56DA,32,10.59,共有部份,鋼筋混凝土造,83年7月4日,十二層,,持分移轉
RPVOMLPLNHLGFAI56DA,32,16.36,共有部份,鋼筋混凝土造,83年7月4日,十二層,,持分移轉
RPQNMLLLNHLGFAI18DA,51,59.02,住家用,磚造,64年2月21日,一層,一層,全筆移轉
RPQNMLLKNHLGFAI08DA,48,56.42,住家用,磚造,66年11月3日,一層,一層,全筆移轉
RPOOMLLKNHLGFAI97DA,31,25.41,住家用,鋼筋混凝土造,84年6月17日,八層,六層 陽台,全筆移轉
RPOOMLLKNHLGFAI97DA,31,10.26,共有部份,鋼筋混凝土造,84年6月17日,八層,,持分移轉
RPTNMLSKNHLGFAI09DA,25,89.49,住商用,鋼筋混凝土造,90年6月11日,三層,一層 二層 三層 陽台 電梯樓梯間,持分移轉
RPPNMLSJOHLGFAI78EA,6,356.93,住宅、停車空間、樓梯間,鋼筋混凝土構造,109年3月9日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPRNMLPJOHLGFAI58DA,1,304.82,住宅,鋼筋混凝土造,114年9月25日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTNMLLJOHLGFAI38DA,22,165.99,住宅，梯間,鋼筋混凝土造,93年2月6日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLKMNHLGFAI18DA,35,53.54,住家用,鋼筋混凝土造,80年6月20日,七層,六層 陽台,全筆移轉
