編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSLNHLGFAI88EA,元段七小段,113.00,都市：其他:商業區,1,1,全筆移轉,00640004
RPTNMLLLNHLGFAI48DA,竹圍子段,81.00,都市：其他:住宅區,1,1,全筆移轉,03080019
RPSNMLTLNHLGFAI56DA,盧厝段,39.27,都市：其他:農業區,26,1,持分移轉,00340037
RPSNMLTLNHLGFAI56DA,盧厝段,102.00,都市：其他:農業區,1,1,全筆移轉,02010036
RPQNMLTLNHLGFAI98DA,車店段車店小段,7.02,都市：其他:住宅區,10000,54,持分移轉,05850000
RPRPMLLLNHLGFAI48DA,車店段,23.46,都市：其他:住宅區,1000,74,持分移轉,03960001
RPSPMLLLNHLGFAI58DA,車店段,23.46,都市：其他:住宅區,1000,74,持分移轉,03960001
RPPNMLSJNHLGFAI68EA,竹圍子段,65.00,都市：其他:住宅區,1,1,全筆移轉,01440018
RPPNMLOKNHLGFAI38EA,崇文段,49.07,都市：其他:住宅區,1,1,全筆移轉,12620000
RPQOMLLLNHLGFAI28DA,北社尾段,93.00,都市：其他:住宅區,1,1,全筆移轉,06530024
RPQOMLLLNHLGFAI28DA,北社尾段,4.01,都市：其他:住宅區,10000,88,持分移轉,06540042
RPQOMLLLNHLGFAI28DA,北社尾段,14.00,都市：其他:住宅區,1,1,全筆移轉,06540044
RPXOMLLLNHLGFAI98DA,短竹段,.31,都市：其他:住宅區,100000,505,持分移轉,16680000
RPXOMLLLNHLGFAI98DA,短竹段,4.94,都市：其他:住宅區,100000,505,持分移轉,16690000
RPXQMLOKNHLGFAI76DA,東川段,19.00,都市：其他:住宅區,1,1,全筆移轉,04330004
RPOOMLLJOHLGFAI97DA,北門段三小段,35.00,都市：其他:商業區,1,1,全筆移轉,00790000
RPUQMLOKNHLGFAI09DA,盧厝段,49.42,都市：其他:住宅區,100000,211,持分移轉,03020000
RPPNMLNLNHLGFAI28DA,竹圍子段,25.71,都市：其他:住宅區,10000,530,持分移轉,02170005
RPPNMLMJOHLGFAI08DA,山下段,105.50,都市：其他:住宅區,2,1,持分移轉,00280006
RPPNMLMJOHLGFAI08DA,山下段,30.00,都市：其他:住宅區,2,1,持分移轉,00280007
RPPNMLQLNHLGFAI58DA,車店段車店小段,16.08,都市：其他:住宅區,10000,33,持分移轉,00450000
RPVOMLPLNHLGFAI56DA,下路頭段,16.40,都市：其他:住宅區,10000,99,持分移轉,07670000
RPQNMLLLNHLGFAI18DA,盧厝段,86.00,都市：其他:住宅區,1,1,全筆移轉,01820024
RPPNMLOKNHLGFAI28DA,竹圍子段,11.00,都市：其他:住宅區,1,1,全筆移轉,00430013
RPRNMLNKNHLGFAI38DA,下路頭段,2.45,都市：其他:道路用地,13215,400,持分移轉,07360006
RPPNMLOKNHLGFAI28DA,竹圍子段,141.00,都市：其他:住宅區,1,1,全筆移轉,00440001
RPRNMLNKNHLGFAI38DA,下路頭段,2.48,都市：其他:住宅區,13215,400,持分移轉,07360009
RPRNMLNKNHLGFAI38DA,下路頭段,114.33,都市：其他:住宅區,3,1,持分移轉,07360012
RPRNMLNKNHLGFAI38DA,下路頭段,57.33,都市：其他:道路用地,3,1,持分移轉,07360046
RPRNMLNKNHLGFAI38DA,下路頭段,8.67,都市：其他:住宅區,3,1,持分移轉,07360047
RPRNMLNKNHLGFAI38DA,下路頭段,.15,都市：其他:住宅區,13215,400,持分移轉,07360090
RPQNMLOKNHLGFAI38DA,竹圍子段,157.00,都市：其他:住宅區,1,1,全筆移轉,00430017
RPQNMLLKNHLGFAI08DA,劉厝段玉山小段,84.57,都市：其他:住宅區,1,1,全筆移轉,02530000
RPOOMLLKNHLGFAI97DA,榮段二小段,4.46,都市：其他:商業區,10000,109,持分移轉,00540000
RPTNMLSKNHLGFAI09DA,湖內段,37.50,都市：其他:住宅區,2,1,持分移轉,07850005
RPPNMLSJOHLGFAI78EA,盧東段,47.05,都市：其他:住宅區,100000,7910,持分移轉,04360000
RPPNMLSJOHLGFAI78EA,盧東段,186.95,都市：其他:住宅區,1,1,全筆移轉,04690001
RPPNMLSJOHLGFAI78EA,盧東段,13.71,都市：其他:住宅區,8,1,持分移轉,04690005
RPPNMLSJOHLGFAI78EA,盧東段,44.46,都市：其他:住宅區,1,1,全筆移轉,04690019
RPPNMLSJOHLGFAI78EA,盧東段,251.18,都市：其他:農業區,2,1,持分移轉,04700003
RPPNMLSJOHLGFAI78EA,盧東段,.20,都市：其他:農業區,72,3,持分移轉,04700004
RPRNMLOJOHLGFAI48DA,頂庄段,141.00,都市：其他:住宅區,1,1,全筆移轉,01460004
RPRNMLPJOHLGFAI58DA,劉厝段玉山小段,162.39,都市：其他:第二種住宅區,1,1,全筆移轉,02060000
RPTNMLLJOHLGFAI38DA,下路頭段,68.00,都市：其他:住宅區,1,1,全筆移轉,07950121
RPQNMLKMNHLGFAI18DA,劉厝段劉厝小段,8.52,都市：其他:住宅區,20000,108,持分移轉,03110000
RPQNMLKMNHLGFAI18DA,劉厝段劉厝小段,.32,都市：其他:住宅區,20000,108,持分移轉,03110040
RPQNMLKMNHLGFAI18DA,劉厝段劉厝小段,2.67,都市：其他:住宅區,20000,108,持分移轉,03120011
RPPNMLOJOHLGFAI28DA,遠東段,3.41,都市：其他:住宅區,90000,3335,持分移轉,00010003
RPPNMLOJOHLGFAI28DA,遠東段,42.35,都市：其他:住宅區,90000,3335,持分移轉,00010014
RPPNMLOJOHLGFAI28DA,遠東段,165.00,都市：其他:住宅區,1,1,全筆移轉,00010028
RPUNMLMJOHLGFAI58DA,湖子內段興安小段,110.21,都市：其他:第一種住宅區,1,1,全筆移轉,02480001
RPTNMLMJOHLGFAI48DA,竹圍子段,22.47,都市：其他:住宅區,10000,106,持分移轉,03300000
RPRNMLMJOHLGFAI28DA,新白川段,3.27,都市：其他:住宅區,100000,293,持分移轉,00190000
RPRNMLMJOHLGFAI28DA,車店段,34.47,都市：其他:住宅區,100000,293,持分移轉,00620000
RPRNMLMJOHLGFAI28DA,車店段,.05,都市：其他:公園道用地,100000,293,持分移轉,00620007
RPSNMLPJOHLGFAI68DA,短竹段,3.49,都市：其他:住宅區,20000,34,持分移轉,09120070
RPTNMLNJOHLGFAI58DA,湖內段,.32,都市：其他:住宅區,4100,65,持分移轉,00880000
RPTNMLNJOHLGFAI58DA,湖內段,3.36,都市：其他:住宅區,24100,380,持分移轉,00890000
RPTNMLNJOHLGFAI58DA,湖內段,4.92,都市：其他:住宅區,37500,591,持分移轉,00910000
RPUNMLNJOHLGFAI68DA,湖內段,15.71,都市：其他:住宅區,10000,122,持分移轉,09980000
RPTNMLNJOHLGFAI58DA,下路頭段,4.79,都市：其他:住宅區,30400,479,持分移轉,07490000
RPTNMLNJOHLGFAI58DA,下路頭段,9.80,都市：其他:住宅區,6220,98,持分移轉,07500034
RPUNMLNJOHLGFAI68DA,湖內段,12.43,都市：其他:住宅區,10000,122,持分移轉,10230000
RPROMLTKNHLGFAI09DA,芳安段,58.38,都市：其他:住宅區,2,1,持分移轉,03850000
RPPNMLNJOHLGFAI18DA,長竹段,25.84,都市：其他:住宅區,10000,159,持分移轉,09590000
RPQNMLMLMHLGFAI18DA,崇文段,27.00,都市：其他:住宅區,1,1,全筆移轉,09420000
RPSNMLTJMHLGFAI98EA,導明段,58.28,都市：其他:住宅區,1,1,全筆移轉,02600000
RPRNMLNLMHLGFAI38DA,彌陀段日新小段,180.00,都市：其他:住宅區,1,1,全筆移轉,00320000
RPQNMLOLMHLGFAI48EA,大溪段,11.07,都市：其他:農業區,15,1,持分移轉,01370000
RPSNMLOLMHLGFAI68EA,荖藤段,37.33,都市：其他:農業區,3,2,持分移轉,02880006
RPQNMLOLMHLGFAI48EA,大溪段,9.19,都市：其他:農業區,15,1,持分移轉,01400000
RPQNMLOLMHLGFAI48EA,大溪段,8.05,都市：其他:道路用地,15,1,持分移轉,01820000
RPQNMLOLMHLGFAI48EA,大溪段,9.99,都市：其他:道路用地,15,1,持分移轉,01850000
