編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLPJLHLGFAI78CB,竹村段,117.70,都市：住,1,1,全筆移轉,05390010
RPWNMLPJLHLGFAI78CB,竹村段,19.84,都市：住,1000,42,持分移轉,05340000
RPPOMLPJLHLGFAI18CB,竹村段,124.60,都市：住,1,1,全筆移轉,05390013
RPPOMLPJLHLGFAI18CB,竹村段,19.84,都市：住,1000,42,持分移轉,05340000
RPPNMLNJLHLGFAI87CB,湖子內段興安小段,112.11,都市：住,1,1,全筆移轉,03620013
RPRNMLOJLHLGFAI18CB,湖子內段新民小段,1.18,都市：商,10000,51,持分移轉,02280000
RPPNMLOLKHLGFAI08CB,湖子內段湖美小段,43.48,都市：住,100000,4960,持分移轉,04280000
RPRNMLOJLHLGFAI18CB,湖子內段新民小段,10.93,都市：商,10000,51,持分移轉,02290000
RPQNMLNKKHLGFAI97CB,新富段五小段,17.81,都市：住,100000,2400,持分移轉,00300004
RPPNMLNJLHLGFAI87CB,湖子內段興安小段,22.17,都市：住,8,1,持分移轉,03620017
RPPNMLNJLHLGFAI87CB,湖子內段興安小段,.96,都市：住,150,1,持分移轉,03620035
RPPNMLNJLHLGFAI87CB,湖子內段興安小段,.77,都市：住,30,1,持分移轉,03620036
RPPNMLNJLHLGFAI87CB,湖子內段興安小段,1.61,都市：住,30,1,持分移轉,03620037
RPQOMLPJLHLGFAI28CB,竹村段,112.64,都市：住,1,1,全筆移轉,05390001
RPPNMLKKLHLGFAI67CB,湖子內段新民小段,1.74,都市：商,10000,75,持分移轉,02280000
RPPNMLKKLHLGFAI67CB,湖子內段新民小段,16.07,都市：商,10000,75,持分移轉,02290000
RPOOMLPJLHLGFAI08CB,竹村段,117.70,都市：住,1,1,全筆移轉,05390008
RPOOMLPJLHLGFAI08CB,竹村段,19.84,都市：住,1000,42,持分移轉,05340000
RPXNMLPJLHLGFAI88CB,竹村段,117.70,都市：住,1,1,全筆移轉,05390007
RPVNMLPJLHLGFAI68CB,竹村段,117.70,都市：住,1,1,全筆移轉,05390009
RPXNMLPJLHLGFAI88CB,竹村段,19.84,都市：住,1000,42,持分移轉,05340000
RPVNMLPJLHLGFAI68CB,竹村段,19.84,都市：住,1000,42,持分移轉,05340000
RPQNMLOJLHLGFAI08CB,湖子內段新民小段,18.50,都市：商,100000,886,持分移轉,00310000
