編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOLKHLGFAI08CB,一樓平面,1300000,11.81,一樓
RPRNMLOJLHLGFAI18CB,坡道平面,1450000,30.16,地下三樓
RPQNMLNKKHLGFAI97CB,坡道平面,1950000,42.54,地下一樓
RPPNMLNJLHLGFAI87CB,一樓平面,0,12.65,一樓
RPPNMLKKLHLGFAI67CB,坡道平面,1550000,30.16,地下二樓
RPQNMLOJLHLGFAI08CB,坡道機械,700000,12.89,地下二樓
RPSNMLOJLHLGFAI28CB,坡道平面,1550000,30.16,地下二樓
RPPNMLOJLHLGFAI97CB,坡道平面,1550000,30.16,地下二樓
RPQNMLNJLHLGFAI97CB,一樓平面,0,13.75,一樓
RPQNMLNJLHLGFAI97CB,一樓平面,0,13.75,一樓
RPTNMLOJLHLGFAI38CB,坡道機械,700000,12.89,地下二樓
RPQNMLQKLHLGFAI38CB,坡道平面,1300000,24.79,地下二樓
RPQNMLRKLHLGFAI48CB,坡道平面,1400000,24.79,地下一樓
RPPNMLQKLHLGFAI28CB,坡道平面,1300000,24.79,地下二樓
RPSNMLQKLHLGFAI58CB,坡道平面,1300000,28.72,地下一樓
RPRNMLRKLHLGFAI58CB,其他,0,,一樓
RPPNMLSKLHLGFAI48CB,一樓平面,0,,一樓
RPPNMLRKLHLGFAI38CB,坡道機械,700000,12.89,地下二樓
RPQNMLSKLHLGFAI58CB,一樓平面,0,,一樓
RPPNMLKLLHLGFAI77CB,坡道平面,1650000,30.16,地下一樓
RPXNMLOLLHLGFAI98CB,坡道平面,1900000,24.75,地下一樓
RPWNMLOLLHLGFAI88CB,坡道平面,1550000,22.77,地下二樓
RPTNMLOLLHLGFAI58CB,坡道平面,2000000,27.00,地下一樓
RPQNMLOLLHLGFAI28CB,坡道平面,1800000,24.75,地下一樓
RPPNMLNLLHLGFAI08CB,一樓平面,1300000,13.77,一樓
RPOOMLOLLHLGFAI18CB,坡道平面,1800000,24.75,地下二樓
RPRNMLOLLHLGFAI38CB,坡道平面,1950000,24.75,地下一樓
RPVNMLOLLHLGFAI78CB,坡道平面,2000000,24.75,地下一樓
RPRNMLKLLHLGFAI97CB,一樓平面,0,13.75,一樓
RPRNMLKLLHLGFAI97CB,一樓平面,0,13.75,一樓
RPPNMLOLLHLGFAI18CB,升降機械,1000000,16.32,一樓
RPPOMLOLLHLGFAI28CB,升降機械,1150000,16.32,一樓
RPQOMLOLLHLGFAI38CB,坡道平面,1700000,24.75,地下二樓
RPSNMLOLLHLGFAI48CB,坡道平面,1850000,24.75,地下二樓
RPUNMLOLLHLGFAI68CB,坡道平面,1850000,24.75,地下二樓
RPRNMLQLLHLGFAI58CB,坡道平面,2000000,35.22,地下二樓
RPPNMLRLLHLGFAI48CB,坡道平面,1300000,24.79,地下二樓
RPQNMLRLLHLGFAI58CB,坡道平面,1450000,29.01,地下二樓
RPSNMLRLLHLGFAI78CB,坡道平面,1300000,24.79,地下二樓
RPPNMLKMLHLGFAI87CB,坡道平面,1300000,28.43,地下二樓
RPRNMLRLLHLGFAI68CB,坡道平面,1450000,30.16,地下三樓
RPPOMLRLLHLGFAI58CB,坡道平面,2100000,35.22,地下一樓
RPUNMLRLLHLGFAI98CB,坡道平面,2100000,35.22,地下一樓
RPOOMLRLLHLGFAI48CB,坡道平面,1900000,35.22,地下三樓
RPVNMLRLLHLGFAI09CB,坡道平面,2000000,35.22,地下二樓
RPXNMLRLLHLGFAI66CB,坡道平面,1850000,25.75,地下一樓
