編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLNLKHLGFAI58CC,27,135.13,住家用,鋼筋混凝土造,88年1月15日,五層,,
RPUNMLNLKHLGFAI58CC,27,29.27,共有部份,鋼筋混凝土造,88年1月15日,五層,,
RPSNMLOLKHLGFAI48CC,32,145.50,住商用,鋼筋混凝土造,82年10月12日,三層,,
RPWNMLOLKHLGFAI88CC,32,101.28,住家用,鋼筋混凝土造,82年12月7日,七層,,
RPWNMLOLKHLGFAI88CC,32,29.82,共有部份,鋼筋混凝土造,82年12月7日,七層,,
RPOOMLNLKHLGFAI08CC,31,22.11,住家用,鋼筋混凝土造,84年1月25日,七層,,
RPUNMLOLKHLGFAI68CC,43,63.03,住家用,鋼筋混凝土造,72年5月7日,五層,,
RPOOMLNLKHLGFAI08CC,31,6.70,共有部份,鋼筋混凝土造,84年1月25日,七層,,
RPTNMLOLKHLGFAI58CC,29,47.12,辦公室,鋼筋混凝土造,86年4月18日,十二層,,
RPUNMLOLKHLGFAI68CC,43,6.80,共有部份,鋼筋混凝土造,72年5月7日,五層,,
RPTNMLOLKHLGFAI58CC,29,19.70,共有部份,鋼筋混凝土造,86年4月18日,十二層,,
RPTNMLOLKHLGFAI58CC,29,16.52,共有部份,鋼筋混凝土造,86年4月18日,十二層,,
RPQNMLNLKHLGFAI18CC,31,212.54,住家用,鋼筋混凝土造,84年7月13日,五層,,
RPTNMLNKKHLGFAI38CC,27,27.51,住家用,鋼筋混凝土造,88年4月21日,十四層,,
RPTNMLNKKHLGFAI38CC,27,11.62,共有部份,鋼筋混凝土造,88年4月21日,十四層,,
RPPNMLNLKHLGFAI08CC,37,32.24,住家用,鋼筋混凝土造,78年1月17日,七層,,
RPPNMLNLKHLGFAI08CC,37,5.06,共有部份,鋼筋混凝土造,78年1月17日,七層,,
RPRNMLOLKHLGFAI38CC,37,21.28,住家用,鋼筋混凝土造,78年2月3日,七層,,
RPRNMLOLKHLGFAI38CC,37,10.47,共有部份,鋼筋混凝土造,78年2月3日,七層,,
RPQOMLOLKHLGFAI38CC,29,36.20,住家用,鋼筋混凝土造,86年3月17日,十二層,,
RPQOMLOLKHLGFAI38CC,29,21.50,共有部份,鋼筋混凝土造,86年3月17日,十二層,,
RPQOMLOLKHLGFAI38CC,29,7.44,共有部份,鋼筋混凝土造,86年3月17日,十二層,,
RPPNMLPLKHLGFAI28CC,37,31.03,住家用,鋼筋混凝土造,77年9月24日,十層,,
RPPNMLPLKHLGFAI28CC,37,2.85,共有部份,鋼筋混凝土造,77年9月24日,十層,,
RPPNMLPLKHLGFAI28CC,37,3.96,共有部份,鋼筋混凝土造,77年9月24日,十層,,
RPROMLOLKHLGFAI48CC,30,97.56,住家用,鋼筋混凝土造,85年5月10日,十層,,
RPROMLOLKHLGFAI48CC,30,55.59,停車空間,鋼筋混凝土造,85年5月10日,十層,,
RPROMLOLKHLGFAI48CC,30,30.02,共有部份,鋼筋混凝土造,85年5月10日,十層,,
RPRNMLPLKHLGFAI48CC,18,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,,
RPRNMLPLKHLGFAI48CC,18,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,
RPTNMLPLKHLGFAI68CC,28,70.00,住家用,鋼筋混凝土造,86年11月20日,十二層,,
RPVNMLPLKHLGFAI88CC,35,24.57,住家用,鋼筋混凝土造,80年1月4日,六層,,
RPOOMLOLKHLGFAI18CC,29,97.52,住家用,鋼筋混凝土造,86年2月3日,八層,,
RPVNMLPLKHLGFAI88CC,35,5.90,共有部份,鋼筋混凝土造,80年1月4日,六層,,
RPTNMLPLKHLGFAI68CC,28,23.65,共有部份,鋼筋混凝土造,86年11月20日,十二層,,
RPOOMLOLKHLGFAI18CC,29,25.12,防空避難室、梯間、機械房、停車空間,鋼筋混凝土造,86年2月3日,八層,,
RPUNMLPLKHLGFAI78CC,8,9.62,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPUNMLPLKHLGFAI78CC,8,3.31,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,
RPPNMLNKKHLGFAI97CC,34,43.39,住家用,鋼筋混凝土造,80年11月2日,六層,,
RPPNMLNKKHLGFAI97CC,34,14.67,共有部份,鋼筋混凝土造,80年11月2日,六層,,
RPSNMLPLKHLGFAI58CC,8,9.62,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
