編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLLKLHLGFAI68CC,坡道機械,0,14.31,地下二樓
RPQNMLMKLHLGFAI08CC,坡道平面,0,,地下一樓
RPTNMLNKLHLGFAI48CC,坡道平面,0,28.25,地下二樓
RPUOMLQKLHLGFAI98CC,坡道平面,0,26.72,地下一樓
RPVNMLNLLHLGFAI78CC,坡道平面,0,,地下三樓
RPPNMLOLLHLGFAI28CC,坡道機械,0,,地下一樓
RPQNMLOLLHLGFAI38CC,坡道平面,0,29.28,地下三樓
RPPNMLLJMHLGFAI87CC,坡道平面,0,29.28,地下三樓
RPWOMLLJMHLGFAI68CC,一樓平面,1200,,一樓
RPWPMLLJMHLGFAI78CC,坡道平面,0,19.95,地下一樓
RPWNMLMJMHLGFAI68CC,一樓平面,1200,13.83,一樓
RPUNMLMJMHLGFAI48CC,坡道平面,0,,地下二樓
RPQNMLTJMHLGFAI78CC,坡道平面,0,29.28,地下一樓
RPRNMLSJMHLGFAI78CC,坡道平面,1040,,地下二樓
RPRNMLTJMHLGFAI88CC,坡道平面,0,35.18,地下三樓
RPRNMLPKMHLGFAI58CC,坡道機械,0,15.04,地下二樓
RPSNMLMLMHLGFAI48CC,坡道平面,0,35.18,地下三樓
RPTNMLLLMHLGFAI48CC,坡道平面,0,,地下二樓
RPRNMLMLMHLGFAI38CC,坡道平面,0,33.97,地下一樓
RPTNMLMLMHLGFAI58CC,坡道平面,0,33.97,地下一樓
RPVNMLNLMHLGFAI88CC,坡道平面,0,29.28,地下一樓
RPTNMLNLMHLGFAI68CC,坡道平面,0,29.28,地下二樓
RPQNMLPKNHLGFAI58CC,坡道機械,0,15.04,地下二樓
RPPNMLLLNHLGFAI28DC,坡道平面,0,,地下二樓
RPWNMLKLNHLGFAI78CC,坡道平面,0,28.37,地下三樓
RPVNMLRLNHLGFAI76CC,坡道平面,0,26.72,地下一樓
