鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新豐鄉,土地,後湖段坡子頭小段276-4地號,37.75,,特定農業區,農牧用地,1150505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,97070,2571,,0.0,0,,RPQNMLRJNHLGFDJ98DA,0.0,0.0,0.0,無,0001
芎林鄉,土地,上山壹段196地號,66.2,,山坡地保育區,丙種建築用地,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2402925,36298,,0.0,0,,RPRNMLSJNHLGFCJ56EA,0.0,0.0,0.0,無,0002
寶山鄉,土地,園區段669-20地號,100.61,住,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,59636,,0.0,0,,RPPNMLLKNHLGFCJ38EA,0.0,0.0,0.0,無,0003
峨眉鄉,房地(土地+建物),新竹縣峨眉鄉太平街８巷２弄１６號,90.76,,山坡地保育區,丙種建築用地,1150502,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,122.04,7,1,3,有,無,2800000,22943,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；急買急賣；,RPQNMLMKNHLGFCJ58EA,122.04,0.0,0.0,無,
峨眉鄉,土地,中盛段529地號,450.9,,山坡地保育區,農牧用地,1150503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,998,,0.0,0,,RPSNMLNKNHLGFCJ88EA,0.0,0.0,0.0,無,
新豐鄉,土地,振興段977地號,329.63,都市：其他:道路用地,,,1150502,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9678714,29362,,0.0,0,包含公共設施保留地用地；,RPQNMLSJNHLGFDJ09DA,0.0,0.0,0.0,無,
湖口鄉,土地,長威段1159地號,27.57,,特定農業區,農牧用地,1150501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,350000,12695,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJNHLGFDJ56DA,0.0,0.0,0.0,無,
芎林鄉,土地,上山壹段196地號,94.81,,山坡地保育區,丙種建築用地,1150505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3441600,36300,,0.0,0,,RPRNMLNKNHLGFCJ78EA,0.0,0.0,0.0,無,0002
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政二路南段１３１號,19.15,住,,,1150506,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1011025,117.92,0,2,2,有,有,20000000,169607,坡道平面,22.39,0,,RPPNMLSKNHLGFBJ98EA,60.31,0.0,6.56,有,0005
