編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLKLNHLGFBJ38EA,11,48.02,住家用,鋼筋混凝土造,104年1月7日,十五層,六層 陽台 雨遮,持分移轉
RPQNMLKLNHLGFBJ38EA,11,33.67,本共有部分之項目有停車空間、水箱、消防機房、污水機房、防空避難室兼停車空間、台電配電場所  電信室、發電機室、環保室、開放空間、梯間、水錶室、機械室、水箱等十四項,鋼筋混凝土造,104年1月7日,十五層,,持分移轉
RPQNMLKLNHLGFBJ38EA,11,9.98,本共有部分之項目有梯間等一項,鋼筋混凝土造,104年1月7日,十五層,,持分移轉
RPPNMLSKNHLGFBJ98EA,14,66.87,商業用,鋼筋混凝土造,101年10月25日,十二層,一層 陽台,全筆移轉
RPPNMLSKNHLGFBJ98EA,14,11.44,本共有部分之項目有樓梯間、機械室、水箱等三項。,鋼筋混凝土造,101年10月25日,十二層,,持分移轉
RPPNMLSKNHLGFBJ98EA,14,39.61,本共有部分之項目有防空避難室兼停車空間、管委會使用空間等二項。,鋼筋混凝土造,101年10月25日,十三層,,持分移轉
RPPNMLKLNHLGFBJ28EA,18,182.34,住家用,鋼筋混凝土造,97年8月25日,十三層,三層 陽台 雨遮,全筆移轉
RPPNMLKLNHLGFBJ28EA,18,84.27,共有部分,鋼筋混凝土造,97年8月25日,十三層,,持分移轉
RPPNMLKLNHLGFBJ28EA,18,28.03,共有部分,鋼筋混凝土造,97年8月25日,十三層,,持分移轉
RPXNMLPKNHLGFBJ76DA,21,22.13,商業用,鋼筋混凝土造,93年12月22日,七層,六層,全筆移轉
RPXNMLPKNHLGFBJ76DA,21,13.12,共有部分,鋼筋混凝土造,93年12月22日,七層,,持分移轉
RPSNMLKLNHLGFBJ48DA,14,223.29,住家用,鋼筋混凝土造,101年10月30日,二十四層,十四層 陽台 雨遮,全筆移轉
RPSNMLKLNHLGFBJ48DA,14,176.98,本共有部分之項目有防空避難室兼停車空間、開放空間、梯間、機械室、水箱等五項,鋼筋混凝土造,101年10月30日,二十四層,,持分移轉
RPTTMLLKNHLGFDJ76DA,46,128.00,住家用,加強磚造,69年6月6日,二層,一層 二層,全筆移轉
RPWNMLMKNHLGFBJ98DA,17,.03,管理員室,鋼筋混凝土造,98年1月21日,十三層,一層,持分移轉
RPWNMLMKNHLGFBJ98DA,17,32.23,共有部分,鋼筋混凝土造,98年1月21日,十三層,,持分移轉
RPVNMLKLNHLGFDJ98DA,12,159.84,住家用,鋼筋混凝土造,103年6月16日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLTKNHLGFDJ76DA,10,60.99,集合住宅,鋼筋混凝土造,105年8月10日,六層,四層 陽台 雨遮,全筆移轉
