編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLKLNHLGFBJ38EA,坡道平面,0,,地下二樓
RPPNMLSKNHLGFBJ98EA,坡道平面,0,22.39,地下二樓
RPPNMLKLNHLGFBJ28EA,坡道平面,0,,地下二樓
RPPNMLKLNHLGFBJ28EA,坡道平面,0,,地下二樓
RPSNMLKLNHLGFBJ48DA,坡道平面,0,26.15,地下一樓
RPSNMLKLNHLGFBJ48DA,坡道平面,0,26.15,地下一樓
RPSNMLKLNHLGFBJ48DA,坡道平面,0,26.15,地下二樓
RPWNMLMKNHLGFBJ98DA,坡道平面,2000000,32.26,地下一樓
RPRNMLTKNHLGFDJ76DA,升降機械,0,,一樓
RPWNMLKLNHLGFDJ09DA,坡道平面,0,,地下一樓
RPOOMLPJNHLGFBJ48DA,坡道平面,0,30.35,地下一樓
RPXNMLLLNHLGFBJ09DA,坡道平面,0,29.31,地下二樓
RPXNMLLLNHLGFBJ09DA,坡道平面,0,29.31,地下二樓
RPPOMLSKNHLGFBJ98DA,一樓平面,2000000,15.00,一樓
RPUNMLSKNHLGFDJ96DA,坡道機械,0,34.34,地下一樓
RPVNMLPLNHLGFDJ86DA,坡道平面,0,26.79,地下二樓
RPPNMLLKNHLGFBJ18DA,坡道平面,500000,25.54,地下一樓
RPPNMLLKNHLGFBJ18DA,坡道平面,500000,25.54,地下一樓
RPTNMLOJOHLGFBJ88DA,坡道機械,0,18.41,地下二樓
RPQNMLPJOHLGFBJ68DA,坡道平面,0,29.41,地下一樓
RPXNMLTJMHLGFBJ96DA,坡道平面,0,32.09,地下二樓
RPXNMLTJMHLGFBJ96DA,坡道平面,0,32.09,地下二樓
RPXNMLTJMHLGFBJ96DA,坡道平面,0,32.09,地下二樓
RPOOMLRKMHLGFBJ68DA,坡道平面,1500000,,地下一樓
RPOOMLRKMHLGFBJ68DA,坡道平面,1500000,,地下一樓
RPROMLNLMHLGFBJ68DA,一樓平面,2500000,25.36,一樓
RPROMLNLMHLGFBJ68DA,一樓平面,2500000,25.36,一樓
RPWNMLPJNHLGFBJ56DA,坡道機械,0,,地下四樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下一樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下二樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下二樓
RPXNMLPKMHLGFBJ66DA,坡道平面,0,31.33,地下二樓
RPOOMLSLMHLGFBJ88DA,坡道平面,0,27.66,地下四樓
RPWNMLRLMHLGFDJ07DA,坡道平面,0,,地下一樓
RPPOMLPJNHLGFBJ58DA,坡道平面,0,,地下二樓
RPPOMLPJNHLGFBJ58DA,坡道平面,0,,地下二樓
RPVNMLOJNHLGFDJ56DA,升降機械,0,,一樓
RPRNMLMKNHLGFCJ68EA,坡道平面,0,,地下一樓
RPPOMLRJNHLGFBJ78DA,坡道平面,0,39.71,地下二樓
RPTNMLRJNHLGFDJ66DA,坡道平面,1460000,22.23,地下二樓
RPPNMLNKMHLGFCJ38DA,坡道平面,0,,地下一樓
RPPNMLNKMHLGFCJ38DA,坡道平面,0,,地下一樓
RPUSMLRLMHLGFCJ27DA,坡道平面,0,30.57,地下二樓
RPTQMLTJMHLGFBJ86DA,坡道平面,0,39.66,地下一樓
RPTQMLTJMHLGFBJ86DA,坡道平面,0,39.66,地下一樓
RPXNMLOJNHLGFDJ76DA,坡道平面,0,,地下二樓
RPRNMLNKNHLGFBJ68EA,坡道平面,0,26.43,地下二樓
RPQNMLSJNHLGFCJ98DA,坡道平面,0,,地下一樓
