鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉自立街32巷,27.49,住,,,1150213,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.88,3,2,2,有,無,12000000,90482,坡道平面,30.94,1600000,,RPQNMLNKKHLGFDJ38CB,聯懋萃豐苑,A7棟5F號,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉水仙路,235.47,,山坡地保育區,丙種建築用地,1150213,土地18建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.25,1,1,2,有,無,25270000,158681,其他,0.0,600000,162-13地號面積427.56M?，分割後移轉257.44M?，253地號面積2789.22M?，分割後移轉720.88M?。,RPPNMLPLKHLGFCJ48CB,半畝野村1期公寓區,M5棟3B號,
寶山鄉,房地(土地+建物),新竹縣寶山鄉水仙路,738.38,,山坡地保育區,丙種建築用地,1150213,土地20建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,456.19,4,3,5,有,無,88000000,192902,,0.0,0,196-1地號面積1896.75M?分割後移轉379.21M?及50.51M?、162-13地號面積427.56M?分割後移轉257.44M?，253地號面積2789.22M?分割移轉720.88M?,RPQNMLPLKHLGFCJ58CB,半畝野村1期-別墅5、6區,D棟6號,
寶山鄉,房地(土地+建物),新竹縣寶山鄉水仙路,693.82,,山坡地保育區,丙種建築用地,1150213,土地18建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,402.63,4,1,5,有,無,73500000,182550,,0.0,0,162-13地號面積427.56M?分割後移轉257.44M?，253地號面積2789.22M?分割移轉720.88M?,RPRNMLPLKHLGFCJ68CB,半畝野村1期-別墅5、6區,S棟8號,
寶山鄉,房地(土地+建物),新竹縣寶山鄉水仙路,508.64,,山坡地保育區,丙種建築用地,1150225,土地19建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,246.76,3,2,4,有,無,38200000,154806,,0.0,0,162-13地號面積427.56M?分割後移轉257.44M?，253地號面積2789.22M?分割移轉720.88M?,RPPNMLMJLHLGFCJ08CB,半畝野村1期-別墅4區,B棟3號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興二路,26.19,住,,,1150228,土地11建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.43,3,2,2,有,無,32800000,258165,坡道平面,40.0,3000000,,RPRNMLNJLHLGFBJ28CB,鴻湛,B-03F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,26.45,住,,,1150211,土地7建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.99,3,2,2,有,無,29200000,215764,坡道平面,30.78,2400000,,RPPNMLPJLHLGFBJ28CB,太睿春天,A棟7F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,27.61,住,,,1150211,土地7建物1車位2,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,190.87,3,2,2,有,無,31560000,211585,坡道平面,61.56,4200000,,RPQNMLPJLHLGFBJ38CB,太睿春天,D棟1F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.52,住,,,1150211,土地7建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.61,3,2,2,有,無,28350000,214888,坡道平面,30.78,2600000,,RPRNMLPJLHLGFBJ48CB,太睿春天,D棟7F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.52,住,,,1150212,土地7建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.61,3,2,2,有,無,28520000,217975,坡道平面,30.78,2400000,,RPTNMLPJLHLGFBJ68CB,太睿春天,D棟15F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山二街168號對面,30.64,住,,,1150214,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.02,3,2,2,有,無,16010000,115728,坡道平面,29.8,1750000,,RPPNMLPJLHLGFDJ48CB,旭昇,A1棟12F號,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,56.81,,山坡地保育區,丙種建築用地,1150220,土地1建物1車位2,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,182.83,4,2,2,有,無,22350000,138620,坡道平面,43.24,3000000,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之20.44。,RPPNMLSJLHLGFCJ68CB,宏道新竹帝寶6區1號,A3棟3F號,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙林路,54.72,,山坡地保育區,丙種建築用地,1150215,土地1建物1車位2,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,181.99,3,2,2,有,無,22890000,150163,坡道平面,50.2,3100000,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之19.69。,RPQNMLSJLHLGFCJ78CB,宏道新竹帝寶6區2號,H3棟4F號,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮東安段434-1地號,68.09,住,,,1150302,土地1建物1車位1,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,322.03,2,0,1,有,無,18000000,58441,坡道平面,34.56,1200000,,RPPNMLTJLHLGFBJ68CB,寶金NO.3京品藝墅,S棟2號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,26.45,住,,,1150225,土地7建物1車位2,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.77,3,2,2,有,無,31850000,217776,坡道平面,61.56,4800000,,RPPNMLKKLHLGFBJ87CB,太睿春天,A棟10F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,26.45,住,,,1150224,土地7建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.99,3,2,2,有,無,29620000,217535,坡道平面,30.78,2600000,,RPQNMLKKLHLGFBJ97CB,太睿春天,A棟11F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.81,住,,,1150223,土地7建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.98,3,2,2,有,無,28190000,213614,坡道平面,30.78,2300000,,RPRNMLKKLHLGFBJ08CB,太睿春天,B棟5F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.81,住,,,1150226,土地7建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.98,3,2,2,有,無,28460000,216667,坡道平面,30.78,2200000,,RPSNMLKKLHLGFBJ18CB,太睿春天,B棟8F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.81,住,,,1150225,土地7建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.98,3,2,2,有,無,28800000,217822,坡道平面,30.78,2400000,,RPTNMLKKLHLGFBJ28CB,太睿春天,B棟10F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.52,住,,,1150302,土地7建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.61,3,2,2,有,無,28260000,215806,坡道平面,30.78,2400000,,RPUNMLKKLHLGFBJ38CB,太睿春天,D棟8F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.52,住,,,1150223,土地7建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.61,3,2,2,有,無,28200000,216974,坡道平面,30.78,2200000,,RPVNMLKKLHLGFBJ48CB,太睿春天,D棟10F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉德興路242巷68弄15號旁,39.54,,一般農業區,甲種建築用地,1150215,土地3建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.19,3,2,2,有,無,11700000,88381,坡道平面,23.78,1500000,,RPPNMLKKLHLGFDJ08CB,湖心繪,B5棟3F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路一段,32.55,商,,,1150310,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.66,3,2,2,有,無,33100000,245568,坡道機械,24.06,1520000,,RPPNMLLKLHLGFBJ97CB,庫勒修,A棟4號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市長青路一段375巷旁,23.55,,鄉村區,乙種建築用地,1150226,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.16,2,2,2,有,無,8880000,68752,坡道平面,34.35,0,,RPQNMLLKLHLGFBJ08CB,微上,C棟2F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市長青路一段375巷旁,23.55,,鄉村區,乙種建築用地,1150301,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.16,2,2,2,有,無,8880000,68752,坡道平面,34.35,0,,RPRNMLLKLHLGFBJ18CB,微上,C棟3F號,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉水仙路,235.47,,山坡地保育區,丙種建築用地,1150305,土地18建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.25,1,1,2,有,無,23830000,149639,其他,0.0,600000,162-13地號面積427.56M?，分割後移轉257.44M?，253地號面積2789.22M?，分割後移轉720.88M?。,RPPNMLMKLHLGFCJ18CB,半畝野村1期公寓區,M5棟2B號,
寶山鄉,房地(土地+建物),新竹縣寶山鄉水仙路,494.38,,山坡地保育區,丙種建築用地,1150305,土地19建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,246.76,3,2,4,有,無,38110000,154442,,0.0,0,162-13地號面積427.56M?分割後移轉257.44M?，253地號面積2789.22M?分割移轉720.88M?,RPQNMLMKLHLGFCJ28CB,半畝野村1期-別墅4區,B棟5號,
寶山鄉,房地(土地+建物),新竹縣寶山鄉水仙路,523.13,,山坡地保育區,丙種建築用地,1150305,土地20建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,246.76,3,2,4,有,無,39570000,160358,,0.0,0,162-13地號面積427.56M?分割後移轉257.44M?，253地號面積2789.22M?分割移轉720.88M?,RPRNMLMKLHLGFCJ38CB,半畝野村1期-別墅4區,B棟6號,
湖口鄉,房地(土地+建物),新竹縣湖口鄉中平路一段89巷1弄8號旁,17.0,住,,,1150214,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,57.03,1,1,1,有,無,5160000,90479,,0.0,0,,RPPNMLNKLHLGFDJ38CB,徜青樹,A棟5F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中平路一段89巷8號旁,17.0,住,,,1150215,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.18,1,1,1,有,無,6230000,85509,升降機械,10.11,1350000,,RPQNMLNKLHLGFDJ48CB,徜青樹,B棟2F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中山二街168號對面,30.64,住,,,1150226,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.15,3,2,2,有,無,16150000,117552,坡道平面,29.8,1650000,,RPRNMLNKLHLGFDJ58CB,旭昇,A6棟12F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,26.45,住,,,1150223,土地7建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.99,3,2,2,有,無,28940000,213670,坡道平面,30.78,2400000,,RPPNMLQKLHLGFBJ48CB,太睿春天,A棟5F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,26.45,住,,,1150308,土地7建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.99,3,2,2,有,無,29500000,216569,坡道平面,30.78,2600000,,RPQNMLQKLHLGFBJ58CB,太睿春天,A棟8F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.52,住,,,1150305,土地7建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.61,3,2,2,有,無,28620000,217141,坡道平面,30.78,2600000,,RPRNMLQKLHLGFBJ68CB,太睿春天,D棟9F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.52,住,,,1150307,土地7建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.61,3,2,2,有,無,28560000,218309,坡道平面,30.78,2400000,,RPSNMLQKLHLGFBJ78CB,太睿春天,D棟11F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,25.52,住,,,1150307,土地7建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.61,3,2,2,有,無,28610000,218727,坡道平面,30.78,2400000,,RPTNMLQKLHLGFBJ88CB,太睿春天,D棟13F號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光武段1地號等2筆地號,16.49,住,,,1150312,土地2建物1車位2,十七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,172.33,3,2,2,有,無,22520000,160624,坡道平面,59.52,4400000,,RPPNMLQKLHLGFCJ58CB,富宇東方大境,B5棟17號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉健康街,39.39,住,,,1150221,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.46,3,2,2,有,無,12580000,94979,一樓平面,13.75,1400000,,RPPNMLRKLHLGFDJ78CB,沐玥,B棟3號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中泰路,15.3,商,,,1150305,土地2建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.11,3,2,2,有,無,24600000,188744,坡道平面,34.02,2500000,,RPPNMLTKLHLGFBJ78CB,鋐之丘,A2棟11號,
竹北市,房地(土地+建物),新竹縣竹北市中泰路,9.49,商,,,1150307,土地2建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.57,2,2,1,有,無,13280000,182996,,0.0,0,,RPQNMLTKLHLGFBJ88CB,鋐之丘,B5棟9號,
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉富林段183地號,26.06,,特定農業區,甲種建築用地,1150302,土地1建物1車位2,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,166.4,2,2,1,有,無,18040000,146573,坡道平面,67.2,3500000,,RPPNMLTKLHLGFCJ88CB,又一春,C棟8號,
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉富林段183地號,26.06,,特定農業區,甲種建築用地,1150305,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.8,2,2,1,有,無,16010000,144758,坡道平面,33.6,1650000,,RPQNMLTKLHLGFCJ98CB,又一春,D棟6號,
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉富林段183地號,26.06,,特定農業區,甲種建築用地,1150310,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.8,2,2,1,有,無,16200000,145665,坡道平面,33.6,1750000,,RPRNMLTKLHLGFCJ09CB,又一春,C棟7號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中正三街達生七街,28.09,住,,,1150223,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.97,3,2,2,有,無,13600000,107185,坡道平面,26.48,1650000,,RPPNMLTKLHLGFDJ98CB,益欣悠陽,A5棟6F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段,26.45,住,,,1150314,土地7建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.99,3,2,2,有,無,28420000,211094,坡道平面,30.78,2200000,,RPPNMLKLLHLGFBJ97CB,太睿春天,A棟2F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中興段中興小段206地號,23.05,,工業區,丁種建築用地,1150305,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.33,3,2,2,有,無,14000000,117310,坡道平面,32.48,1700000,,RPPNMLKLLHLGFDJ28DB,襄鄰,H棟11號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中湖段676，676-1地號,27.79,住,,,1150305,土地2建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.3,3,2,2,有,無,16580000,117286,坡道平面,25.26,1680000,,RPPNMLLLLHLGFDJ28CB,鼎極築賦,B棟6號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市國盛街,17.1,住,,,1150307,土地19建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.65,2,2,2,有,無,17530000,170236,坡道平面,36.13,1950000,,RPPNMLNLLHLGFBJ28CB,峻勝文化首勝,B-11F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市國盛街,17.1,住,,,1150313,土地19建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.65,2,2,2,有,無,17940000,174716,坡道平面,36.13,1950000,,RPQNMLNLLHLGFBJ38CB,峻勝文化首勝,D-13F號,
