編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLKKLHLGFBJ18CB,坡道平面,2200000,30.78,地下三樓
RPTNMLPJLHLGFBJ68CB,坡道平面,2400000,30.78,地下二樓
RPQNMLKKLHLGFBJ97CB,坡道平面,2600000,30.78,地下一樓
RPUNMLKKLHLGFBJ38CB,坡道平面,2400000,30.78,地下二樓
RPPNMLKKLHLGFBJ87CB,坡道平面,2400000,30.78,地下二樓
RPPNMLKKLHLGFBJ87CB,坡道平面,2400000,30.78,地下二樓
RPQNMLSJLHLGFCJ78CB,坡道平面,1550000,25.10,地下二樓
RPQNMLSJLHLGFCJ78CB,坡道平面,1550000,25.10,地下二樓
RPTNMLKKLHLGFBJ28CB,坡道平面,2400000,30.78,地下二樓
RPRNMLLKLHLGFBJ18CB,坡道平面,0,34.35,地下二樓
RPQNMLLKLHLGFBJ08CB,坡道平面,0,34.35,地下二樓
RPPNMLLKLHLGFBJ97CB,坡道機械,1520000,24.06,一樓
RPVNMLKKLHLGFBJ48CB,坡道平面,2200000,30.78,地下三樓
RPQNMLPJLHLGFBJ38CB,坡道平面,2200000,30.78,地下三樓
RPQNMLPJLHLGFBJ38CB,坡道平面,2000000,30.78,地下三樓
RPRNMLNJLHLGFBJ28CB,坡道平面,3000000,40.00,地下二樓
RPPNMLSJLHLGFCJ68CB,坡道平面,1500000,21.62,地下二樓
RPPNMLSJLHLGFCJ68CB,坡道平面,1500000,21.62,地下二樓
RPRNMLPJLHLGFBJ48CB,坡道平面,2600000,30.78,地下一樓
RPPNMLPJLHLGFBJ28CB,坡道平面,2400000,30.78,地下二樓
RPPNMLPLKHLGFCJ48CB,其他,600000,,一樓
RPRNMLKKLHLGFBJ08CB,坡道平面,2300000,30.78,地下二樓
RPPNMLTJLHLGFBJ68CB,坡道平面,1200000,34.56,地下二樓
RPQNMLQKLHLGFBJ58CB,坡道平面,2600000,30.78,地下一樓
RPPNMLQKLHLGFBJ48CB,坡道平面,2400000,30.78,地下二樓
RPSNMLQKLHLGFBJ78CB,坡道平面,2400000,30.78,地下二樓
RPRNMLQKLHLGFBJ68CB,坡道平面,2600000,30.78,地下一樓
