編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMJLHLGFBJ28CC,隘興段,46.72,都市：住,,,,06440000
RPPNMLOLKHLGFDJ58CC,汶山段,265.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00210001
RPQNMLNKKHLGFCJ38CC,雙高段,41.34,都市：住,,,,00640000
RPPNMLOLLHLGFBJ58DC,永興段,108.68,都市：住,,,,01710000
RPQNMLQLLHLGFBJ78CC,公園段,42.24,都市：住,,,,12710000
RPQNMLQLLHLGFBJ78CC,公園段,8.55,都市：住,,,,12710005
RPQNMLQLLHLGFBJ78CC,公園段,12.20,都市：住,,,,12710006
RPPNMLLJMHLGFBJ08CC,三崁店段水坑口小段,100.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00750001
RPPNMLSJMHLGFDJ98CC,長威段,19.03,非都市：特定農業區 ; 非都市編定：農牧用地,,,,11200000
RPQNMLKKMHLGFDJ38CC,綠園段,35.96,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,11040001
RPPNMLOKMHLGFCJ58CC,寶中段,133.46,都市：住,,,,00560000
RPPNMLRKMHLGFCJ88CC,寶中段,133.46,都市：住,,,,00560000
RPPNMLKLMHLGFCJ28CC,上德段,109.13,都市：住,,,,02230000
RPPNMLLLMHLGFBJ28CC,文山段,2155.37,非都市：特定農業區 ; 非都市編定：農牧用地,,,,01400000
RPQNMLNLMHLGFCJ68CC,寶中段,133.46,都市：住,,,,00560000
RPQNMLRLMHLGFBJ98CC,和平段,315.00,都市：農,,,,12010000
RPPNMLRLMHLGFBJ88CC,國義段,307.21,都市：住,,,,01160000
RPUNMLOKMHLGFCJ56DC,寶中段,133.46,都市：住,,,,00560000
RPSNMLOKMHLGFCJ98DC,寶中段,133.46,都市：住,,,,00560000
RPTNMLOKMHLGFCJ09DC,寶中段,133.46,都市：住,,,,00560000
RPVNMLSKNHLGFBJ96CC,隘興段,9.31,都市：住,,,,07190000
RPPNMLPLNHLGFDJ98CC,中興段新興小段,3966.95,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00440000
RPWNMLRLNHLGFBJ07CC,隘興段,75.71,都市：住,,,,06220001
