編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLMJLHLGFBJ28CC,坡道平面,0,,地下一樓
RPQNMLNJLHLGFBJ28CC,坡道平面,0,32.73,地下二樓
RPUNMLNJLHLGFBJ68CC,坡道平面,4000,29.88,地下一樓
RPUNMLNJLHLGFBJ68CC,坡道平面,4000,29.88,地下一樓
RPUNMLNJLHLGFBJ68CC,坡道平面,4000,29.88,地下一樓
RPRNMLQLKHLGFBJ78CC,一樓平面,0,,一樓
RPPNMLOJLHLGFBJ28CC,坡道平面,0,33.81,地下二樓
RPRNMLTJLHLGFBJ98CC,坡道平面,0,31.02,地下三樓
RPRNMLTJLHLGFBJ98CC,坡道平面,0,31.02,地下三樓
RPPNMLTJLHLGFBJ78CC,升降平面,0,,地下一樓
RPQNMLKKLHLGFBJ08CC,升降機械,0,31.61,地下四樓
RPQNMLKKLHLGFBJ08CC,升降機械,0,31.61,地下四樓
RPPNMLKKLHLGFBJ97CC,坡道平面,0,25.95,地下五樓含以下
RPRNMLPJLHLGFDJ78CC,坡道平面,0,33.48,地下一樓
RPPNMLLKLHLGFBJ08CC,坡道機械,0,,地下一樓
RPPNMLKKLHLGFDJ18CC,坡道平面,0,22.43,地下一樓
RPPNMLMKLHLGFDJ38CC,一樓平面,0,28.94,一樓
RPQNMLQKLHLGFBJ68CC,一樓平面,0,,一樓
RPPNMLQJLHLGFBJ58DC,坡道平面,0,,地下三樓
RPPNMLQJLHLGFBJ58DC,坡道平面,0,,地下四樓
RPUNMLQKLHLGFBJ09CC,坡道平面,0,,地下一樓
RPPNMLRKLHLGFBJ68CC,坡道平面,0,38.12,地下二樓
RPRNMLQKLHLGFBJ78CC,坡道平面,0,36.64,地下二樓
RPVNMLQKLHLGFBJ56CC,坡道平面,0,,地下一樓
RPTNMLQKLHLGFBJ98CC,坡道平面,0,,地下一樓
RPSNMLQKLHLGFBJ88CC,坡道平面,0,30.03,地下五樓含以下
RPRNMLRKLHLGFBJ88CC,坡道平面,0,28.17,地下二樓
RPPNMLSKLHLGFDJ98CC,坡道平面,0,,一樓
RPPNMLNLLHLGFCJ48CC,坡道平面,0,27.60,地下二樓
RPPNMLNLLHLGFBJ38CC,坡道平面,0,35.27,地下二樓
RPTNMLNLLHLGFBJ78CC,坡道平面,0,30.69,地下三樓
RPRNMLNLLHLGFBJ58CC,坡道平面,0,25.10,地下二樓
RPUNMLNLLHLGFBJ88CC,坡道機械,0,,地下三樓
RPQNMLNLLHLGFBJ48CC,坡道平面,0,,地下二樓
RPQNMLOLLHLGFBJ58CC,坡道平面,0,,地下二樓
RPPNMLQLLHLGFCJ78CC,坡道平面,0,,地下一樓
RPTNMLPLLHLGFBJ98CC,坡道平面,0,28.33,地下一樓
RPQNMLQLLHLGFBJ78CC,坡道平面,0,,地下一樓
RPQNMLRLLHLGFBJ88CC,升降機械,3000,,地下一樓
RPRNMLQLLHLGFBJ88CC,坡道平面,0,,地下二樓
RPQNMLKMLHLGFBJ28CC,坡道平面,0,22.79,地下二樓
RPPNMLKMLHLGFCJ28CC,坡道平面,0,,地下一樓
RPPNMLKMLHLGFDJ38CC,一樓平面,0,16.96,一樓
RPVNMLKMLHLGFBJ78CC,坡道平面,0,18.84,地下二樓
RPQNMLLMLHLGFBJ38CC,一樓平面,0,,一樓
RPRNMLKMLHLGFBJ38CC,坡道平面,0,39.29,地下三樓
RPPNMLLJMHLGFBJ08CC,坡道平面,0,26.44,地下一樓
RPSNMLKMLHLGFBJ48CC,坡道平面,0,42.30,地下三樓
RPQNMLLJMHLGFBJ18CC,坡道平面,0,30.17,地下二樓
RPXNMLMJMHLGFBJ98CC,坡道平面,0,18.50,地下四樓
RPWNMLMJMHLGFBJ88CC,坡道平面,0,,地下二樓
RPWNMLMJMHLGFBJ88CC,坡道平面,0,,地下二樓
RPVNMLMJMHLGFBJ78CC,坡道機械,0,20.53,地下三樓
RPPNMLRJMHLGFBJ68CC,坡道平面,0,,地下一樓
RPSNMLRJMHLGFBJ98CC,坡道平面,0,,地下一樓
RPVNMLRJMHLGFBJ66CC,坡道平面,0,36.47,地下二樓
RPWNMLRJMHLGFBJ76CC,坡道平面,0,29.81,地下四樓
RPQNMLTJMHLGFDJ56CC,坡道平面,0,30.61,地下二樓
RPPNMLSJMHLGFDJ98CC,一樓平面,0,9.51,一樓
RPPNMLSJMHLGFDJ98CC,一樓平面,0,9.51,一樓
