編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLSJNHLGFBK76DA,館明段,74.09,都市：其他:住宅區,1,1,全筆移轉,00840019
RPPNMLSKNHLGFBK98DA,大坑段,123.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10800003
RPPNMLSKNHLGFBK98DA,大坑段,113.00,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,10810003
RPQNMLPJNHLGFBK68DA,為公段,36.02,都市：其他:道路用地,1,1,全筆移轉,07820000
RPWOMLPKNHLGFBK86DA,南勢坑段下南勢坑小段,2568.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07560016
RPQNMLNJOHLGFBK58DA,縣府段,30.63,都市：其他:住宅區,9,1,持分移轉,10090000
RPPNMLOJNHLGFEK78DA,新二湖段,25.97,非都市：山坡地保育區 ; 非都市編定：農牧用地,672,8,持分移轉,04540000
RPPNMLOJNHLGFEK78DA,新二湖段,16.25,非都市：山坡地保育區 ; 非都市編定：農牧用地,336,4,持分移轉,04570000
RPOPMLKLNHLGFBK38DA,文昌段,1.26,都市：其他:住宅區,6480,45,持分移轉,05460000
RPOPMLKLNHLGFBK38DA,文昌段,2.67,都市：其他:住宅區,6480,45,持分移轉,05490000
RPOPMLKLNHLGFBK38DA,文昌段,.66,都市：其他:住宅區,6480,45,持分移轉,05500000
RPPNMLTKNHLGFCK56DA,苑港段,64.67,非都市：特定農業區 ; 非都市編定：農牧用地,36,2,持分移轉,06180000
RPPNMLPKNHLGFCK78DA,西海段,2080.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04500000
RPPNMLTKNHLGFEK76DA,雙湖段,103.97,都市：其他:道路用地,3,1,持分移轉,09130000
