編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNJLHLGFFK98CB,德義段,27.13,都市：住,100000,989,持分移轉,02690000
RPRNMLMJLHLGFFK68CB,光華段,18.47,都市：商,100000,680,持分移轉,12380000
RPQNMLNKKHLGFFK68CB,後湖段,14.96,都市：商,100000,1774,持分移轉,11040000
RPSNMLNKKHLGFFK88CB,德義段,20.21,都市：住,100000,737,持分移轉,02690000
RPRNMLNJLHLGFFK78CB,德義段,27.13,都市：住,100000,989,持分移轉,02690000
RPQNMLNJLHLGFFK68CB,德義段,27.13,都市：住,100000,989,持分移轉,02690000
RPSNMLNJLHLGFFK88CB,德義段,20.24,都市：住,100000,738,持分移轉,02690000
RPPNMLNJLHLGFFK58CB,德義段,27.13,都市：住,100000,989,持分移轉,02690000
RPPNMLOLKHLGFFK78CB,蟠桃段忠孝小段,37.87,都市：住,100000,3523,持分移轉,01960000
RPPNMLMJLHLGFFK48CB,光華段,11.05,都市：商,100000,407,持分移轉,12380000
RPRNMLNKKHLGFFK78CB,後湖段,14.45,都市：商,100000,1713,持分移轉,11040000
RPUNMLNJLHLGFFK09CB,德義段,27.13,都市：住,100000,989,持分移轉,02690000
RPQNMLKKLHLGFFK48CB,後湖段,17.33,都市：商,100000,2055,持分移轉,11040000
RPPNMLKKLHLGFFK38CB,八德段,28.08,都市：住,10000,84,持分移轉,13960000
RPPNMLKKLHLGFFK38CB,信義段,.00,都市：住,10000,84,持分移轉,08640001
RPPNMLKKLHLGFFK38CB,信義段,.00,都市：住,10000,84,持分移轉,08640002
RPPNMLSJLHLGFDK88CB,龍椅段,54.98,都市：住,1,1,全筆移轉,02350003
RPPNMLSJLHLGFDK88CB,龍椅段,31.01,都市：住,22,1,持分移轉,02350006
RPQNMLMKLHLGFDK48CB,龍椅段,41.10,都市：住,100000,2946,持分移轉,03250000
RPQNMLNJLHLGFDK48CB,龍椅段,24.29,都市：住,100000,557,持分移轉,02060000
RPRNMLNJLHLGFDK58CB,龍椅段,45.88,都市：住,100000,1052,持分移轉,02060000
RPPNMLMKLHLGFDK38CB,龍椅段,48.07,都市：住,100000,3446,持分移轉,03250000
RPPNMLNKLHLGFDK48CB,廣源段,3.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,824,持分移轉,07070000
RPPNMLNKLHLGFDK48CB,廣源段,57.94,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,902,持分移轉,07140000
RPPNMLNKLHLGFDK48CB,廣源段,2.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,902,持分移轉,07130000
RPPNMLNKLHLGFDK48CB,廣源段,.64,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,897,持分移轉,07020000
RPQNMLNKLHLGFDK58CB,廣源段,3.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,824,持分移轉,07070000
RPPNMLNKLHLGFDK48CB,廣源段,2.10,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,319,持分移轉,07030000
RPQNMLNKLHLGFDK58CB,廣源段,57.94,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,902,持分移轉,07140000
RPPNMLNKLHLGFDK48CB,廣源段,.94,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,906,持分移轉,07040000
RPQNMLNKLHLGFDK58CB,廣源段,2.90,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,902,持分移轉,07130000
RPQNMLNKLHLGFDK58CB,廣源段,.64,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,897,持分移轉,07020000
RPQNMLNKLHLGFDK58CB,廣源段,2.10,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,319,持分移轉,07030000
RPQNMLNKLHLGFDK58CB,廣源段,.94,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,906,持分移轉,07040000
RPPNMLNJLHLGFDK38CB,龍椅段,29.53,都市：住,100000,677,持分移轉,02060000
RPRNMLKKLHLGFFK58CB,仁愛段,19.26,都市：住,10000,103,持分移轉,00260000
RPPNMLOJLHLGFCK48DB,苑中段,15.34,都市：商,100000,3454,持分移轉,08120000
RPPNMLTKLHLGFFK66CB,光華段,13.80,都市：商,100000,508,持分移轉,12380000
RPRNMLNKLHLGFDK68CB,廣源段,3.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,726,持分移轉,07070000
RPRNMLNKLHLGFDK68CB,廣源段,51.13,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,796,持分移轉,07140000
RPRNMLNKLHLGFDK68CB,廣源段,2.56,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,796,持分移轉,07130000
RPRNMLNKLHLGFDK68CB,廣源段,.57,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,799,持分移轉,07020000
RPRNMLNKLHLGFDK68CB,廣源段,1.86,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,283,持分移轉,07030000
RPRNMLNKLHLGFDK68CB,廣源段,.83,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,800,持分移轉,07040000
RPQNMLTKLHLGFFK76CB,光華段,14.31,都市：商,100000,527,持分移轉,12380000
RPPNMLRKLHLGFDK88CB,頂埔段,21.41,都市：住,1000000,12960,持分移轉,06010000
RPPNMLNLLHLGFDK58CB,大同段,121.66,都市：住,10000,664,持分移轉,07510000
RPPNMLKLLHLGFFK48CB,德義段,41.36,都市：住,100000,4523,持分移轉,06680000
RPPNMLKLLHLGFFK48CB,德義段,5.76,都市：住,100000,2928,持分移轉,06680007
RPQNMLKLLHLGFDK38CB,新港段埔頂小段,46.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,9817,持分移轉,13380001
RPQNMLNLLHLGFDK68CB,大同段,121.66,都市：住,10000,664,持分移轉,07510000
RPSNMLNLLHLGFDK88CB,龍椅段,32.93,都市：住,100000,755,持分移轉,02060000
RPPNMLNLLHLGFFK78CB,德義段,22.44,都市：住,100000,818,持分移轉,02690000
