編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLNJLHLGFFK98CB,坡道平面,1640000,29.23,地下一樓
RPRNMLMJLHLGFFK68CB,坡道平面,1950000,24.97,地下一樓
RPQNMLNKKHLGFFK68CB,坡道平面,1750000,29.08,地下三樓
RPSNMLNKKHLGFFK88CB,坡道平面,1790000,29.23,地下一樓
RPRNMLNJLHLGFFK78CB,坡道平面,1540000,29.23,地下三樓
RPRNMLNJLHLGFFK78CB,坡道平面,1540000,29.23,地下三樓
RPQNMLNJLHLGFFK68CB,坡道平面,1540000,30.46,地下三樓
RPQNMLNJLHLGFFK68CB,坡道平面,1540000,29.23,地下三樓
RPSNMLNJLHLGFFK88CB,坡道平面,1690000,29.23,地下二樓
RPPNMLNJLHLGFFK58CB,坡道平面,1790000,29.23,地下一樓
RPPNMLOLKHLGFFK78CB,一樓平面,1500000,18.25,一樓
RPPNMLMJLHLGFFK48CB,坡道平面,1700000,24.97,地下四樓
RPRNMLNKKHLGFFK78CB,坡道平面,1750000,29.08,地下三樓
RPUNMLNJLHLGFFK09CB,坡道平面,1390000,29.23,地下三樓
RPUNMLNJLHLGFFK09CB,坡道平面,1440000,29.23,地下三樓
RPQNMLKKLHLGFFK48CB,坡道平面,1850000,29.08,地下二樓
RPPNMLKKLHLGFFK38CB,坡道平面,2000000,34.57,地下二樓
RPQNMLMKLHLGFDK48CB,一樓平面,1200000,13.75,一樓
RPQNMLNJLHLGFDK48CB,坡道機械,1000000,19.74,地下一樓
RPRNMLNJLHLGFDK58CB,坡道平面,1550000,26.62,地下二樓
RPPNMLMKLHLGFDK38CB,一樓平面,1200000,13.75,一樓
RPPNMLNKLHLGFDK48CB,坡道平面,1600000,29.72,地下二樓
RPQNMLNKLHLGFDK58CB,坡道平面,1600000,29.72,地下二樓
RPPNMLNJLHLGFDK38CB,坡道平面,1450000,26.62,地下一樓
RPRNMLKKLHLGFFK58CB,坡道平面,1750000,34.29,地下三樓
RPPNMLOJLHLGFCK48DB,一樓平面,600000,10.00,一樓
RPPNMLTKLHLGFFK66CB,坡道平面,1900000,24.97,地下二樓
RPRNMLNKLHLGFDK68CB,坡道平面,1600000,29.72,地下二樓
RPQNMLTKLHLGFFK76CB,坡道平面,1900000,24.97,地下二樓
RPPNMLRKLHLGFDK88CB,坡道平面,1700000,23.15,地下一樓
RPPNMLKLLHLGFFK48CB,一樓平面,0,21.83,一樓
RPQNMLKLLHLGFDK38CB,一樓平面,0,18.55,一樓
RPSNMLNLLHLGFDK88CB,坡道平面,1550000,26.62,地下二樓
RPPNMLNLLHLGFFK78CB,坡道平面,1540000,29.23,地下三樓
RPRNMLNLLHLGFDK78CB,坡道機械,1000000,19.74,地下一樓
RPQNMLNLLHLGFFK88CB,坡道平面,1540000,29.23,地下三樓
RPRNMLNLLHLGFFK98CB,坡道平面,1540000,29.23,地下三樓
RPTNMLNLLHLGFFK56CB,坡道平面,1740000,29.23,地下二樓
RPSNMLNLLHLGFFK09CB,坡道平面,1440000,29.23,地下三樓
RPSNMLNLLHLGFFK09CB,坡道平面,1440000,29.23,地下三樓
RPSNMLNLLHLGFFK09CB,坡道平面,1390000,29.23,地下三樓
RPUNMLNLLHLGFFK66CB,坡道平面,1540000,29.23,地下三樓
RPUNMLNLLHLGFFK66CB,坡道平面,1540000,29.23,地下三樓
RPPNMLQKLHLGFBK68DB,坡道平面,1150000,28.74,地下二樓
RPQNMLOLLHLGFDK78CB,一樓平面,0,13.57,一樓
RPSNMLQLLHLGFDK56CB,坡道平面,1600000,29.72,地下二樓
RPRNMLQLLHLGFDK09CB,坡道平面,1600000,29.72,地下二樓
RPTNMLQLLHLGFDK66CB,坡道平面,1700000,29.72,地下一樓
RPQNMLNJLHLGFBK28CB,一樓平面,0,14.98,一樓
RPPNMLQLKHLGFBK58CB,一樓平面,1200000,15.25,一樓
RPQNMLKMLHLGFBK28CB,一樓平面,0,15.77,一樓
RPPNMLNLKHLGFBK28CB,一樓平面,0,14.98,一樓
RPPNMLNKLHLGFBK28CB,一樓平面,0,16.01,一樓
RPPNMLKMLHLGFBK18CB,一樓平面,0,15.77,一樓
RPPNMLKMLHLGFBK18CB,一樓平面,0,15.42,一樓
RPPNMLKKLHLGFCK08CB,坡道平面,1000000,29.76,地下一樓
RPPNMLKLLHLGFCK18CB,坡道機械,750000,6.87,地下一樓
RPQNMLKKLHLGFCK18CB,坡道機械,650000,7.50,地下一樓
RPPNMLOLKHLGFCK48CB,一樓平面,0,12.89,一樓
RPRNMLSKLHLGFCK09CB,坡道平面,1350000,27.00,地下一樓
RPRNMLSKLHLGFCK09CB,坡道平面,1250000,20.63,地下一樓
RPQNMLSKLHLGFCK98CB,坡道平面,1350000,20.63,地下一樓
RPRNMLKMLHLGFBK38CB,一樓平面,0,15.77,一樓
RPUNMLKMLHLGFBK68CB,一樓平面,0,15.77,一樓
