編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLJLHLGFCK18CC,苑北段,77.32,都市：住,,,,04000036
RPPNMLNJLHLGFDK48CC,龍椅段,97.87,都市：住,,,,03180001
RPQNMLQKLHLGFDK98CC,龍天段,86.01,都市：工,,,,01760000
RPTNMLLJMHLGFFK98CC,永貞段,92.80,都市：住,,,,09250000
RPTNMLLJMHLGFFK98CC,永貞段,6.11,都市：住,,,,09260000
RPTNMLLJMHLGFFK98CC,永貞段,410.03,都市：住,,,,09270000
RPRNMLMJMHLGFFK88CC,興埔段,364.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,06870000
RPPNMLKKMHLGFFK58CC,文化段,152.00,都市：住,,,,07200000
RPPNMLKKMHLGFFK58CC,文化段,153.00,都市：住,,,,07210000
RPRNMLKKMHLGFFK78CC,文化段,98.05,都市：住,,,,07230000
RPRNMLKKMHLGFFK78CC,文化段,98.20,都市：住,,,,07240000
RPRNMLKKMHLGFFK78CC,文化段,185.61,都市：住,,,,07250000
RPRNMLKKMHLGFFK78CC,文化段,8.88,都市：住,,,,07260002
RPRNMLKKMHLGFFK78CC,後湖段,20.81,都市：住,,,,13500001
RPPNMLSJMHLGFDK09CC,光復段,221.93,都市：商,,,,09230000
RPPNMLSJMHLGFDK09CC,光復段,6.55,都市：商,,,,09240000
RPPNMLNKMHLGFCK58CC,五里牌段隘口寮小段,9592.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,03770092
RPPNMLNKMHLGFCK58CC,五里牌段隘口寮小段,9652.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,03770093
RPPNMLNKMHLGFCK58CC,五里牌段隘口寮小段,6406.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,03770094
RPQNMLKLMHLGFBK38CC,新福麗段,29.60,都市：住,,,,05070000
RPQNMLPJNHLGFDK98CC,大同段,26.13,都市：住,,,,13200000
RPPNMLSJNHLGFFK76CC,顯會段,66.93,都市：住,,,,05250000
