編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLPLKHLGFDK78CC,坡道平面,0,30.75,地下二樓
RPQNMLRLKHLGFDK09CC,坡道平面,0,26.44,地下一樓
RPPNMLNJLHLGFFK68CC,坡道平面,0,9.91,地下一樓
RPTNMLOJLHLGFDK98CC,一樓平面,0,,一樓
RPPNMLNKLHLGFDK58CC,坡道平面,0,31.45,地下四樓
RPPNMLPKLHLGFDK78CC,坡道平面,0,28.94,地下二樓
RPPNMLKKLHLGFFK48CC,一樓平面,0,,一樓
RPPNMLSKLHLGFFK66CC,一樓平面,0,15.40,一樓
RPQNMLQLLHLGFDK09CC,坡道平面,0,29.26,地下二樓
RPRNMLQLLHLGFDK56CC,坡道平面,0,29.26,地下二樓
RPPNMLQLLHLGFDK98CC,坡道平面,0,28.05,地下三樓
RPSNMLQLLHLGFDK66CC,坡道平面,0,31.45,地下四樓
RPPNMLRLLHLGFFK66CC,坡道平面,0,,地下一樓
RPPNMLKMLHLGFBK28CC,一樓平面,0,,一樓
RPTNMLKMLHLGFFK09CC,一樓平面,0,,一樓
RPRNMLKMLHLGFFK88CC,一樓平面,0,,一樓
RPSNMLLMLHLGFDK88CC,坡道機械,0,,地下一樓
RPUNMLLMLHLGFDK09CC,坡道平面,0,23.13,地下一樓
RPPNMLLJMHLGFDK38CC,坡道平面,0,31.45,地下二樓
RPPNMLLJMHLGFEK48CC,坡道平面,0,44.58,地下一樓
RPSNMLLJMHLGFFK88CC,坡道平面,0,26.87,地下一樓
RPUNMLLJMHLGFFK09CC,一樓平面,0,,一樓
RPQNMLMJMHLGFDK58CC,坡道平面,0,30.75,地下二樓
RPPNMLMJMHLGFDK48CC,坡道平面,0,26.44,地下一樓
RPRNMLRJMHLGFDK56CC,坡道平面,0,31.45,地下二樓
RPPNMLTJMHLGFBK98CC,坡道平面,0,33.84,地下二樓
RPQNMLKKMHLGFDK48CC,坡道平面,0,,地下三樓
RPPNMLMKMHLGFDK58CC,坡道平面,0,30.75,地下二樓
RPQNMLNKMHLGFFK98CC,坡道平面,2500,29.42,地下二樓
RPSNMLOKMHLGFDK09CC,坡道平面,0,23.53,地下一樓
RPPNMLRKMHLGFBK88CC,坡道平面,0,,地下一樓
RPQNMLQKMHLGFFK66CC,坡道平面,0,13.39,一樓
RPQNMLRKMHLGFFK76CC,坡道平面,4000,32.88,地下一樓
RPPNMLRKMHLGFFK66CC,坡道平面,2500,37.89,地下二樓
RPPNMLKLMHLGFDK48CC,坡道平面,2200,21.02,地下一樓
RPQNMLRKMHLGFDK56CC,坡道平面,1500,,地下二樓
RPPNMLLLMHLGFFK78CC,坡道平面,0,29.98,地下二樓
RPQNMLMLMHLGFDK78CC,坡道平面,0,16.85,地下一樓
RPPNMLRLMHLGFDK56CC,一樓平面,0,14.87,一樓
RPRNMLOLMHLGFDK09CC,坡道平面,3000,31.45,地下四樓
RPPNMLMLMHLGFFK88CC,一樓平面,0,,一樓
RPPNMLOLMHLGFFK09CC,坡道平面,0,31.11,地下三樓
RPSNMLKMMHLGFDK88CC,升降機械,0,,一樓
RPUNMLKMMHLGFDK09CC,一樓平面,0,21.91,一樓
RPQNMLOJNHLGFDK88CC,坡道平面,0,31.45,地下四樓
RPPNMLPJNHLGFFK09CC,坡道平面,0,36.59,地下二樓
RPQNMLPJNHLGFFK56CC,坡道平面,0,,地下一樓
RPQNMLPJNHLGFDK98CC,坡道機械,0,,一樓
RPRNMLQJNHLGFFK76CC,坡道平面,0,29.42,地下四樓
RPRNMLSJNHLGFFK96CC,坡道平面,0,,地下二樓
RPQNMLQJNHLGFFK66CC,坡道平面,0,31.11,地下二樓
RPPNMLNKNHLGFEK88CC,坡道平面,2100,24.90,地下一樓
RPPNMLPKNHLGFFK56CC,坡道平面,0,32.22,地下二樓
RPPNMLPLNHLGFBK88CC,坡道平面,0,37.48,地下一樓
RPPNMLNKNHLGFDK78CC,坡道平面,0,33.41,地下一樓
RPPNMLLLNHLGFFK88CC,坡道平面,0,26.60,地下一樓
RPPNMLLJOHLGFFK78CC,坡道平面,1800,,地下一樓
RPQNMLSLNHLGFDK86CC,坡道平面,0,31.45,地下二樓
